reference_year,survey_wave,sav_file,variable,variable_label,score,matched_terms,nonmissing_n,distinct_nonmissing,dtype,numeric,has_value_labels,sample_value_labels,source_url
2023,X,source_2023_X.sav,Q42,Q42- ¿Cuánto es lo máximo que estaría dispuesto a pagar por un servicios de conexión a internet?,19,conexion | conexión | internet | paga | pagar,401,26,float64,True,True,NS/NR | 1000 | 4000 | 5000 | 6000 | 7000 | 8000 | 9990 | 10000 | 12000 | 12900 | 14000,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P13_8,"8.- Costo del servicio de internet fijo (por cable/fibra o WiFi) es muy elevado [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? ]",16,banda ancha | costo | hogar | internet | paga | wifi,490,2,float64,True,False,,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P13_10,"10.- Prefiero utilizar el acceso a internet móvil (4G/5G) en lugar de tener una conexión fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra",13,banda ancha | conexion | conexión | hogar | internet | paga,490,2,float64,True,False,,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P13_13,"13.- Prefiero la conexión móvil del teléfono, porque la puedo usar también fuera del hogar [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o",13,banda ancha | conexion | conexión | hogar | internet | paga,490,2,float64,True,False,,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P13_16,"16.- Tuve experiencias negativas anteriores con proveedores de servicios de internet fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o W",13,banda ancha | hogar | internet | paga | proveedor,490,2,float64,True,False,,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P13_3,"3.- La mayor parte del tiempo la pasamos fuera del hogar, por lo que no se justifica una conexión fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por ca",13,banda ancha | conexion | conexión | hogar | internet | paga,490,2,float64,True,False,,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P13_9,"9.- No hay / no sabe si hay oferta de servicios de internet en la zona donde vive [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? ]",13,banda ancha | hogar | internet | paga | wifi,490,2,float64,True,False,,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P19_1,P19.1.- ¿Cuánto es lo máximo que estaría dispuesto a pagar por Banda Ancha Fija desnuda (sin TV cable o Telefonía fija)?,13,banda ancha | paga | pagar,9,8,float64,True,True,NS/NR | 5000 | 6000 | 10000 | 12000 | 15000 | 18800 | 20000 | 25000 | 40000,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P19_2,P19.2.- ¿Cuánto es lo máximo que estaría dispuesto a pagar por Banda Ancha Fija + TV Cable?,13,banda ancha | paga | pagar,17,8,float64,True,True,NS/NR | 10000 | 13000 | 15000 | 18000 | 20000 | 25000 | 30000 | 40000,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2023,X,source_2023_X.sav,P19_3,P19.3.- ¿Cuánto es lo máximo que estaría dispuesto a pagar por Banda Ancha Fija + Telefonía Fija?,13,banda ancha | paga | pagar,11,8,float64,True,True,NS/NR | 7000 | 15000 | 20000 | 21000 | 25000 | 30000 | 35000 | 50000,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
