rank,region_code,commune_code,commune,gap_poverty_minus_fixed_pp,fixed_internet_pct,income_poverty_pct,N_weighted
1,9,9116,Saavedra,50.9813,10.0823,61.0636,12636
2,9,9205,Lonquimay,43.5182,2.1966,45.7148,11108
3,9,9106,Galvarino,38.3646,16.6574,55.0219,12535
4,8,8314,Alto Biobío,37.4781,1.5506,39.0287,6836
5,9,9118,Toltén,37.1967,6.0719,43.2686,9931
6,15,15201,Putre,30.6881,7.7064,38.3945,2180
7,1,1402,Camiña,28.3636,0,28.3636,1375
8,9,9207,Lumaco,28.28,11.5443,39.8243,9901
9,9,9105,Freire,26.4357,4.6407,31.0764,25492
10,4,4305,Río Hurtado,25.0696,4.3599,29.4295,4312
11,9,9103,Cunco,23.2401,16.1617,39.4018,18055
12,3,3302,Alto del Carmen,22.9627,4.2818,27.2445,5792
13,1,1403,Colchane,22.87,0,22.87,1561
14,16,16204,Ninhue,22.1165,14.2777,36.3942,5358
15,9,9110,Melipeuco,20.8664,14.5192,35.3856,6302
16,9,9117,Teodoro Schmidt,19.9288,31.1797,51.1086,15741
17,6,6205,Navidad,19.6902,6.168,25.8582,7166
18,9,9102,Carahue,19.1672,29.9397,49.1069,25528
19,8,8207,Tirúa,18.9727,13.0263,31.9989,11116
20,4,4302,Combarbalá,18.5156,12.6183,31.1339,13837
21,11,11102,Lago Verde,15.0715,11.6612,26.7327,909
22,15,15202,General Lagos,15,15,30,660
23,3,3303,Freirina,14.9012,9.7132,24.6144,7845
24,1,1404,Huara,14.8731,2.5699,17.443,3113
25,10,10209,Quemchi,14.7642,14.3655,29.1296,8778
26,7,7202,Chanco,14.5378,23.9662,38.504,9238
27,10,10207,Queilén,13.3621,16.4776,29.8397,5553
28,7,7203,Pelluhue,13.251,27.5903,40.8412,8474
29,10,10206,Puqueldón,12.4851,17.4743,29.9594,4189
30,16,16108,San Ignacio,12.2951,38.1328,50.4279,16592
