region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct
1,Tarapacá,11,Iquique,1101,Iquique,71344,69606,2513,3.6103,13178,18.9323,68642,96.2127,40337,56.5387,53580,75.1009,62503,87.6079,3144,4.4068,70097,98.2521,1247,1.7479
1,Tarapacá,11,Iquique,1107,Alto Hospicio,42399,42078,2012,4.7816,14062,33.4189,41480,97.8325,18240,43.0199,25449,60.0226,36583,86.2827,2395,5.6487,42226,99.592,173,0.408
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5675,5596,471,8.4167,2793,49.9107,5468,96.3524,2138,37.674,2161,38.0793,4805,84.6696,372,6.5551,4500,79.2952,1175,20.7048
1,Tarapacá,14,Del Tamarugal,1402,Camiña,489,489,121,24.7444,337,68.9162,465,95.092,120,24.5399,25,5.1125,364,74.4376,10,2.045,0,0,489,100
1,Tarapacá,14,Del Tamarugal,1403,Colchane,353,245,107,43.6735,126,51.4286,200,56.6572,22,6.2323,7,1.983,131,37.1105,6,1.6997,0,0,353,100
1,Tarapacá,14,Del Tamarugal,1404,Huara,1039,1025,185,18.0488,716,69.8537,978,94.129,275,26.4678,99,9.5284,826,79.4995,44,4.2348,437,42.0597,602,57.9403
1,Tarapacá,14,Del Tamarugal,1405,Pica,2184,2172,188,8.6556,1241,57.1363,2134,97.7106,869,39.7894,679,31.0897,1881,86.1264,136,6.2271,1538,70.4212,646,29.5788
2,Antofagasta,21,Antofagasta,2101,Antofagasta,135023,133677,3476,2.6003,24385,18.2417,132406,98.0618,81209,60.1446,105070,77.8164,122463,90.6979,5686,4.2111,134450,99.5756,573,0.4244
2,Antofagasta,21,Antofagasta,2102,Mejillones,4774,4730,189,3.9958,1531,32.3679,4669,97.8006,2162,45.287,2948,61.7512,4224,88.4793,426,8.9233,4573,95.7897,201,4.2103
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,487,393,22,5.598,253,64.3766,477,97.9466,279,57.2895,115,23.614,360,73.922,19,3.9014,0,0,487,100
2,Antofagasta,21,Antofagasta,2104,Taltal,4129,4094,425,10.381,1524,37.2252,4020,97.3601,1788,43.3035,2033,49.2371,3264,79.0506,379,9.179,3776,91.4507,353,8.5493
2,Antofagasta,22,El Loa,2201,Calama,56541,55625,2053,3.6908,12539,22.542,55300,97.8051,31559,55.8161,40587,71.7833,50025,88.4756,2706,4.7859,55003,97.2799,1538,2.7201
2,Antofagasta,22,El Loa,2202,Ollagüe,102,102,11,10.7843,71,69.6078,98,96.0784,40,39.2157,13,12.7451,90,88.2353,8,7.8431,0,0,102,100
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,3919,3846,457,11.8825,2968,77.1711,3837,97.9076,1624,41.4391,262,6.6854,3350,85.481,189,4.8227,2442,62.3118,1477,37.6882
2,Antofagasta,23,Tocopilla,2301,Tocopilla,8811,8661,641,7.401,1942,22.4224,8491,96.3682,3905,44.3196,5930,67.3022,7249,82.2722,752,8.5348,8363,94.9154,448,5.0846
2,Antofagasta,23,Tocopilla,2302,María Elena,1649,1633,68,4.1641,757,46.3564,1619,98.1807,868,52.638,758,45.9673,1513,91.7526,123,7.4591,1543,93.5719,106,6.4281
3,Atacama,31,Copiapó,3101,Copiapó,57356,56774,2653,4.6729,15713,27.6764,56160,97.9148,30572,53.3022,37776,65.8623,50552,88.1372,2484,4.3308,55116,96.0946,2240,3.9054
