region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales
1,Tarapacá,11,Iquique,1101,Iquique,71344,8.4447,1.3304,57.8252,44.1519,2.8496,13.192,40.2493,25.6132,18.596,45.7264,6.1017
1,Tarapacá,11,Iquique,1107,Alto Hospicio,42399,13.119,1.4492,44.2064,22.9609,12.446,17.3381,56.325,14.6619,24.6643,51.3903,4.2847
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5675,12.4491,2.1119,48.4935,22.9096,6.7748,13.4427,44.91,24.015,23.177,45.3557,4.0292
1,Tarapacá,14,Del Tamarugal,1402,Camiña,489,16.7015,3.3403,34.1513,12.2699,1.227,11.0429,100,0,25.9714,44.5808,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,353,23.2365,5.3942,48.1781,17.8138,1.6194,12.5506,100,0,28.7449,39.6761,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,1039,14.1724,2.6759,44.112,17.9537,4.5367,12.0656,100,0,26.9305,42.8571,0
1,Tarapacá,14,Del Tamarugal,1405,Pica,2184,11.1605,1.1358,52.8899,32.0642,1.789,14.2661,44.7706,30.0459,21.8807,48.9908,5.4128
2,Antofagasta,21,Antofagasta,2101,Antofagasta,135023,6.7357,0.808,51.5728,34.4207,6.5091,13.8267,42.9072,22.1552,18.3762,47.1166,5.2014
2,Antofagasta,21,Antofagasta,2102,Mejillones,4774,8.559,1.2162,45.865,29.9578,5.865,16.1814,48.1646,18.692,24.7257,48.692,3.9241
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,487,13.4529,2.4664,51.1435,29.7297,4.3659,16.4241,100,0,13.3056,57.5884,0
2,Antofagasta,21,Antofagasta,2104,Taltal,4129,6.4961,0.4765,29.0488,13.1463,4.8049,15.4878,43.7805,29.6098,25.6341,50.7561,6.4878
2,Antofagasta,22,El Loa,2201,Calama,56541,9.316,1.1992,52.5524,38.4191,3.1617,15.4322,45.3261,20.835,17.7036,43.8808,5.1887
2,Antofagasta,22,El Loa,2202,Ollagüe,102,8.9888,1.1236,80.3922,24.5098,2.9412,14.7059,100,0,30.3922,48.0392,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,3919,13.6856,2.7913,65.3145,37.1245,7.6765,13.6842,38.4852,17.561,15.9178,53.5815,3.0809
2,Antofagasta,23,Tocopilla,2301,Tocopilla,8811,5.7532,0.5166,41.3003,21.7491,5.4776,16.0759,42.8193,30.1726,26.7204,51.8297,5.7192
2,Antofagasta,23,Tocopilla,2302,María Elena,1649,16.2879,1.0101,94.0061,47.0336,1.1621,13.0275,100,0,15.1682,38.9602,0
3,Atacama,31,Copiapó,3101,Copiapó,57356,5.8614,0.4948,35.7258,22.9766,3.3974,15.6254,43.7491,24.6683,20.7041,48.0152,5.2681
3,Atacama,31,Copiapó,3102,Caldera,6984,4.7528,0.3395,30.5981,18.0584,2.7593,16.1803,38.6449,29.7602,27.7088,52.6726,4.7963
3,Atacama,31,Copiapó,3103,Tierra Amarilla,3889,7.802,0.7264,34.8717,10.63,4.6668,15.5043,46.3054,26.8084,21.8564,47.6018,6.2225
3,Atacama,32,Chañaral,3201,Chañaral,4415,5.3733,0.2559,32.6945,14.6475,3.3995,16.3815,40.0639,32.0329,23.2945,55.3046,5.2019
3,Atacama,32,Chañaral,3202,Diego de Almagro,4168,5.0868,0.5869,56.6274,18.7154,3.1754,14.7703,43.084,22.9492,24.6813,44.6716,3.4159
3,Atacama,33,Huasco,3301,Vallenar,18778,5.6953,0.3823,33.7789,15.7971,4.7343,16.4627,41.9485,32.716,25.051,49.8926,6.7096
3,Atacama,33,Huasco,3302,Alto del Carmen,1922,4.4032,0.3714,32.8296,8.963,8.025,13.5487,100,0,20.4794,44.5023,0
3,Atacama,33,Huasco,3303,Freirina,2736,5.6364,0.3733,24.0029,7.9034,3.9517,15.7702,39.7731,32.5284,26.3081,52.1771,5.4885
3,Atacama,33,Huasco,3304,Huasco,3491,5.3577,0.3238,28.5714,12.9896,4.2051,14.5161,36.2903,34.9654,27.6498,46.3998,5.9332
4,Coquimbo,41,Elqui,4101,La Serena,86795,3.9053,0.2806,36.9149,26.5993,1.748,15.3074,40.0072,28.1252,21.3935,49.5824,5.2555
4,Coquimbo,41,Elqui,4102,Coquimbo,90296,4.8549,0.35,33.9653,22.9994,1.7203,15.5209,42.3191,28.5764,22.658,48.3575,5.5747
4,Coquimbo,41,Elqui,4103,Andacollo,4067,3.826,0.2001,23.9911,8.7106,2.8051,16.4862,38.6319,36.6142,28.3711,45.9892,5.9301
4,Coquimbo,41,Elqui,4104,La Higuera,1626,5.7321,0.4361,23.4932,7.8106,2.952,12.1771,100,0,30.6273,41.2054,0
4,Coquimbo,41,Elqui,4105,Paihuano,1870,4.9261,0.3284,37.8088,16.058,2.5242,14.4468,100,0,26.6917,47.1536,0
4,Coquimbo,41,Elqui,4106,Vicuña,9842,4.9937,0.3649,32.3622,15.626,2.3021,16.1964,39.8391,33.7068,26.719,50.8506,5.7146
4,Coquimbo,42,Choapa,4201,Illapel,11593,4.5515,0.2382,31.1069,17.1952,2.3849,15.3893,38.2269,35.3322,25.0756,49.1748,5.6079
4,Coquimbo,42,Choapa,4202,Canela,3779,3.762,0.1067,19.7724,7.9142,2.4881,13.9227,30.1218,44.6797,26.9455,44.9974,4.6585
4,Coquimbo,42,Choapa,4203,Los Vilos,8543,5.5562,0.4942,33.6152,17.5711,2.2551,15.5626,38.3603,32.981,27.4607,50.6108,4.8861
4,Coquimbo,42,Choapa,4204,Salamanca,10058,4.3935,0.2141,28.7593,14.5989,3.1689,15.426,39.7309,33.5625,23.438,46.8261,5.8695
4,Coquimbo,43,Limarí,4301,Ovalle,42363,4.6269,0.2892,33.2961,19.3777,1.6116,17.6402,40.0703,31.122,24.7181,49.8635,5.8461
4,Coquimbo,43,Limarí,4302,Combarbalá,5256,4.0569,0.2307,31.219,12.9714,4.419,15.8667,29.9048,42.7429,31.8857,50.6857,4.8381
4,Coquimbo,43,Limarí,4303,Monte Patria,11220,6.1309,0.3791,33.4077,11.0972,3.7823,17.9037,37.0027,34.2819,29.1704,49.6521,4.8707
4,Coquimbo,43,Limarí,4304,Punitaqui,4463,5.0447,0.3669,29.7467,11.7238,2.8917,17.2607,38.2425,35.5974,30.2847,48.9352,5.3127
