region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales,macrozona_operativa
1,Tarapacá,11,Iquique,1101,Iquique,71344,69606,2513,3.6103,13178,18.9323,68642,96.2127,40337,56.5387,53580,75.1009,62503,87.6079,3144,4.4068,70097,98.2521,1247,1.7479,8.4447,1.3304,57.8252,44.1519,2.8496,13.192,40.2493,25.6132,18.596,45.7264,6.1017,Norte
1,Tarapacá,11,Iquique,1107,Alto Hospicio,42399,42078,2012,4.7816,14062,33.4189,41480,97.8325,18240,43.0199,25449,60.0226,36583,86.2827,2395,5.6487,42226,99.592,173,0.408,13.119,1.4492,44.2064,22.9609,12.446,17.3381,56.325,14.6619,24.6643,51.3903,4.2847,Norte
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5675,5596,471,8.4167,2793,49.9107,5468,96.3524,2138,37.674,2161,38.0793,4805,84.6696,372,6.5551,4500,79.2952,1175,20.7048,12.4491,2.1119,48.4935,22.9096,6.7748,13.4427,44.91,24.015,23.177,45.3557,4.0292,Norte
1,Tarapacá,14,Del Tamarugal,1402,Camiña,489,489,121,24.7444,337,68.9162,465,95.092,120,24.5399,25,5.1125,364,74.4376,10,2.045,0,0,489,100,16.7015,3.3403,34.1513,12.2699,1.227,11.0429,100,0,25.9714,44.5808,0,Norte
1,Tarapacá,14,Del Tamarugal,1403,Colchane,353,245,107,43.6735,126,51.4286,200,56.6572,22,6.2323,7,1.983,131,37.1105,6,1.6997,0,0,353,100,23.2365,5.3942,48.1781,17.8138,1.6194,12.5506,100,0,28.7449,39.6761,0,Norte
1,Tarapacá,14,Del Tamarugal,1404,Huara,1039,1025,185,18.0488,716,69.8537,978,94.129,275,26.4678,99,9.5284,826,79.4995,44,4.2348,437,42.0597,602,57.9403,14.1724,2.6759,44.112,17.9537,4.5367,12.0656,100,0,26.9305,42.8571,0,Norte
1,Tarapacá,14,Del Tamarugal,1405,Pica,2184,2172,188,8.6556,1241,57.1363,2134,97.7106,869,39.7894,679,31.0897,1881,86.1264,136,6.2271,1538,70.4212,646,29.5788,11.1605,1.1358,52.8899,32.0642,1.789,14.2661,44.7706,30.0459,21.8807,48.9908,5.4128,Norte
2,Antofagasta,21,Antofagasta,2101,Antofagasta,135023,133677,3476,2.6003,24385,18.2417,132406,98.0618,81209,60.1446,105070,77.8164,122463,90.6979,5686,4.2111,134450,99.5756,573,0.4244,6.7357,0.808,51.5728,34.4207,6.5091,13.8267,42.9072,22.1552,18.3762,47.1166,5.2014,Norte
2,Antofagasta,21,Antofagasta,2102,Mejillones,4774,4730,189,3.9958,1531,32.3679,4669,97.8006,2162,45.287,2948,61.7512,4224,88.4793,426,8.9233,4573,95.7897,201,4.2103,8.559,1.2162,45.865,29.9578,5.865,16.1814,48.1646,18.692,24.7257,48.692,3.9241,Norte
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,487,393,22,5.598,253,64.3766,477,97.9466,279,57.2895,115,23.614,360,73.922,19,3.9014,0,0,487,100,13.4529,2.4664,51.1435,29.7297,4.3659,16.4241,100,0,13.3056,57.5884,0,Norte
