region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales,macrozona_operativa,ookla_fixed_tiles_2026q1,ookla_fixed_tests_2026q1,ookla_fixed_devices_sum_2026q1,ookla_fixed_download_mbps_2026q1,ookla_fixed_upload_mbps_2026q1,ookla_fixed_latency_ms_2026q1,ookla_fixed_loaded_latency_down_ms_2026q1,ookla_fixed_loaded_latency_up_ms_2026q1,ookla_fixed_tests_2025q4,ookla_fixed_download_delta_pct_q4_to_q1,ookla_fixed_upload_delta_pct_q4_to_q1,ookla_fixed_latency_delta_pct_q4_to_q1,ookla_mobile_tiles_2026q1,ookla_mobile_tests_2026q1,ookla_mobile_devices_sum_2026q1,ookla_mobile_download_mbps_2026q1,ookla_mobile_upload_mbps_2026q1,ookla_mobile_latency_ms_2026q1,ookla_mobile_loaded_latency_down_ms_2026q1,ookla_mobile_loaded_latency_up_ms_2026q1,ookla_mobile_tests_2025q4,ookla_mobile_download_delta_pct_q4_to_q1,ookla_mobile_upload_delta_pct_q4_to_q1,ookla_mobile_latency_delta_pct_q4_to_q1,ookla_observed_any_2026q1,ookla_period,ookla_spatial_method,claro_4g_point_records_2025m03,entel_4g_point_records_2025m03,movistar_4g_point_records_2025m03,wom_4g_point_records_2025m03,mobile_4g_point_records_2025m03,mobile_4g_operators_present_2025m03,claro_5g_point_records_2025m03,entel_5g_point_records_2025m03,movistar_5g_point_records_2025m03,wom_5g_point_records_2025m03,mobile_5g_point_records_2025m03,mobile_5g_operators_present_2025m03,mineduc_aulas_selected_establishments_2025,mineduc_aulas_waitlist_establishments_2025,mineduc_aulas_selected_rural_establishments_2025,mineduc_aulas_selected_enrollment_2025,mineduc_aulas_selected_with_coordinates_2025,fixed_access_public_layers_present,fixed_access_public_operators_present,subtel_fixed_connections_total_2026m03,subtel_fixed_connections_residential_2026m03,subtel_fixed_residential_share_pct_2026m03,subtel_fixed_residential_per_100_censo_households_2026m03,subtel_fixed_source_status_2026m03
1,Tarapacá,11,Iquique,1101,Iquique,71344,69606,2513,3.6103,13178,18.9323,68642,96.2127,40337,56.5387,53580,75.1009,62503,87.6079,3144,4.4068,70097,98.2521,1247,1.7479,8.4447,1.3304,57.8252,44.1519,2.8496,13.192,40.2493,25.6132,18.596,45.7264,6.1017,Norte,87.0,5292.0,1794.0,443.733,368.08,21.698,330.144,245.284,5385.0,3.564,3.301,-5.079,98.0,667.0,390.0,85.075,22.932,58.999,1444.575,1233.978,766.0,11.515,4.35,9.751,yes,2026Q1,tile centroid within BCN commune polygon,21,66,46,54,187,4,0,26,11,9,46,3,12,0,0,6870,12,6,4,58491,52286,89.3915,73.2872,reported
1,Tarapacá,11,Iquique,1107,Alto Hospicio,42399,42078,2012,4.7816,14062,33.4189,41480,97.8325,18240,43.0199,25449,60.0226,36583,86.2827,2395,5.6487,42226,99.592,173,0.408,13.119,1.4492,44.2064,22.9609,12.446,17.3381,56.325,14.6619,24.6643,51.3903,4.2847,Norte,74.0,2941.0,978.0,407.473,323.401,23.209,372.508,262.126,3262.0,-2.293,-4.228,9.766,66.0,522.0,236.0,55.12,17.989,55.789,1826.824,1275.475,511.0,3.521,6.963,1.16,yes,2026Q1,tile centroid within BCN commune polygon,9,40,16,12,77,4,0,7,4,3,14,3,1,0,0,1142,1,6,4,25233,23982,95.0422,56.5627,reported
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5675,5596,471,8.4167,2793,49.9107,5468,96.3524,2138,37.674,2161,38.0793,4805,84.6696,372,6.5551,4500,79.2952,1175,20.7048,12.4491,2.1119,48.4935,22.9096,6.7748,13.4427,44.91,24.015,23.177,45.3557,4.0292,Norte,76.0,412.0,164.0,205.55,144.286,33.682,476.801,406.731,391.0,-1.768,-4.623,7.07,53.0,233.0,101.0,74.091,15.816,60.185,1572.773,1329.163,188.0,16.398,23.389,-9.993,yes,2026Q1,tile centroid within BCN commune polygon,3,14,8,5,30,4,0,4,2,2,8,3,2,2,2,1455,2,4,3,2890,2586,89.481,45.5683,reported
1,Tarapacá,14,Del Tamarugal,1402,Camiña,489,489,121,24.7444,337,68.9162,465,95.092,120,24.5399,25,5.1125,364,74.4376,10,2.045,0,0.0,489,100.0,16.7015,3.3403,34.1513,12.2699,1.227,11.0429,100.0,0.0,25.9714,44.5808,0.0,Norte,4.0,5.0,4.0,277.804,33.294,45.6,167.6,61.2,22.0,-0.258,-16.242,-22.473,3.0,7.0,4.0,140.451,10.712,72.857,996.286,1031.429,2.0,-16.92,-76.103,36.181,yes,2026Q1,tile centroid within BCN commune polygon,1,1,2,0,4,3,0,0,2,0,2,1,0,0,0,0,0,0,0,57,41,71.9298,8.3845,reported
1,Tarapacá,14,Del Tamarugal,1403,Colchane,353,245,107,43.6735,126,51.4286,200,56.6572,22,6.2323,7,1.983,131,37.1105,6,1.6997,0,0.0,353,100.0,23.2365,5.3942,48.1781,17.8138,1.6194,12.5506,100.0,0.0,28.7449,39.6761,0.0,Norte,7.0,17.0,9.0,114.408,22.545,45.647,310.353,282.765,6.0,22.538,3.072,-85.948,2.0,2.0,2.0,16.524,4.994,114.5,4553.0,1493.0,,,,,yes,2026Q1,tile centroid within BCN commune polygon,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149,126,84.5638,35.6941,reported
1,Tarapacá,14,Del Tamarugal,1404,Huara,1039,1025,185,18.0488,716,69.8537,978,94.129,275,26.4678,99,9.5284,826,79.4995,44,4.2348,437,42.0597,602,57.9403,14.1724,2.6759,44.112,17.9537,4.5367,12.0656,100.0,0.0,26.9305,42.8571,0.0,Norte,12.0,47.0,15.0,199.154,78.394,67.277,301.362,225.404,128.0,57.171,19.073,10.786,26.0,113.0,37.0,42.588,10.277,53.522,1911.832,1908.292,43.0,-6.529,-31.796,-14.95,yes,2026Q1,tile centroid within BCN commune polygon,2,6,2,3,13,4,0,2,1,2,5,3,1,0,1,503,1,1,1,352,299,84.9432,28.7777,reported
1,Tarapacá,14,Del Tamarugal,1405,Pica,2184,2172,188,8.6556,1241,57.1363,2134,97.7106,869,39.7894,679,31.0897,1881,86.1264,136,6.2271,1538,70.4212,646,29.5788,11.1605,1.1358,52.8899,32.0642,1.789,14.2661,44.7706,30.0459,21.8807,48.9908,5.4128,Norte,37.0,180.0,94.0,146.002,105.263,47.45,571.233,632.922,211.0,-6.207,-11.406,-3.256,36.0,130.0,63.0,90.451,16.155,48.254,1208.651,1440.138,194.0,-9.953,-10.09,-1.242,yes,2026Q1,tile centroid within BCN commune polygon,1,12,2,3,18,4,0,3,1,1,5,3,3,0,3,1209,3,2,1,791,695,87.8635,31.8223,reported
2,Antofagasta,21,Antofagasta,2101,Antofagasta,135023,133677,3476,2.6003,24385,18.2417,132406,98.0618,81209,60.1446,105070,77.8164,122463,90.6979,5686,4.2111,134450,99.5756,573,0.4244,6.7357,0.808,51.5728,34.4207,6.5091,13.8267,42.9072,22.1552,18.3762,47.1166,5.2014,Norte,240.0,10299.0,3459.0,452.314,379.847,15.788,269.393,236.847,10079.0,5.665,3.73,-0.978,220.0,1707.0,787.0,82.831,21.341,38.596,1849.167,1214.757,1765.0,-5.75,-1.034,2.182,yes,2026Q1,tile centroid within BCN commune polygon,39,151,68,72,330,4,17,26,23,3,69,4,25,1,0,16591,25,6,4,120596,111930,92.814,82.8970,reported
2,Antofagasta,21,Antofagasta,2102,Mejillones,4774,4730,189,3.9958,1531,32.3679,4669,97.8006,2162,45.287,2948,61.7512,4224,88.4793,426,8.9233,4573,95.7897,201,4.2103,8.559,1.2162,45.865,29.9578,5.865,16.1814,48.1646,18.692,24.7257,48.692,3.9241,Norte,29.0,233.0,92.0,220.136,196.28,16.73,241.515,235.236,254.0,-16.49,-2.031,-1.105,31.0,140.0,57.0,60.092,15.274,45.021,1904.457,874.136,148.0,10.006,-7.988,1.913,yes,2026Q1,tile centroid within BCN commune polygon,2,10,8,6,26,4,0,6,5,2,13,3,2,0,0,3056,2,5,4,3185,2858,89.7331,59.8659,reported
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,487,393,22,5.598,253,64.3766,477,97.9466,279,57.2895,115,23.614,360,73.922,19,3.9014,0,0.0,487,100.0,13.4529,2.4664,51.1435,29.7297,4.3659,16.4241,100.0,0.0,13.3056,57.5884,0.0,Norte,49.0,140.0,88.0,121.962,32.01,32.764,509.557,365.321,116.0,-14.453,-53.37,2.279,68.0,204.0,120.0,27.134,11.74,50.701,2208.813,1394.172,186.0,21.334,-5.039,2.381,yes,2026Q1,tile centroid within BCN commune polygon,3,14,7,1,25,4,0,1,0,0,1,1,0,0,0,0,0,3,2,926,700,75.594,143.7372,reported
