source_sheet,source_row,selection_group,rbd,establishment_name,region,sponsor_name,project,selection_status,waitlist_position,source_page,source_spreadsheet
Seleccionados AC 2025,2,selected,10,ESCUELA REPÚBLICA DE FRANCIA,DE ARICA Y PARINACOTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE CHINCHORRO,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,3,selected,30,ESCUELA DR. RICARDO OLEA GUERRA,DE ARICA Y PARINACOTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE CHINCHORRO,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,4,selected,97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,DE TARAPACÁ,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,5,selected,102,ESC..EDUC.ESPECIAL FLOR DEL INCA,DE TARAPACÁ,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,6,selected,108,LICEO POLITEC. JOSÉ GUTIÉRREZ DE LA FUENTE,DE TARAPACÁ,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,7,selected,109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,DE TARAPACÁ,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,8,selected,112,ESCUELA EDUARDO LLANOS,DE TARAPACÁ,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,9,selected,119,ESCUELA CENTENARIO,DE TARAPACÁ,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,10,selected,122,ESCUELA THILDA PORTILLO OLIVARES,DE TARAPACÁ,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,11,selected,123,COLEGIO ESPAÑA,DE TARAPACÁ,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,12,selected,161,LICEO DE HUARA,DE TARAPACÁ,ILUSTRE MUNICIPALIDAD DE HUARA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,13,selected,187,ESCUELA VERTIENTE DEL SABER,DE TARAPACÁ,ILUSTRE MUNICIPALIDAD DE PICA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,14,selected,188,ESC. MATILLA DE NUEVA EXTREMADURA,DE TARAPACÁ,ILUSTRE MUNICIPALIDAD DE PICA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,15,selected,199,LICEO DOMINGO LATRILLE LASTAUNOU,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,16,selected,201,ESCUELA CARLOS CONDELL DE LA HAZA,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,17,selected,204,ESCUELA L. GRAL. BERNARDO O´HIGGINS R.,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,18,selected,205,ESCUELA ARTURO PRAT CHACÓN,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,19,selected,210,ESCUELA ARTURO PEREZ CANTO,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,20,selected,211,LICEO H.C. T.P. MARÍA ELENA,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,21,selected,223,ESCUELA CLAUDIO ARRAU,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,22,selected,230,ESCUELA BÁSICA ANDRES BELLO,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,23,selected,238,ESCUELA DIFERENCIAL LOA,DE ANTOFAGASTA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
