selection_group,rbd,program_establishment_name,official_establishment_name,region_code,region_name,commune_code,commune_name,rural_rbd,latitude,longitude,dependency_code,dependency_group_code,enrollment_total,establishment_state,pie_agreement,pace,sponsor_name,project,selection_status,waitlist_position,program_source,directory_source
selected,10,ESCUELA REPÚBLICA DE FRANCIA,ESCUELA REPUBLICA DE FRANCIA,15,AYP,15101,ARICA,0,"-18,474369","-70,309036",6,5,137,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE CHINCHORRO,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,30,ESCUELA DR. RICARDO OLEA GUERRA,ESCUELA DR. RICARDO OLEA GUERRA,15,AYP,15101,ARICA,0,"-18,48061752","-70,28401184",6,5,173,1,0,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE CHINCHORRO,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,1,TPCA,1101,IQUIQUE,0,"-20,220369","-70,153061",6,5,610,1,1,0,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,102,ESC..EDUC.ESPECIAL FLOR DEL INCA,ESC.EDUC.ESPECIAL FLOR DEL INCA,1,TPCA,1101,IQUIQUE,0,"-20,24097252","-70,13935089",6,5,194,1,0,0,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,108,LICEO POLITEC. JOSÉ GUTIÉRREZ DE LA FUENTE,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,1,TPCA,1101,IQUIQUE,0,"-20,2258","-70,148727",6,5,771,1,1,1,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,1,TPCA,1101,IQUIQUE,0,"-20,216949","-70,153381",6,5,906,1,1,1,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,112,ESCUELA EDUARDO LLANOS,ESCUELA EDUARDO LLANOS,1,TPCA,1101,IQUIQUE,0,"-20,214479","-70,135857",6,5,679,1,1,0,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,119,ESCUELA CENTENARIO,ESCUELA CENTENARIO,1,TPCA,1101,IQUIQUE,0,"-20,213511","-70,145119",6,5,705,1,1,0,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,122,ESCUELA THILDA PORTILLO OLIVARES,ESCUELA THILDA PORTILLO OLIVARES,1,TPCA,1101,IQUIQUE,0,"-20,23621","-70,141006",6,5,310,1,1,0,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,123,COLEGIO ESPAÑA,COLEGIO ESPANA,1,TPCA,1101,IQUIQUE,0,"-20,239719","-70,128853",6,5,545,1,1,0,SERVICIO LOCAL DE EDUCACION PÚBLICA DE IQUIQUE,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,161,LICEO DE HUARA,LICEO DE HUARA,1,TPCA,1404,HUARA,1,"-19,99688","-69,772636",2,1,503,1,1,1,ILUSTRE MUNICIPALIDAD DE HUARA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,187,ESCUELA VERTIENTE DEL SABER,ESCUELA VERTIENTE DEL SABER,1,TPCA,1405,PICA,1,"-20,488291","-69,324867",2,1,300,1,1,0,ILUSTRE MUNICIPALIDAD DE PICA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,188,ESC. MATILLA DE NUEVA EXTREMADURA,ESC. MATILLA DE NUEVA EXTREMADURA,1,TPCA,1405,PICA,1,"-20,513229","-69,360008",2,1,237,1,1,0,ILUSTRE MUNICIPALIDAD DE PICA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,199,LICEO DOMINGO LATRILLE LASTAUNOU,LICEO DOMINGO LATRILLE LASTAUNOU,2,ANTOF,2301,TOCOPILLA,0,"-22,088579","-70,194794",6,5,657,1,1,1,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
