sheet,header_row,column,header,header_score
Seleccionados AC 2025,1,1,RBD,6
Seleccionados AC 2025,1,2,NOMBRE_ESTABLECIMIENTO,6
Seleccionados AC 2025,1,3,REGIÓN,6
Seleccionados AC 2025,1,4,NOMBRE SOSTENEDOR,6
Seleccionados AC 2025,1,5,PROYECTO,6
Seleccionados AC 2025,1,6,ESTADO SELECCIÓN,6
Lista Espera AC 2025,1,1,RBD,6
Lista Espera AC 2025,1,2,NOMBRE_ESTABLECIMIENTO,6
Lista Espera AC 2025,1,3,REGIÓN,6
Lista Espera AC 2025,1,4,NOMBRE SOSTENEDOR,6
Lista Espera AC 2025,1,5,PROYECTO,6
Lista Espera AC 2025,1,6,ESTADO SELECCIÓN,6
Lista Espera AC 2025,1,7,N° Lista Espera,6
