period,project_id,project_name,subsidy_clp,service,adjudication,obligation_period,benefit_scope,progress,source_page,source_id,source_url
2026Q1,fdt_tortel_villa_ohiggins,Construcción de Despliegue de Fibra Óptica entre las localidades de Tortel y Villa O'Higgins,6857272056,Infraestructura para telecomunicaciones,2025-11,20 años,Localidades de Tortel y Villa O'Higgins,Adjudicado; Decreto de Concesión en revisión de CGR,1,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_ultima_milla_aysen,Última Milla Región de Aysén Servicio Hogar,8018053000,Infraestructura para telecomunicaciones; oferta de servicios de transmisión de datos para Internet Hogar,Proyectado para 2026,20 años infraestructura; 10 años servicio público,21 localidades,Evaluación de propuestas (2 proponentes),1,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_ultima_milla_coquimbo,Habilitación de Servicios de Telecomunicaciones para las regiones de Los Lagos y Coquimbo - Última Milla Coquimbo,6094199160,Servicio intermedio de telecomunicaciones; servicio público,2026-03,20 años infraestructura; 10 años servicio público,43 localidades,Adjudicado; en elaboración de decretos de concesión,1,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_fibra_nuble,Transferencia Fondo de Desarrollo de las Telecomunicaciones Fibra Óptica Ñuble - Última Milla,4793624177,Infraestructura para telecomunicaciones,2025-06,20 años,Etapa 1: 56 localidades,Generación de Informe de Ingeniería de Detalles,1,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_cpe_2011,Conectividad para la Educación 2011,,,2011-07,Extendido a diciembre 2026,15 regiones; 316 establecimientos educacionales,100% en operación,1,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_cpe_2030,Conectividad para la Educación 2030,16486354000,Transmisión de datos (Internet gratuito),1er llamado 2020-12; 2do 2021-12; 3ro 2023-03; 4to 2025-03; 5to 2025-11,2029-12,16 regiones; 9.147 establecimientos educacionales,1er 2do y 3er llamado: 100% implementación; 4to y 5to llamados con recepciones/instalación en curso,1-2,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_tvd,Implementación de Sistemas de Transmisión para la Televisión Digital Terrestre,2435529723,Servicio de TVD (migración),1er llamado 2024-03; 2do 2024-11,5 años,Nacional,2% en implementación; 98% en operación,2,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_los_lagos_magallanes_1,Habilitación de Servicios de Telecomunicaciones para la Región de Los Lagos Magallanes y la Antártica Chilena (1° llamado),5744203578,Infraestructura para telecomunicaciones; oferta de servicios de transmisión de datos para Internet Hogar,2023-12,20 años infraestructura; 10 años servicio público,172 localidades,Proceso de revisión de Informe de Ingeniería de Detalles,2,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_ultima_milla_los_lagos_3,Última Milla Los Lagos (3° llamado),9090448422,Infraestructura para telecomunicaciones; oferta de servicios de transmisión de datos para Internet Hogar,Proyectado para 2027,20 años servicios mayoristas; 10 años servicio público,199 localidades exigibles; 158 localidades adicionales,Bases Específicas en revisión Jurídica,2,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_fibra_tarapaca,Habilitación Fibra Óptica Tarapacá,5860580000,Servicio intermedio de infraestructura,2021-12,20 años servicio de infraestructura,7 comunas; 15 localidades,83% implementado,2,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
2026Q1,fdt_complejos_fronterizos_sur,Fibra Óptica en Complejos Fronterizos - Zona Geográfica Sur,3969712250,Servicio intermedio de infraestructura,ZG Sur: 2021-08,hasta 2043-12,4 complejos fronterizos,100% en operación,2,subtel_fdt_2026q1,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf
