comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_redacceso_hfc_records_intersecting,claro_redacceso_records_intersecting,entel_redacceso_distribucion_records_intersecting,entel_redacceso_primarias_records_intersecting,infraco_redacceso_records_intersecting,vtr_redacceso_ftth_records_intersecting,fixed_access_public_records_intersecting,fixed_access_public_layers_present,fixed_access_public_operators_present
1101,Iquique,11,Iquique,1,Tarapacá,244,823,1172,100,4729,63,7131,6,4
1107,Alto Hospicio,11,Iquique,1,Tarapacá,180,4,620,11,3061,58,3934,6,4
1401,Pozo Almonte,14,Del Tamarugal,1,Tarapacá,0,5,192,1,342,0,540,4,3
1402,Camiña,14,Del Tamarugal,1,Tarapacá,0,0,0,0,0,0,0,0,0
1403,Colchane,14,Del Tamarugal,1,Tarapacá,0,0,0,0,0,0,0,0,0
1404,Huara,14,Del Tamarugal,1,Tarapacá,0,0,2,0,0,0,2,1,1
1405,Pica,14,Del Tamarugal,1,Tarapacá,0,0,47,1,0,0,48,2,1
2101,Antofagasta,21,Antofagasta,2,Antofagasta,611,1178,2149,209,1176,92,5415,6,4
2102,Mejillones,21,Antofagasta,2,Antofagasta,0,20,88,1,454,9,572,5,4
2103,Sierra Gorda,21,Antofagasta,2,Antofagasta,0,2,39,2,0,0,43,3,2
2104,Taltal,21,Antofagasta,2,Antofagasta,0,0,53,1,0,9,63,3,2
2201,Calama,22,El Loa,2,Antofagasta,293,694,601,87,4276,48,5999,6,4
2202,Ollagüe,22,El Loa,2,Antofagasta,0,0,10,0,0,0,10,1,1
2203,San Pedro de Atacama,22,El Loa,2,Antofagasta,0,5,242,7,0,0,254,3,2
2301,Tocopilla,23,Tocopilla,2,Antofagasta,0,4,119,2,980,319,1424,5,4
2302,María Elena,23,Tocopilla,2,Antofagasta,0,0,20,14,0,4,38,3,2
3101,Copiapó,31,Copiapó,3,Atacama,375,721,570,74,4569,0,6309,5,3
3102,Caldera,31,Copiapó,3,Atacama,0,2,64,8,0,256,330,4,3
3103,Tierra Amarilla,31,Copiapó,3,Atacama,0,0,6,0,0,0,6,1,1
3201,Chañaral,32,Chañaral,3,Atacama,0,4,65,0,0,0,69,2,2
3202,Diego de Almagro,32,Chañaral,3,Atacama,0,12,66,6,0,0,84,3,2
3301,Vallenar,33,Huasco,3,Atacama,0,84,172,22,1433,594,2305,5,4
3302,Alto del Carmen,33,Huasco,3,Atacama,0,0,11,0,0,0,11,1,1
3303,Freirina,33,Huasco,3,Atacama,0,0,14,14,0,0,28,2,1
3304,Huasco,33,Huasco,3,Atacama,0,1,54,11,0,0,66,3,2
4101,La Serena,41,Elqui,4,Coquimbo,661,979,953,158,7551,828,11130,6,4
4102,Coquimbo,41,Elqui,4,Coquimbo,630,788,635,93,7607,289,10042,6,4
4103,Andacollo,41,Elqui,4,Coquimbo,0,4,38,1,0,23,66,4,3
4104,La Higuera,41,Elqui,4,Coquimbo,0,0,0,0,0,0,0,0,0
4105,Paihuano,41,Elqui,4,Coquimbo,0,0,0,0,0,0,0,0,0
4106,Vicuña,41,Elqui,4,Coquimbo,0,6,61,1,0,359,427,4,3
4201,Illapel,42,Choapa,4,Coquimbo,0,37,105,2,795,275,1214,5,4
4202,Canela,42,Choapa,4,Coquimbo,0,0,5,0,0,0,5,1,1
4203,Los Vilos,42,Choapa,4,Coquimbo,0,28,122,10,0,252,412,4,3
4204,Salamanca,42,Choapa,4,Coquimbo,0,0,158,3,0,0,161,2,1
4301,Ovalle,43,Limarí,4,Coquimbo,0,156,272,12,3164,1968,5572,5,4
4302,Combarbalá,43,Limarí,4,Coquimbo,0,6,34,2,0,0,42,3,2
4303,Monte Patria,43,Limarí,4,Coquimbo,0,10,2,0,0,0,12,2,2
4304,Punitaqui,43,Limarí,4,Coquimbo,0,0,0,0,0,0,0,0,0
4305,Río Hurtado,43,Limarí,4,Coquimbo,0,0,0,0,0,0,0,0,0
5101,Valparaíso,51,Valparaíso,5,Valparaíso,652,1744,1078,201,8440,105,12220,6,4
5102,Casablanca,51,Valparaíso,5,Valparaíso,8,0,50,7,0,369,434,4,3
5103,Concón,51,Valparaíso,5,Valparaíso,192,145,213,17,1484,18,2069,6,4
5104,Juan Fernández,51,Valparaíso,5,Valparaíso,0,0,0,0,0,0,0,0,0
5105,Puchuncaví,51,Valparaíso,5,Valparaíso,0,10,32,12,0,19,73,4,3
