comuna,comuna_nombre,region,region_nombre,operator,network_role,service_key,line_length_km,source_segments_intersecting,interpretation
1101,Iquique,1,Tarapacá,Claro,RedAcceso,claro_redacceso,210.0871,823,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1101,Iquique,1,Tarapacá,Claro,RedAcceso_HFC,claro_redacceso_hfc,107.4148,244,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1101,Iquique,1,Tarapacá,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,243.3275,1172,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1101,Iquique,1,Tarapacá,Entel,RedAcceso_primarias,entel_redacceso_primarias,65.4517,100,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1101,Iquique,1,Tarapacá,Infraco,RedAcceso,infraco_redacceso,387.1253,4729,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1101,Iquique,1,Tarapacá,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,22.426,63,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1107,Alto Hospicio,1,Tarapacá,Claro,RedAcceso,claro_redacceso,3.3635,4,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1107,Alto Hospicio,1,Tarapacá,Claro,RedAcceso_HFC,claro_redacceso_hfc,65.0592,180,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1107,Alto Hospicio,1,Tarapacá,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,124.0906,620,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1107,Alto Hospicio,1,Tarapacá,Entel,RedAcceso_primarias,entel_redacceso_primarias,5.3137,11,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1107,Alto Hospicio,1,Tarapacá,Infraco,RedAcceso,infraco_redacceso,231.4048,3061,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1107,Alto Hospicio,1,Tarapacá,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,21.4173,58,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1401,Pozo Almonte,1,Tarapacá,Claro,RedAcceso,claro_redacceso,2.9902,5,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1401,Pozo Almonte,1,Tarapacá,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,34.1145,192,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1401,Pozo Almonte,1,Tarapacá,Entel,RedAcceso_primarias,entel_redacceso_primarias,0.0562,1,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1401,Pozo Almonte,1,Tarapacá,Infraco,RedAcceso,infraco_redacceso,41.7654,342,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1404,Huara,1,Tarapacá,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,0.0542,2,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1405,Pica,1,Tarapacá,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,21.4977,47,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
1405,Pica,1,Tarapacá,Entel,RedAcceso_primarias,entel_redacceso_primarias,1.774,1,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2101,Antofagasta,2,Antofagasta,Claro,RedAcceso,claro_redacceso,338.61,1178,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2101,Antofagasta,2,Antofagasta,Claro,RedAcceso_HFC,claro_redacceso_hfc,271.9914,611,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2101,Antofagasta,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,461.9889,2149,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2101,Antofagasta,2,Antofagasta,Entel,RedAcceso_primarias,entel_redacceso_primarias,95.4226,209,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2101,Antofagasta,2,Antofagasta,Infraco,RedAcceso,infraco_redacceso,146.8373,1176,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2101,Antofagasta,2,Antofagasta,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,36.1157,92,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2102,Mejillones,2,Antofagasta,Claro,RedAcceso,claro_redacceso,11.9719,20,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2102,Mejillones,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,17.9657,88,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2102,Mejillones,2,Antofagasta,Entel,RedAcceso_primarias,entel_redacceso_primarias,1.8207,1,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2102,Mejillones,2,Antofagasta,Infraco,RedAcceso,infraco_redacceso,31.5693,454,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2102,Mejillones,2,Antofagasta,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,2.6927,9,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2103,Sierra Gorda,2,Antofagasta,Claro,RedAcceso,claro_redacceso,0.1785,2,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2103,Sierra Gorda,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,62.9696,39,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2103,Sierra Gorda,2,Antofagasta,Entel,RedAcceso_primarias,entel_redacceso_primarias,5.5052,2,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2104,Taltal,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,9.9534,53,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2104,Taltal,2,Antofagasta,Entel,RedAcceso_primarias,entel_redacceso_primarias,0.2471,1,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2104,Taltal,2,Antofagasta,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,2.7931,9,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2201,Calama,2,Antofagasta,Claro,RedAcceso,claro_redacceso,254.801,694,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2201,Calama,2,Antofagasta,Claro,RedAcceso_HFC,claro_redacceso_hfc,137.933,293,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2201,Calama,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,197.1079,601,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2201,Calama,2,Antofagasta,Entel,RedAcceso_primarias,entel_redacceso_primarias,56.9176,87,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2201,Calama,2,Antofagasta,Infraco,RedAcceso,infraco_redacceso,419.0843,4276,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2201,Calama,2,Antofagasta,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,21.1409,48,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2202,Ollagüe,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,0.6485,10,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2203,San Pedro de Atacama,2,Antofagasta,Claro,RedAcceso,claro_redacceso,1.0354,5,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2203,San Pedro de Atacama,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,67.9107,242,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2203,San Pedro de Atacama,2,Antofagasta,Entel,RedAcceso_primarias,entel_redacceso_primarias,1.8922,7,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2301,Tocopilla,2,Antofagasta,Claro,RedAcceso,claro_redacceso,2.3057,4,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2301,Tocopilla,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,26.3537,119,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2301,Tocopilla,2,Antofagasta,Entel,RedAcceso_primarias,entel_redacceso_primarias,0.063,2,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2301,Tocopilla,2,Antofagasta,Infraco,RedAcceso,infraco_redacceso,83.2573,980,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2301,Tocopilla,2,Antofagasta,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,39.6958,319,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2302,María Elena,2,Antofagasta,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,21.829,20,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2302,María Elena,2,Antofagasta,Entel,RedAcceso_primarias,entel_redacceso_primarias,1.9589,14,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
2302,María Elena,2,Antofagasta,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,0.5304,4,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3101,Copiapó,3,Atacama,Claro,RedAcceso,claro_redacceso,190.8952,721,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3101,Copiapó,3,Atacama,Claro,RedAcceso_HFC,claro_redacceso_hfc,157.7929,375,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3101,Copiapó,3,Atacama,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,148.5415,570,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3101,Copiapó,3,Atacama,Entel,RedAcceso_primarias,entel_redacceso_primarias,33.8485,74,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3101,Copiapó,3,Atacama,Infraco,RedAcceso,infraco_redacceso,474.6335,4569,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3102,Caldera,3,Atacama,Claro,RedAcceso,claro_redacceso,0.7486,2,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3102,Caldera,3,Atacama,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,17.2832,64,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3102,Caldera,3,Atacama,Entel,RedAcceso_primarias,entel_redacceso_primarias,3.2951,8,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3102,Caldera,3,Atacama,VTR,RedAcceso_FTTH,vtr_redacceso_ftth,40.765,256,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3103,Tierra Amarilla,3,Atacama,Entel,RedAcceso_distribucion,entel_redacceso_distribucion,6.127,6,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
3201,Chañaral,3,Atacama,Claro,RedAcceso,claro_redacceso,0.2194,4,public regulatory RedAcceso linework clipped within commune; not retail service availability or geographic/population coverage
