comuna,comuna_nombre,service_key,operator,network_role,record_count_intersecting,status
12202,Antártica,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,no_commune_geometry
12202,Antártica,claro_redacceso,Claro,RedAcceso,0,no_commune_geometry
12202,Antártica,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,no_commune_geometry
12202,Antártica,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,no_commune_geometry
12202,Antártica,infraco_redacceso,Infraco,RedAcceso,0,no_commune_geometry
12202,Antártica,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,no_commune_geometry
1101,Iquique,claro_redacceso_hfc,Claro,RedAcceso_HFC,244,ok
1101,Iquique,claro_redacceso,Claro,RedAcceso,823,ok
1101,Iquique,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,1172,ok
1101,Iquique,entel_redacceso_primarias,Entel,RedAcceso_primarias,100,ok
1101,Iquique,infraco_redacceso,Infraco,RedAcceso,4729,ok
1101,Iquique,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,63,ok
1107,Alto Hospicio,claro_redacceso_hfc,Claro,RedAcceso_HFC,180,ok
1107,Alto Hospicio,claro_redacceso,Claro,RedAcceso,4,ok
1107,Alto Hospicio,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,620,ok
1107,Alto Hospicio,entel_redacceso_primarias,Entel,RedAcceso_primarias,11,ok
1107,Alto Hospicio,infraco_redacceso,Infraco,RedAcceso,3061,ok
1107,Alto Hospicio,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,58,ok
1401,Pozo Almonte,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
1401,Pozo Almonte,claro_redacceso,Claro,RedAcceso,5,ok
1401,Pozo Almonte,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,192,ok
1401,Pozo Almonte,entel_redacceso_primarias,Entel,RedAcceso_primarias,1,ok
1401,Pozo Almonte,infraco_redacceso,Infraco,RedAcceso,342,ok
1401,Pozo Almonte,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
1402,Camiña,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
1402,Camiña,claro_redacceso,Claro,RedAcceso,0,ok
1402,Camiña,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,ok
1402,Camiña,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
1402,Camiña,infraco_redacceso,Infraco,RedAcceso,0,ok
