region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,fixed_connections_total,fixed_connections_residential,residential_share_pct,period,source_url
1,Tarapacá,11,Iquique,1101,Iquique,58491,52286,89.3915,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
1,Tarapacá,11,Iquique,1107,Alto Hospicio,25233,23982,95.0422,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,2890,2586,89.481,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
1,Tarapacá,14,Del Tamarugal,1402,Camiña,57,41,71.9298,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
1,Tarapacá,14,Del Tamarugal,1403,Colchane,149,126,84.5638,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
1,Tarapacá,14,Del Tamarugal,1404,Huara,352,299,84.9432,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
1,Tarapacá,14,Del Tamarugal,1405,Pica,791,695,87.8635,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
2,Antofagasta,21,Antofagasta,2101,Antofagasta,120596,111930,92.814,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
2,Antofagasta,21,Antofagasta,2102,Mejillones,3185,2858,89.7331,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,926,700,75.594,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
