region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,censo_2024_households,censo_2024_rural_households_pct,fixed_total_2024m06,fixed_residential_2024m06,fixed_residential_per_100_censo_households_2024m06,source_status_2024m06,fixed_total_2025m06,fixed_residential_2025m06,fixed_residential_per_100_censo_households_2025m06,source_status_2025m06,fixed_total_2026m06,fixed_residential_2026m06,fixed_residential_per_100_censo_households_2026m06,source_status_2026m06,fixed_residential_change_2024m06_to_2025m06,fixed_residential_growth_pct_2024m06_to_2025m06,fixed_residential_intensity_change_pp_2024m06_to_2025m06,fixed_residential_change_2025m06_to_2026m06,fixed_residential_growth_pct_2025m06_to_2026m06,fixed_residential_intensity_change_pp_2025m06_to_2026m06,fixed_residential_change_2024m06_to_2026m06,fixed_residential_growth_pct_2024m06_to_2026m06,fixed_residential_intensity_change_pp_2024m06_to_2026m06
1,Tarapacá,11,Iquique,1101,Iquique,71344,1.7479,57691,51083,71.601,reported,58661,51963,72.8344,reported,64702,52189,73.1512,reported,880,1.7227,1.2335,226,0.4349,0.3168,1106,2.1651,1.5502
1,Tarapacá,11,Iquique,1107,Alto Hospicio,42399,0.408,22752,21562,50.855,reported,24728,23435,55.2725,reported,25231,24031,56.6782,reported,1873,8.6866,4.4176,596,2.5432,1.4057,2469,11.4507,5.8233
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5675,20.7048,2016,1760,31.0132,reported,2222,1923,33.8855,reported,2965,2654,46.7665,reported,163,9.2614,2.8722,731,38.0135,12.8811,894,50.7955,15.7533
1,Tarapacá,14,Del Tamarugal,1402,Camiña,489,100.0,28,19,3.8855,reported,45,24,4.908,reported,65,47,9.6115,reported,5,26.3158,1.0225,23,95.8333,4.7035,28,147.3684,5.726
1,Tarapacá,14,Del Tamarugal,1403,Colchane,353,100.0,57,49,13.881,reported,157,128,36.2606,reported,157,129,36.5439,reported,79,161.2245,22.3796,1,0.7812,0.2833,80,163.2653,22.6629
1,Tarapacá,14,Del Tamarugal,1404,Huara,1039,57.9403,97,77,7.411,reported,119,89,8.5659,reported,374,318,30.6064,reported,12,15.5844,1.155,229,257.3034,22.0404,241,312.987,23.1954
1,Tarapacá,14,Del Tamarugal,1405,Pica,2184,29.5788,216,161,7.3718,reported,276,207,9.478,reported,828,722,33.0586,reported,46,28.5714,2.1062,515,248.7923,23.5806,561,348.4472,25.6868
2,Antofagasta,21,Antofagasta,2101,Antofagasta,135023,0.4244,116484,107517,79.6287,reported,118881,109846,81.3535,reported,121033,112585,83.3821,reported,2329,2.1662,1.7249,2739,2.4935,2.0285,5068,4.7137,3.7534
2,Antofagasta,21,Antofagasta,2102,Mejillones,4774,4.2103,2632,2376,49.7696,reported,3019,2734,57.2685,reported,3213,2875,60.222,reported,358,15.0673,7.499,141,5.1573,2.9535,499,21.0017,10.4525
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,487,100.0,548,452,92.8131,reported,762,581,119.3018,reported,961,737,151.3347,reported,129,28.5398,26.4887,156,26.8503,32.0329,285,63.0531,58.5216
2,Antofagasta,21,Antofagasta,2104,Taltal,4129,8.5493,2262,2084,50.4723,reported,2416,2220,53.766,reported,3321,3081,74.6186,reported,136,6.5259,3.2938,861,38.7838,20.8525,997,47.8407,24.1463
2,Antofagasta,22,El Loa,2201,Calama,56541,2.7201,46731,43989,77.8002,reported,48105,45246,80.0233,reported,48010,45296,80.1118,reported,1257,2.8575,2.2232,50,0.1105,0.0884,1307,2.9712,2.3116
2,Antofagasta,22,El Loa,2202,Ollagüe,102,100.0,17,15,14.7059,reported,47,31,30.3922,reported,74,51,50.0,reported,16,106.6667,15.6863,20,64.5161,19.6078,36,240.0,35.2941
