rank_lowest_intensity_2026,comuna,comuna_nombre,region_nombre,censo_2024_households,censo_2024_rural_households_pct,fixed_residential_per_100_censo_households_2024m06,fixed_residential_per_100_censo_households_2025m06,fixed_residential_per_100_censo_households_2026m06,fixed_residential_growth_pct_2025m06_to_2026m06,ranking_scope
1,7307,Sagrada Familia,Maule,6735,53.6451,3.5189,3.7862,4.2762,12.9412,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
2,8309,Quilleco,Biobío,3584,44.8661,5.0223,3.9621,4.8828,23.2394,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
3,10306,San Juan de la Costa,Los Lagos,3343,100.0,1.7948,3.799,6.1023,60.6299,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
4,16303,Ñiquén,Ñuble,4921,88.7624,6.7872,5.8321,7.3969,26.8293,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
5,6309,Pumanque,Libertador General Bernardo O'Higgins,1777,100.0,12.0428,9.0602,7.991,-11.8012,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
6,4305,Río Hurtado,Coquimbo,1882,100.0,2.0723,3.4538,8.0765,133.8462,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
7,9205,Lonquimay,La Araucanía,3774,63.4075,5.8559,7.4722,8.4791,13.4752,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
8,6206,Paredones,Libertador General Bernardo O'Higgins,2857,75.7438,4.4452,6.1953,9.2405,49.1525,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
9,5404,Petorca,Valparaíso,3820,62.6702,7.3822,8.3246,9.3979,12.8931,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
10,4105,Paihuano,Coquimbo,1870,100.0,4.6524,7.0053,9.6791,38.1679,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
11,6308,Placilla,Libertador General Bernardo O'Higgins,3288,75.2433,12.1655,10.9793,10.0365,-8.5873,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
12,7103,Curepto,Maule,3791,67.3437,8.2828,9.5489,10.182,6.6298,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
13,9110,Melipeuco,La Araucanía,2632,61.0942,6.307,7.2948,10.4863,43.75,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
14,8302,Antuco,Biobío,1723,53.9756,5.3395,9.4022,10.9692,16.6667,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
15,3302,Alto del Carmen,Atacama,1922,100.0,4.2664,7.4402,11.2903,51.7483,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
16,9207,Lumaco,La Araucanía,3404,57.5206,5.8167,7.9025,11.3102,43.1227,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
17,8207,Tirúa,Biobío,3609,74.0371,5.7634,8.0355,11.4713,42.7586,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
18,16305,San Nicolás,Ñuble,5445,67.64,9.55,10.5051,11.9008,13.2867,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
19,10206,Puqueldón,Los Lagos,1558,100.0,8.4724,9.1784,11.9384,30.0699,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
20,6306,Palmilla,Libertador General Bernardo O'Higgins,4455,74.6577,10.303,11.3805,11.9416,4.931,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
21,7202,Chanco,Maule,3486,59.3804,9.0648,10.4418,12.0769,15.6593,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
22,7106,Pelarco,Maule,3247,72.9905,9.9784,11.4259,12.1651,6.469,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
23,9116,Saavedra,La Araucanía,4930,80.1014,9.5132,11.0751,12.5152,13.0037,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
24,16104,El Carmen,Ñuble,5014,58.0574,9.3139,11.4081,13.1631,15.3846,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
25,9104,Curarrehue,La Araucanía,2907,75.3354,8.8751,9.7695,13.2095,35.2113,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
26,3303,Freirina,Atacama,2736,41.0088,6.3596,8.3699,13.7792,64.6288,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
27,16302,Coihueco,Ñuble,10473,69.2256,12.2601,14.208,14.5803,2.621,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
28,13505,San Pedro,Metropolitana de Santiago,3975,100.0,12.2264,13.7358,15.0943,9.8901,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
29,16205,Portezuelo,Ñuble,2047,63.3122,11.0894,13.3854,15.5349,16.0584,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
30,16204,Ninhue,Ñuble,2309,72.8021,12.9926,15.1581,15.6345,3.1429,communes with >=1000 Censo 2024 households and reported June-2026 SUBTEL value
