metric,region,block_start_row,block_end_row,block_rows,regional_subtotal_row,mapped_commune_slots,catalogue_communes,source_blank_slots,regional_subtotal,mapped_value_sum,subtotal_delta,source_labels_matching_mapped_names,label_order_status,count_status,subtotal_status
total_fixed_connections_2026m03,1,10,17,8,18,7,7,0,87963,87963,0,7,pass,pass,pass
total_fixed_connections_2026m03,2,19,27,9,28,9,9,0,186013,186013,0,9,pass,pass,pass
total_fixed_connections_2026m03,3,29,38,10,39,9,9,0,74875,74875,0,9,pass,pass,pass
total_fixed_connections_2026m03,4,40,55,16,56,15,15,0,203429,203429,0,15,pass,pass,pass
total_fixed_connections_2026m03,5,57,94,38,95,38,38,0,592980,592980,0,38,pass,pass,pass
total_fixed_connections_2026m03,6,96,128,33,129,33,33,0,206649,206649,0,33,pass,pass,pass
total_fixed_connections_2026m03,7,130,159,30,160,30,30,0,221535,221535,0,30,pass,pass,pass
total_fixed_connections_2026m03,8,161,193,33,194,33,33,0,465280,465280,0,3,pass,pass,pass
total_fixed_connections_2026m03,9,195,226,32,227,32,32,0,221851,221851,0,0,pass,pass,pass
total_fixed_connections_2026m03,10,228,258,31,259,30,30,0,188991,188991,0,0,pass,pass,pass
total_fixed_connections_2026m03,11,260,270,11,271,10,10,0,25661,25661,0,0,pass,pass,pass
total_fixed_connections_2026m03,12,272,282,11,283,11,11,1,56671,56671,0,0,pass,pass,pass
total_fixed_connections_2026m03,13,284,336,53,337,52,52,0,2080448,2080448,0,0,pass,pass,pass
total_fixed_connections_2026m03,14,338,349,12,350,12,12,0,86483,86483,0,0,pass,pass,pass
total_fixed_connections_2026m03,15,351,354,4,355,4,4,0,60235,60235,0,0,pass,pass,pass
total_fixed_connections_2026m03,16,356,376,21,377,21,21,0,100615,100615,0,0,pass,pass,pass
residential_fixed_connections_2026m03,1,10,17,8,18,7,7,0,80015,80015,0,7,pass,pass,pass
residential_fixed_connections_2026m03,2,19,27,9,28,9,9,0,172557,172557,0,9,pass,pass,pass
residential_fixed_connections_2026m03,3,29,38,10,39,9,9,0,70753,70753,0,9,pass,pass,pass
residential_fixed_connections_2026m03,4,40,55,16,56,15,15,0,193142,193142,0,15,pass,pass,pass
residential_fixed_connections_2026m03,5,57,94,38,95,38,38,0,564380,564380,0,38,pass,pass,pass
residential_fixed_connections_2026m03,6,96,128,33,129,33,33,0,197735,197735,0,33,pass,pass,pass
residential_fixed_connections_2026m03,7,130,159,30,160,30,30,0,209913,209913,0,30,pass,pass,pass
residential_fixed_connections_2026m03,8,161,193,33,194,33,33,0,446647,446647,0,3,pass,pass,pass
residential_fixed_connections_2026m03,9,195,226,32,227,32,32,0,211371,211371,0,0,pass,pass,pass
residential_fixed_connections_2026m03,10,228,258,31,259,30,30,0,180482,180482,0,0,pass,pass,pass
residential_fixed_connections_2026m03,11,260,270,11,271,10,10,0,24387,24387,0,0,pass,pass,pass
residential_fixed_connections_2026m03,12,272,282,11,283,11,11,1,51902,51902,0,0,pass,pass,pass
residential_fixed_connections_2026m03,13,284,336,53,337,52,52,0,1955094,1955094,0,0,pass,pass,pass
residential_fixed_connections_2026m03,14,338,349,12,350,12,12,0,83483,83483,0,0,pass,pass,pass
residential_fixed_connections_2026m03,15,351,354,4,355,4,4,0,56684,56684,0,0,pass,pass,pass
residential_fixed_connections_2026m03,16,356,376,21,377,21,21,0,96619,96619,0,0,pass,pass,pass
