metric,region,block_start_row,block_end_row,block_rows,regional_subtotal_row,mapped_commune_slots,catalogue_communes,source_blank_slots,regional_subtotal,mapped_value_sum,subtotal_delta,source_labels_matching_mapped_names,label_order_status,count_status,subtotal_status
total_fixed_connections_2026m06,1,10,17,8,18,7,7,0,94322,94322,0,7,pass,pass,pass
total_fixed_connections_2026m06,2,19,27,9,28,9,9,0,186994,186994,0,9,pass,pass,pass
total_fixed_connections_2026m06,3,29,38,10,39,9,9,0,75682,75682,0,9,pass,pass,pass
total_fixed_connections_2026m06,4,40,55,16,56,15,15,0,204188,204188,0,15,pass,pass,pass
total_fixed_connections_2026m06,5,57,94,38,95,38,38,0,597386,597386,0,38,pass,pass,pass
total_fixed_connections_2026m06,6,96,128,33,129,33,33,0,206650,206650,0,33,pass,pass,pass
total_fixed_connections_2026m06,7,130,159,30,160,30,30,0,222361,222361,0,30,pass,pass,pass
total_fixed_connections_2026m06,8,161,193,33,194,33,33,0,478153,478153,0,3,pass,pass,pass
total_fixed_connections_2026m06,9,195,226,32,227,32,32,0,224047,224047,0,0,pass,pass,pass
total_fixed_connections_2026m06,10,228,258,31,259,30,30,0,190188,190188,0,0,pass,pass,pass
total_fixed_connections_2026m06,11,260,270,11,271,10,10,0,26294,26294,0,0,pass,pass,pass
total_fixed_connections_2026m06,12,272,282,11,283,11,11,1,57056,57056,0,0,pass,pass,pass
total_fixed_connections_2026m06,13,284,336,53,337,52,52,0,2086886,2086886,0,0,pass,pass,pass
total_fixed_connections_2026m06,14,338,349,12,350,12,12,0,86957,86957,0,0,pass,pass,pass
total_fixed_connections_2026m06,15,351,354,4,355,4,4,0,60346,60346,0,0,pass,pass,pass
total_fixed_connections_2026m06,16,356,376,21,377,21,21,0,102859,102859,0,0,pass,pass,pass
residential_fixed_connections_2026m06,1,10,17,8,18,7,7,0,80090,80090,0,7,pass,pass,pass
residential_fixed_connections_2026m06,2,19,27,9,28,9,9,0,174290,174290,0,9,pass,pass,pass
residential_fixed_connections_2026m06,3,29,38,10,39,9,9,0,71640,71640,0,9,pass,pass,pass
residential_fixed_connections_2026m06,4,40,55,16,56,15,15,0,194023,194023,0,15,pass,pass,pass
residential_fixed_connections_2026m06,5,57,94,38,95,38,38,0,569211,569211,0,38,pass,pass,pass
residential_fixed_connections_2026m06,6,96,128,33,129,33,33,0,197875,197875,0,33,pass,pass,pass
residential_fixed_connections_2026m06,7,130,159,30,160,30,30,0,211409,211409,0,30,pass,pass,pass
residential_fixed_connections_2026m06,8,161,193,33,194,33,33,0,459012,459012,0,3,pass,pass,pass
residential_fixed_connections_2026m06,9,195,226,32,227,32,32,0,213776,213776,0,0,pass,pass,pass
residential_fixed_connections_2026m06,10,228,258,31,259,30,30,0,181670,181670,0,0,pass,pass,pass
residential_fixed_connections_2026m06,11,260,270,11,271,10,10,0,24782,24782,0,0,pass,pass,pass
residential_fixed_connections_2026m06,12,272,282,11,283,11,11,1,52230,52230,0,0,pass,pass,pass
residential_fixed_connections_2026m06,13,284,336,53,337,52,52,0,1971566,1971566,0,0,pass,pass,pass
residential_fixed_connections_2026m06,14,338,349,12,350,12,12,0,84004,84004,0,0,pass,pass,pass
residential_fixed_connections_2026m06,15,351,354,4,355,4,4,0,56929,56929,0,0,pass,pass,pass
residential_fixed_connections_2026m06,16,356,376,21,377,21,21,0,98806,98806,0,0,pass,pass,pass
