period,metric,region,block_start_row,block_end_row,block_rows,regional_subtotal_row,mapped_commune_slots,catalogue_communes,source_blank_slots,regional_subtotal,mapped_value_sum,subtotal_delta,source_labels_matching_mapped_names,label_order_status,count_status,subtotal_status
2024-06,total_2024-06,1,10,17,8,18,7,7,0,82857,82857,0,7,pass,pass,pass
2024-06,total_2024-06,2,19,27,9,28,9,9,0,175998,175998,0,9,pass,pass,pass
2024-06,total_2024-06,3,29,38,10,39,9,9,0,66059,66059,0,9,pass,pass,pass
2024-06,total_2024-06,4,40,55,16,56,15,15,0,189540,189540,0,15,pass,pass,pass
2024-06,total_2024-06,5,57,94,38,95,38,38,0,546424,546424,0,38,pass,pass,pass
2024-06,total_2024-06,6,96,128,33,129,33,33,0,194669,194669,0,33,pass,pass,pass
2024-06,total_2024-06,7,130,159,30,160,30,30,0,202166,202166,0,30,pass,pass,pass
2024-06,total_2024-06,8,161,193,33,194,33,33,0,425928,425928,0,3,pass,pass,pass
2024-06,total_2024-06,9,195,226,32,227,32,32,0,200673,200673,0,0,pass,pass,pass
2024-06,total_2024-06,10,228,258,31,259,30,30,0,176435,176435,0,0,pass,pass,pass
2024-06,total_2024-06,11,260,270,11,271,10,10,0,23364,23364,0,0,pass,pass,pass
2024-06,total_2024-06,12,272,282,11,283,11,11,0,54515,54515,0,0,pass,pass,pass
2024-06,total_2024-06,13,284,336,53,337,52,52,0,2039155,2039155,0,0,pass,pass,pass
2024-06,total_2024-06,14,338,349,12,350,12,12,0,81624,81624,0,0,pass,pass,pass
2024-06,total_2024-06,15,351,354,4,355,4,4,0,59142,59142,0,0,pass,pass,pass
2024-06,total_2024-06,16,356,376,21,377,21,21,0,92291,92291,0,0,pass,pass,pass
2024-06,residential_2024-06,1,10,17,8,18,7,7,0,74711,74711,0,7,pass,pass,pass
2024-06,residential_2024-06,2,19,27,9,28,9,9,0,163053,163053,0,9,pass,pass,pass
2024-06,residential_2024-06,3,29,38,10,39,9,9,0,61746,61746,0,9,pass,pass,pass
2024-06,residential_2024-06,4,40,55,16,56,15,15,0,178502,178502,0,15,pass,pass,pass
2024-06,residential_2024-06,5,57,94,38,95,38,38,0,519350,519350,0,38,pass,pass,pass
2024-06,residential_2024-06,6,96,128,33,129,33,33,0,184999,184999,0,33,pass,pass,pass
2024-06,residential_2024-06,7,130,159,30,160,30,30,0,190516,190516,0,30,pass,pass,pass
2024-06,residential_2024-06,8,161,193,33,194,33,33,0,407720,407720,0,3,pass,pass,pass
2024-06,residential_2024-06,9,195,226,32,227,32,32,0,190004,190004,0,0,pass,pass,pass
2024-06,residential_2024-06,10,228,258,31,259,30,30,0,167944,167944,0,0,pass,pass,pass
2024-06,residential_2024-06,11,260,270,11,271,10,10,0,22309,22309,0,0,pass,pass,pass
2024-06,residential_2024-06,12,272,282,11,283,11,11,0,49324,49324,0,0,pass,pass,pass
2024-06,residential_2024-06,13,284,336,53,337,52,52,0,1909268,1909268,0,0,pass,pass,pass
2024-06,residential_2024-06,14,338,349,12,350,12,12,0,78302,78302,0,0,pass,pass,pass
2024-06,residential_2024-06,15,351,354,4,355,4,4,0,55403,55403,0,0,pass,pass,pass
2024-06,residential_2024-06,16,356,376,21,377,21,21,0,87828,87828,0,0,pass,pass,pass
2025-06,total_2025-06,1,10,17,8,18,7,7,0,86208,86208,0,7,pass,pass,pass
2025-06,total_2025-06,2,19,27,9,28,9,9,0,181291,181291,0,9,pass,pass,pass
2025-06,total_2025-06,3,29,38,10,39,9,9,0,70486,70486,0,9,pass,pass,pass
2025-06,total_2025-06,4,40,55,16,56,15,15,0,195888,195888,0,15,pass,pass,pass
2025-06,total_2025-06,5,57,94,38,95,38,38,0,568381,568381,0,38,pass,pass,pass
2025-06,total_2025-06,6,96,128,33,129,33,33,0,201862,201862,0,33,pass,pass,pass
2025-06,total_2025-06,7,130,159,30,160,30,30,0,215244,215244,0,30,pass,pass,pass
2025-06,total_2025-06,8,161,193,33,194,33,33,0,433946,433946,0,3,pass,pass,pass
2025-06,total_2025-06,9,195,226,32,227,32,32,0,207906,207906,0,0,pass,pass,pass
2025-06,total_2025-06,10,228,258,31,259,30,30,0,182358,182358,0,0,pass,pass,pass
2025-06,total_2025-06,11,260,270,11,271,10,10,0,24121,24121,0,0,pass,pass,pass
2025-06,total_2025-06,12,272,282,11,283,11,11,1,56254,56254,0,0,pass,pass,pass
