metric,source_region,source_commune,value,source_row
total_fixed_connections_2026m03,8,Treguaco,280,211
total_fixed_connections_2026m03,10,Sin clasificación,30,279
total_fixed_connections_2026m03,11,Sin clasificación,4398,291
total_fixed_connections_2026m03,13,Til Til,60235,355
total_fixed_connections_2026m03,13,Sin clasificación,56683,357
residential_fixed_connections_2026m03,8,Treguaco,256,211
residential_fixed_connections_2026m03,10,Sin clasificación,23,279
residential_fixed_connections_2026m03,11,Sin clasificación,4248,291
residential_fixed_connections_2026m03,13,Til Til,56684,355
residential_fixed_connections_2026m03,13,Sin clasificación,53960,357
