variable,label_es,source_layer,statistical_unit,territorial_level,unit,denominator_or_weight,description,comparability_note
region,Código de región,Censo/Atlas,territorio,comuna,código,no aplica,Identificador numérico de región.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
region_nombre,Región,Censo/Atlas,territorio,comuna,texto,no aplica,Nombre de la región.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
provincia,Código de provincia,Censo/Atlas,territorio,comuna,código,no aplica,Identificador numérico de provincia.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
provincia_nombre,Provincia,Censo/Atlas,territorio,comuna,texto,no aplica,Nombre de la provincia.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
comuna,Código de comuna,Censo/Atlas,territorio,comuna,código,no aplica,Código territorial usado como llave principal del maestro.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
comuna_nombre,Comuna,Censo/Atlas,territorio,comuna,texto,no aplica,Nombre de la comuna.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_total,Hogares totales,Censo/Atlas,hogar,comuna,número,no aplica,Total de hogares de la comuna en la capa integrada.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_validos_internet,Hogares válidos para Internet,Censo/Atlas,hogar,comuna,número,no aplica,Hogares con respuesta válida para la variable de acceso a Internet.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_sin_internet_n,Hogares sin Internet,Censo/Atlas,hogar,comuna,número,no aplica,Número de hogares clasificados sin acceso a Internet.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_sin_internet_pct,Hogares sin Internet,Censo/Atlas,hogar,comuna,porcentaje,hogares_validos_internet,Porcentaje de hogares válidos para Internet clasificados sin acceso.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_trampa_movil_n,Hogares con dependencia móvil,Atlas derivado,hogar,comuna,número,no aplica,Proxy operacional de hogares con conectividad dependiente del móvil. No es una categoría oficial del Censo.,Proxy del proyecto; no es categoría oficial censal.
hogares_trampa_movil_pct,Dependencia móvil,Atlas derivado,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Proxy operacional de dependencia móvil. No es una categoría oficial del Censo.,Proxy del proyecto; no es categoría oficial censal.
hogares_con_tel_movil_n,Hogares con teléfono móvil,Censo/Atlas,hogar,comuna,número,no aplica,Hogares con disponibilidad de teléfono móvil.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_tel_movil_pct,Hogares con teléfono móvil,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con teléfono móvil.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_computador_n,Hogares con computador,Censo/Atlas,hogar,comuna,número,no aplica,Hogares con computador.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_computador_pct,Hogares con computador,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con computador.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_internet_fija_n,Hogares con Internet fija,Censo/Atlas,hogar,comuna,número,no aplica,Hogares con Internet fija.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_internet_fija_pct,Internet fija,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con Internet fija.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_internet_movil_n,Hogares con Internet móvil,Censo/Atlas,hogar,comuna,número,no aplica,Hogares con Internet móvil.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_internet_movil_pct,Internet móvil,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con Internet móvil.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_internet_satelital_n,Hogares con Internet satelital,Censo/Atlas,hogar,comuna,número,no aplica,Hogares con Internet satelital.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_con_internet_satelital_pct,Internet satelital,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con Internet satelital.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_urbanos_n,Hogares urbanos,Censo/Atlas,hogar,comuna,número,no aplica,Número de hogares urbanos.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_urbanos_pct,Hogares urbanos,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares urbanos.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
hogares_rurales_n,Hogares rurales,Censo/Atlas,hogar,comuna,número,no aplica,Número de hogares rurales.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
