source_id,repo_latest_period,public_latest_period,checked_at,status,source_url,note
subtel_fixed_series_2026m06,2026-06,2026-06,2026-09-12,current,https://www.subtel.gob.cl/estudios-y-estadisticas/internet/,SUBTEL page identifies June 2026 as the latest published fixed Internet series
subtel_mobile_series_2026m06,2026-06,2026-06,2026-09-12,current,https://www.subtel.gob.cl/estudios-y-estadisticas/internet/,SUBTEL page identifies June 2026 as the latest published mobile Internet series
subtel_mobile_traffic_2026m06,2026-06,2026-06,2026-09-12,current,https://www.subtel.gob.cl/estudios-y-estadisticas/internet/,SUBTEL page identifies June 2026 as the latest published mobile data traffic series
subtel_fixed_traffic_2026m06,2026-06,2026-06,2026-09-12,current,https://www.subtel.gob.cl/estudios-y-estadisticas/internet/,SUBTEL page identifies June 2026 as the latest published fixed data traffic series
subtel_portability_2026q2,2026Q2,2026Q2,2026-09-12,current,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Official Q2 portability layer integrated
subtel_fdt_2026q1,2026Q1,2026Q1 located,2026-09-12,current_publicly_located,https://www.subtel.gob.cl/wp-content/uploads/2026/04/Informe_Nacional_1er_Trim_2026.pdf,Q1 national report integrated; Q2 national report was not located in the public search used for this refresh
subtel_fdt_project_updates_2026,2026-08-25,2026-08-25,2026-09-12,current,https://www.subtel.gob.cl/ministerio-de-transportes-y-telecomunicaciones-y-gobierno-regional-de-aysen-anuncian-la-adjudicacion-del-proyecto-fibra-optica-ultima-milla-que-conectara-33-localidades-rurales-con-alta-velocidad/,Latest FDT-specific project event integrated in this refresh
subtel_network_resilience_2026,2026-08-12,2026-08-12,2026-09-12,current,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Latest resilience/recovery observation used in the new event layer
subtel_oti_2026m01,2026-01,2026-01 located,2026-09-12,current_publicly_located,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,No later monthly OTI regional publication was located in the public search used for this refresh
ookla2026q2,2026Q2,2026Q2,2026-09-12,current,https://ookla-open-data.s3.amazonaws.com/parquet/performance/,Q2 2026 fixed and mobile parquet files were successfully read by the repository build and passed national and territorial QA
