comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_4g_point_records_2025m03,entel_4g_point_records_2025m03,movistar_4g_point_records_2025m03,wom_4g_point_records_2025m03,mobile_4g_point_records_2025m03,mobile_4g_operators_present_2025m03,claro_5g_point_records_2025m03,entel_5g_point_records_2025m03,movistar_5g_point_records_2025m03,wom_5g_point_records_2025m03,mobile_5g_point_records_2025m03,mobile_5g_operators_present_2025m03
1101,Iquique,11,Iquique,1,Tarapacá,21,66,46,54,187,4,0,26,11,9,46,3
1107,Alto Hospicio,11,Iquique,1,Tarapacá,9,40,16,12,77,4,0,7,4,3,14,3
1401,Pozo Almonte,14,Del Tamarugal,1,Tarapacá,3,14,8,5,30,4,0,4,2,2,8,3
1402,Camiña,14,Del Tamarugal,1,Tarapacá,1,1,2,0,4,3,0,0,2,0,2,1
1403,Colchane,14,Del Tamarugal,1,Tarapacá,0,2,0,0,2,1,0,0,0,0,0,0
1404,Huara,14,Del Tamarugal,1,Tarapacá,2,6,2,3,13,4,0,2,1,2,5,3
1405,Pica,14,Del Tamarugal,1,Tarapacá,1,12,2,3,18,4,0,3,1,1,5,3
2101,Antofagasta,21,Antofagasta,2,Antofagasta,39,151,68,72,330,4,17,26,23,3,69,4
2102,Mejillones,21,Antofagasta,2,Antofagasta,2,10,8,6,26,4,0,6,5,2,13,3
2103,Sierra Gorda,21,Antofagasta,2,Antofagasta,3,14,7,1,25,4,0,1,0,0,1,1
2104,Taltal,21,Antofagasta,2,Antofagasta,1,13,3,6,23,4,0,3,3,3,9,3
2201,Calama,22,El Loa,2,Antofagasta,16,81,48,40,185,4,0,21,8,2,31,3
2202,Ollagüe,22,El Loa,2,Antofagasta,1,1,0,0,2,2,0,0,0,0,0,0
2203,San Pedro de Atacama,22,El Loa,2,Antofagasta,2,15,3,3,23,4,0,2,1,0,3,2
2301,Tocopilla,23,Tocopilla,2,Antofagasta,4,7,4,7,22,4,0,4,3,3,10,3
2302,María Elena,23,Tocopilla,2,Antofagasta,1,5,3,5,14,4,0,0,1,2,3,2
3101,Copiapó,31,Copiapó,3,Atacama,13,71,47,44,175,4,0,22,4,5,31,3
3102,Caldera,31,Copiapó,3,Atacama,5,12,13,10,40,4,0,5,3,3,11,3
3103,Tierra Amarilla,31,Copiapó,3,Atacama,1,14,5,6,26,4,0,3,1,2,6,3
3201,Chañaral,32,Chañaral,3,Atacama,4,8,6,9,27,4,0,4,3,6,13,3
3202,Diego de Almagro,32,Chañaral,3,Atacama,3,9,8,7,27,4,0,3,3,2,8,3
3301,Vallenar,33,Huasco,3,Atacama,8,23,22,19,72,4,0,5,3,4,12,3
3302,Alto del Carmen,33,Huasco,3,Atacama,2,5,3,8,18,4,0,0,1,3,4,2
3303,Freirina,33,Huasco,3,Atacama,2,3,3,2,10,4,0,1,2,2,5,3
3304,Huasco,33,Huasco,3,Atacama,2,7,4,7,20,4,0,3,3,2,8,3
4101,La Serena,41,Elqui,4,Coquimbo,30,107,67,85,289,4,0,27,7,16,50,3
4102,Coquimbo,41,Elqui,4,Coquimbo,34,124,66,82,306,4,0,6,6,9,21,3
4103,Andacollo,41,Elqui,4,Coquimbo,3,9,4,12,28,4,0,3,2,6,11,3
4104,La Higuera,41,Elqui,4,Coquimbo,2,6,4,7,19,4,0,0,3,3,6,2
4105,Paihuano,41,Elqui,4,Coquimbo,3,3,6,4,16,4,0,1,4,2,7,3
4106,Vicuña,41,Elqui,4,Coquimbo,5,13,6,12,36,4,0,3,4,5,12,3
4201,Illapel,42,Choapa,4,Coquimbo,5,15,10,12,42,4,0,4,4,4,12,3
4202,Canela,42,Choapa,4,Coquimbo,3,13,4,9,29,4,0,2,2,2,6,3
4203,Los Vilos,42,Choapa,4,Coquimbo,2,31,12,18,63,4,0,5,5,4,14,3
4204,Salamanca,42,Choapa,4,Coquimbo,2,23,6,15,46,4,0,4,4,5,13,3
4301,Ovalle,43,Limarí,4,Coquimbo,14,55,36,27,132,4,0,3,3,5,11,3
4302,Combarbalá,43,Limarí,4,Coquimbo,3,6,5,8,22,4,0,3,4,6,13,3
4303,Monte Patria,43,Limarí,4,Coquimbo,3,19,9,7,38,4,0,6,2,3,11,3
4304,Punitaqui,43,Limarí,4,Coquimbo,1,6,4,9,20,4,0,2,2,5,9,3
4305,Río Hurtado,43,Limarí,4,Coquimbo,1,8,4,0,13,3,0,7,4,0,11,2
5101,Valparaíso,51,Valparaíso,5,Valparaíso,49,120,69,116,354,4,16,31,13,17,77,4
5102,Casablanca,51,Valparaíso,5,Valparaíso,14,20,12,24,70,4,0,4,5,3,12,3
5103,Concón,51,Valparaíso,5,Valparaíso,8,13,16,27,64,4,6,1,8,9,24,4
5104,Juan Fernández,51,Valparaíso,5,Valparaíso,0,0,0,0,0,0,0,0,0,0,0,0
