comuna,comuna_nombre,region,region_nombre,period,operator,technology,point_records,interpretation
1101,Iquique,1,Tarapacá,2025-03,Claro,4G,21,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1101,Iquique,1,Tarapacá,2025-03,Entel,4G,66,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1101,Iquique,1,Tarapacá,2025-03,Movistar,4G,46,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1101,Iquique,1,Tarapacá,2025-03,WOM,4G,54,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1101,Iquique,1,Tarapacá,2025-03,Claro,5G,0,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1101,Iquique,1,Tarapacá,2025-03,Entel,5G,26,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1101,Iquique,1,Tarapacá,2025-03,Movistar,5G,11,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1101,Iquique,1,Tarapacá,2025-03,WOM,5G,9,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1107,Alto Hospicio,1,Tarapacá,2025-03,Claro,4G,9,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1107,Alto Hospicio,1,Tarapacá,2025-03,Entel,4G,40,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1107,Alto Hospicio,1,Tarapacá,2025-03,Movistar,4G,16,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1107,Alto Hospicio,1,Tarapacá,2025-03,WOM,4G,12,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1107,Alto Hospicio,1,Tarapacá,2025-03,Claro,5G,0,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1107,Alto Hospicio,1,Tarapacá,2025-03,Entel,5G,7,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1107,Alto Hospicio,1,Tarapacá,2025-03,Movistar,5G,4,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1107,Alto Hospicio,1,Tarapacá,2025-03,WOM,5G,3,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1401,Pozo Almonte,1,Tarapacá,2025-03,Claro,4G,3,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1401,Pozo Almonte,1,Tarapacá,2025-03,Entel,4G,14,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1401,Pozo Almonte,1,Tarapacá,2025-03,Movistar,4G,8,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1401,Pozo Almonte,1,Tarapacá,2025-03,WOM,4G,5,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1401,Pozo Almonte,1,Tarapacá,2025-03,Claro,5G,0,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1401,Pozo Almonte,1,Tarapacá,2025-03,Entel,5G,4,SUBTEL public network point records; not unique towers and not geographic coverage percentage
1401,Pozo Almonte,1,Tarapacá,2025-03,Movistar,5G,2,SUBTEL public network point records; not unique towers and not geographic coverage percentage
