event_id,observation_time,geography_type,geography,metric,value,value_min,value_max,unit,qualifier,reported_text,source_id,source_url,note
system_front_2026_07,2026-07-21T18:00,country,Chile,mobile_base_stations_operational_share,93,,,percent,greater_than,más de un 93%,subtel_resilience_20260721,https://www.subtel.gob.cl/subtel-estado-de-las-redes-ante-sistema-frontal/,Snapshot during weather emergency; not a normal-period availability indicator.
system_front_2026_07,2026-07-21T18:00,region,Coquimbo,mobile_base_stations_operational_share,60,,,percent,approximately,cerca del 60%,subtel_resilience_20260721,https://www.subtel.gob.cl/subtel-estado-de-las-redes-ante-sistema-frontal/,Approximation preserved exactly as reported.
system_front_2026_07,2026-07-21T18:00,region,Atacama,mobile_base_stations_operational_share,76,,,percent,approximately,cerca del 76%,subtel_resilience_20260721,https://www.subtel.gob.cl/subtel-estado-de-las-redes-ante-sistema-frontal/,Approximation preserved exactly as reported.
system_front_2026_07,2026-07-21T18:00,region,Valparaíso,mobile_base_stations_operational_share,86,,,percent,greater_than,más del 86%,subtel_resilience_20260721,https://www.subtel.gob.cl/subtel-estado-de-las-redes-ante-sistema-frontal/,Lower bound preserved; no exact share inferred.
system_front_2026_07,2026-07-21T18:00,multi_region,Atacama; Coquimbo; Valparaíso; Metropolitana; Ñuble; Biobío,sae_messages_issued,156,,,count,exact,156 mensajes SAE,subtel_resilience_20260721,https://www.subtel.gob.cl/subtel-estado-de-las-redes-ante-sistema-frontal/,Total across six regions.
system_front_2026_07,2026-07-21T18:00,multi_region,Atacama; Coquimbo; Valparaíso,emergency_roaming_scope,3,,,regions,exact,activación extraordinaria para todas las comunas de Atacama Coquimbo y Valparaíso,subtel_resilience_20260721,https://www.subtel.gob.cl/subtel-estado-de-las-redes-ante-sistema-frontal/,Count represents regions under extraordinary RAN activation not users connected.
system_front_2026_07,2026-07-20,multi_region,Coquimbo; Atacama,emergency_mobile_units_deployed,7,,,count,exact,despliegue de 7 carros móviles de emergencia,subtel_resilience_20260720,https://www.subtel.gob.cl/gobierno-junto-empresas-despliegan-7-carros-moviles-de-emergencia-y-activan-roaming-automatico-en-toda-la-region-de-coquimbo-para-reforzar-conectividad/,Emergency units equipped with 3G 4G and satellite connectivity.
system_front_2026_07,2026-08-12,region,Coquimbo,mobile_antennas_out_of_service_share,12.47,,,percent,exact,"12,47% de antenas sin funcionamiento",subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Post-event recovery snapshot.
system_front_2026_07,2026-08-12,region,Coquimbo,mobile_antennas_out_of_service_share_peak,50,,,percent,approximately,cifras cercanas al 50% registradas en el punto más crítico,subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Approximate peak; not treated as exact.
system_front_2026_07,2026-08-12,commune,Salamanca,mobile_antennas_out_of_service_share,37.7,,,percent,exact,"37,7%",subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Commune-level remaining impact reported by SUBTEL.
system_front_2026_07,2026-08-12,commune,Monte Patria,mobile_antennas_out_of_service_share,36.7,,,percent,exact,"36,7%",subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Commune-level remaining impact reported by SUBTEL.
system_front_2026_07,2026-08-12,commune,Vicuña,mobile_antennas_out_of_service_share,30.8,,,percent,exact,"30,8%",subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Commune-level remaining impact reported by SUBTEL.
system_front_2026_07,2026-08-12,commune,Canela,mobile_antennas_out_of_service_share,30.4,,,percent,exact,"30,4%",subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Commune-level remaining impact reported by SUBTEL.
system_front_2026_07,2026-08-12,commune,Combarbalá,mobile_antennas_out_of_service_share,30.3,,,percent,exact,"30,3%",subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Commune-level remaining impact reported by SUBTEL.
system_front_2026_07,2026-08-12,commune,La Higuera,mobile_antennas_out_of_service_share,28.0,,,percent,exact,"28,0%",subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Commune-level remaining impact reported by SUBTEL.
system_front_2026_07,2026-08-12,multi_commune,Ovalle; Illapel; Combarbalá,mandatory_locality_continuous_failure_days,,14,16,days,range,entre 14 y 16 días continuos de fallas,subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Reported for four mandatory localities across these communes; locality-level allocation not published in source text.
system_front_2026_07,2026-08-12,locality,Caleta El Sauce (Ovalle),service_unavailability_days,250,,,days,greater_than,más de 250 días,subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Unavailability began before the July 2026 emergency.
system_front_2026_07,2026-08-12,region,Coquimbo,customers_eligible_for_extra_discounts,200000,,,customers,greater_than,más de 200 mil clientes,subtel_resilience_coquimbo_20260812,https://www.subtel.gob.cl/coquimbo-subtel-revela-resultados-de-fiscalizaciones-y-confirma-descuentos-de-hasta-100-en-comunas-afectadas-por-el-temporal/,Estimated eligible customers; additional operator discounts not statutory compensation count.
