period,year,quarter,network,tiles,tests,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,download_qoq_pct,upload_qoq_pct,latency_qoq_pct,aggregation,spatial_filter,source_url
2024Q1,2024,1,fixed,26229,652687,311.096,233.077,10.338,243.744,252.276,,,,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2024/quarter=1/2024-01-01_performance_fixed_tiles.parquet
2024Q1,2024,1,mobile,25528,193243,74.855,20.014,36.013,1061.446,1282.768,,,,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2024/quarter=1/2024-01-01_performance_mobile_tiles.parquet
2024Q2,2024,2,fixed,24246,619258,328.924,245.382,10.079,279.317,242.391,5.731,5.279,-2.505,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2024/quarter=2/2024-04-01_performance_fixed_tiles.parquet
2024Q2,2024,2,mobile,21459,174887,78.896,21.041,32.88,1509.497,1269.327,5.398,5.131,-8.7,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2024/quarter=2/2024-04-01_performance_mobile_tiles.parquet
2024Q3,2024,3,fixed,24673,601872,336.219,260.221,9.843,268.654,241.587,2.218,6.047,-2.342,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2024/quarter=3/2024-07-01_performance_fixed_tiles.parquet
2024Q3,2024,3,mobile,22962,176353,88.324,22.432,34.093,1506.815,1246.999,11.95,6.611,3.689,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2024/quarter=3/2024-07-01_performance_mobile_tiles.parquet
2024Q4,2024,4,fixed,25282,637014,362.194,306.842,9.044,241.503,239.738,7.726,17.916,-8.117,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2024/quarter=4/2024-10-01_performance_fixed_tiles.parquet
2024Q4,2024,4,mobile,20787,152599,91.447,21.959,32.035,1495.855,1208.748,3.536,-2.109,-6.036,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2024/quarter=4/2024-10-01_performance_mobile_tiles.parquet
2025Q1,2025,1,fixed,27156,553414,367.58,314.736,9.174,232.207,232.706,1.487,2.573,1.437,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2025/quarter=1/2025-01-01_performance_fixed_tiles.parquet
2025Q1,2025,1,mobile,23459,167933,102.295,23.26,33.306,1453.031,1226.381,11.863,5.925,3.968,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2025/quarter=1/2025-01-01_performance_mobile_tiles.parquet
2025Q2,2025,2,fixed,27167,681719,386.693,330.164,8.779,227.811,234.12,5.2,4.902,-4.306,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2025/quarter=2/2025-04-01_performance_fixed_tiles.parquet
2025Q2,2025,2,mobile,21492,144342,102.287,22.939,32.912,1473.358,1206.737,-0.008,-1.38,-1.183,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2025/quarter=2/2025-04-01_performance_mobile_tiles.parquet
2025Q3,2025,3,fixed,27075,593770,381.868,324.616,8.675,232.646,243.964,-1.248,-1.68,-1.185,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2025/quarter=3/2025-07-01_performance_fixed_tiles.parquet
2025Q3,2025,3,mobile,19419,121743,102.515,22.787,31.611,1475.997,1195.857,0.223,-0.663,-3.953,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2025/quarter=3/2025-07-01_performance_mobile_tiles.parquet
2025Q4,2025,4,fixed,26640,518053,392.099,333.084,8.713,225.924,239.017,2.679,2.609,0.438,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2025/quarter=4/2025-10-01_performance_fixed_tiles.parquet
2025Q4,2025,4,mobile,20647,123193,105.66,23.185,30.633,1438.608,1188.946,3.068,1.747,-3.094,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2025/quarter=4/2025-10-01_performance_mobile_tiles.parquet
2026Q1,2026,1,fixed,29232,517216,397.329,336.119,8.955,228.855,244.339,1.334,0.911,2.777,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2026/quarter=1/2026-01-01_performance_fixed_tiles.parquet
2026Q1,2026,1,mobile,22938,125101,98.869,21.431,33.709,1513.942,1240.479,-6.427,-7.565,10.041,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026Q2,2026,2,fixed,26661,541876,421.067,362.019,8.232,222.586,243.139,5.974,7.706,-8.074,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2026/quarter=2/2026-04-01_performance_fixed_tiles.parquet
2026Q2,2026,2,mobile,20875,120636,95.329,21.136,31.869,1505.098,1237.436,-3.58,-1.377,-5.458,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=2/2026-04-01_performance_mobile_tiles.parquet
