"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100330313111231",-70.3372,-18.346700000000002,6.141,7.617,34,396,89,6,6
"2100330313111233",-70.3372,-18.3519,357.95,48.05,40,58,38,1,1
"2100330313113332",-70.3207,-18.3936,187.276,189.821,3,160,167,5,4
"2100330313113333",-70.31519999999999,-18.3936,937.143,940.811,1,84,6,1,1
"2100330313131101",-70.3262,-18.3988,213.191,34.428,48,250,120,15,2
"2100330313131110",-70.3207,-18.3988,22.593,9.708,6,,,2,1
"2100330313131111",-70.31519999999999,-18.3988,485.385,485.859,3,96,338,7,1
"2100330313131113",-70.31519999999999,-18.404000000000003,752.439,908.758,1,51,5,2,2
"2100330313131311",-70.31519999999999,-18.4197,15.482,10.956,50,566,1971,3,1
"2100330313133323",-70.3262,-18.477,66.698,20.836,37,196,139,2,1
"2100330313133331",-70.31519999999999,-18.471799999999998,234.623,266.673,22,215,132,7,3
"2100330313133332",-70.3207,-18.477,432.47,418.371,25,244,234,38,16
"2100330313133333",-70.31519999999999,-18.477,434.009,396.082,27,282,200,53,26
"2100330313311101",-70.3262,-18.4822,159.834,21.827,40,127,102,3,1
"2100330313311103",-70.3262,-18.4874,553.359,504.059,3,145,137,12,12
"2100330313311110",-70.3207,-18.4822,567.795,587.844,18,112,83,18,12
"2100330313311111",-70.31519999999999,-18.4822,333.451,278.808,24,294,171,97,21
"2100330313311113",-70.31519999999999,-18.4874,583.195,473.001,17,153,60,13,7
"2100330313311131",-70.31519999999999,-18.4926,334.057,377.404,25,255,91,5,5
"2100330313311133",-70.31519999999999,-18.4978,836.187,888.705,20,195,65,4,3
"2100330313313300",-70.3317,-18.5447,148.396,23.919,33,131,40,1,1
"2100330313333121",-70.3262,-18.6176,21.246,19.889,15,2865,1116,1,1
"2100331023112021",-69.689,-17.699,200.935,51.344,56,96,38,1,1
"2100331023301310",-69.7055,-17.835,114.81,46.106,48,93,49,1,1
"2100331032202000",-69.6066,-17.855900000000002,129.289,14.036,45,66,102,3,1
"2100331032321111",-69.3484,-17.8977,127.377,38.729,42,147,81,1,1
"2100331201110130",-69.6616,-17.991799999999998,272.134,31.673,37,63,49,2,1
"2100331202000202",-70.30980000000001,-18.341500000000003,170.886,21.657,38,46,51,1,1
"2100331202000230",-70.2988,-18.346700000000002,52.326,17.741,8,223,866,1,1
