"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100330313111231",-70.3372,-18.346700000000002,66.035,4.735,34,3144,1045,2,2
"2100330313111233",-70.3372,-18.3519,292.591,58.469,44,913,543,4,2
"2100330313113333",-70.31519999999999,-18.3936,84.602,4.757,40,898,845,2,1
"2100330313131113",-70.31519999999999,-18.404000000000003,25.552,14.622,30,1478,531,2,1
"2100330313133323",-70.3262,-18.477,251.339,23.855,19,359,305,1,1
"2100330313133330",-70.3207,-18.471799999999998,20.309,26.89,44,965,531,1,1
"2100330313133331",-70.31519999999999,-18.471799999999998,131.175,21.687,55,1044,1051,9,3
"2100330313133332",-70.3207,-18.477,105.657,28.755,44,1430,1069,40,26
"2100330313133333",-70.31519999999999,-18.477,147.6,40.219,40,1372,630,13,13
"2100330313311101",-70.3262,-18.4822,266.583,60.925,17,233,212,1,1
"2100330313311103",-70.3262,-18.4874,197.271,37.469,42,383,666,3,2
"2100330313311110",-70.3207,-18.4822,88.364,18.787,41,1337,1126,44,7
"2100330313311111",-70.31519999999999,-18.4822,37.081,9.481,55,1781,1731,55,12
"2100330313311113",-70.31519999999999,-18.4874,12.19,22.267,30,2090,354,1,1
"2100330313311310",-70.3207,-18.5031,33.585,12.762,70,335,545,1,1
"2100330313311311",-70.31519999999999,-18.5031,73.799,11.831,44,1723,688,8,2
"2100330313313112",-70.3207,-18.5291,124.448,17.717,42,180,466,1,1
"2100331021333222",-69.65060000000001,-17.6414,19.49,5.646,53,2119,1162,1,1
"2100331023123011",-69.72200000000001,-17.7722,45.576,10.566,61,663,2076,3,1
"2100331023211210",-69.81539999999998,-17.835,0.935,0.22,15,1046,904,4,1
"2100331023301133",-69.7,-17.8298,361.698,9.3,65,348,123,6,1
"2100331023301310",-69.7055,-17.835,262.555,4.992,64,711,151,1,1
"2100331023332010",-69.68350000000001,-17.939500000000002,6.036,0.956,83,232,4093,2,1
"2100331032102322",-69.40889999999999,-17.725099999999998,3.89,0.754,72,1183,4384,12,1
"2100331032120102",-69.40889999999999,-17.735599999999998,7.94,2.398,71,780,4050,2,1
"2100331032233120",-69.4528,-17.95,5.261,2.459,76,4645,3741,3,1
