commune_code,commune,province,region,region_code,network,control_period,control_tiles,control_tests,control_devices_sum_across_tiles,control_download_mbps_test_weighted,control_upload_mbps_test_weighted,control_latency_ms_test_weighted,control_loaded_latency_down_ms_test_weighted,control_loaded_latency_up_ms_test_weighted,current_period,current_tiles,current_tests,current_devices_sum_across_tiles,current_download_mbps_test_weighted,current_upload_mbps_test_weighted,current_latency_ms_test_weighted,current_loaded_latency_down_ms_test_weighted,current_loaded_latency_up_ms_test_weighted,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,delta_upload_mbps_test_weighted,delta_pct_upload_mbps_test_weighted,delta_latency_ms_test_weighted,delta_pct_latency_ms_test_weighted
1101,Iquique,Iquique,Región de Tarapacá,1.0,fixed,2025Q4,83.0,5385.0,1772.0,428.462,356.317,22.859,346.831,244.778,2026Q1,87.0,5292.0,1794.0,443.733,368.08,21.698,330.144,245.284,15.271,3.564,11.763,3.301,-1.161,-5.079
1101,Iquique,Iquique,Región de Tarapacá,1.0,mobile,2025Q4,87.0,766.0,394.0,76.29,21.976,53.757,1725.042,1116.927,2026Q1,98.0,667.0,390.0,85.075,22.932,58.999,1444.575,1233.978,8.785,11.515,0.956,4.35,5.242,9.751
1107,Alto Hospicio,Iquique,Región de Tarapacá,1.0,fixed,2025Q4,80.0,3262.0,1069.0,417.034,337.679,21.144,326.575,266.648,2026Q1,74.0,2941.0,978.0,407.473,323.401,23.209,372.508,262.126,-9.561,-2.293,-14.278,-4.228,2.065,9.766
1107,Alto Hospicio,Iquique,Región de Tarapacá,1.0,mobile,2025Q4,62.0,511.0,225.0,53.245,16.818,55.149,2121.74,1294.374,2026Q1,66.0,522.0,236.0,55.12,17.989,55.789,1826.824,1275.475,1.875,3.521,1.171,6.963,0.64,1.16
1401,Pozo Almonte,Tamarugal,Región de Tarapacá,1.0,fixed,2025Q4,70.0,391.0,147.0,209.25,151.28,31.458,348.263,399.568,2026Q1,76.0,412.0,164.0,205.55,144.286,33.682,476.801,406.731,-3.7,-1.768,-6.994,-4.623,2.224,7.07
1401,Pozo Almonte,Tamarugal,Región de Tarapacá,1.0,mobile,2025Q4,60.0,188.0,99.0,63.653,12.818,66.867,1592.163,1568.782,2026Q1,53.0,233.0,101.0,74.091,15.816,60.185,1572.773,1329.163,10.438,16.398,2.998,23.389,-6.682,-9.993
1402,Camiña,Tamarugal,Región de Tarapacá,1.0,fixed,2025Q4,4.0,22.0,5.0,278.523,39.75,58.818,235.773,103.909,2026Q1,4.0,5.0,4.0,277.804,33.294,45.6,167.6,61.2,-0.719,-0.258,-6.456,-16.242,-13.218,-22.473
1402,Camiña,Tamarugal,Región de Tarapacá,1.0,mobile,2025Q4,2.0,2.0,2.0,169.055,44.825,53.5,1356.5,306.0,2026Q1,3.0,7.0,4.0,140.451,10.712,72.857,996.286,1031.429,-28.604,-16.92,-34.113,-76.103,19.357,36.181
1403,Colchane,Tamarugal,Región de Tarapacá,1.0,fixed,2025Q4,3.0,6.0,4.0,93.365,21.873,324.833,984.167,502.0,2026Q1,7.0,17.0,9.0,114.408,22.545,45.647,310.353,282.765,21.043,22.538,0.672,3.072,-279.186,-85.948
1403,Colchane,Tamarugal,Región de Tarapacá,1.0,mobile,,,,,,,,,,2026Q1,2.0,2.0,2.0,16.524,4.994,114.5,4553.0,1493.0,,,,,,
1404,Huara,Tamarugal,Región de Tarapacá,1.0,fixed,2025Q4,12.0,128.0,17.0,126.712,65.837,60.727,327.172,229.039,2026Q1,12.0,47.0,15.0,199.154,78.394,67.277,301.362,225.404,72.442,57.171,12.557,19.073,6.55,10.786
1404,Huara,Tamarugal,Región de Tarapacá,1.0,mobile,2025Q4,20.0,43.0,22.0,45.563,15.068,62.93,1757.095,1394.952,2026Q1,26.0,113.0,37.0,42.588,10.277,53.522,1911.832,1908.292,-2.975,-6.529,-4.791,-31.796,-9.408,-14.95
1405,Pica,Tamarugal,Región de Tarapacá,1.0,fixed,2025Q4,36.0,211.0,85.0,155.664,118.815,49.047,506.711,250.327,2026Q1,37.0,180.0,94.0,146.002,105.263,47.45,571.233,632.922,-9.662,-6.207,-13.552,-11.406,-1.597,-3.256
1405,Pica,Tamarugal,Región de Tarapacá,1.0,mobile,2025Q4,40.0,194.0,85.0,100.449,17.968,48.861,1321.339,985.487,2026Q1,36.0,130.0,63.0,90.451,16.155,48.254,1208.651,1440.138,-9.998,-9.953,-1.813,-10.09,-0.607,-1.242
2101,Antofagasta,Antofagasta,Región de Antofagasta,2.0,fixed,2025Q4,252.0,10079.0,3382.0,428.064,366.189,15.944,250.635,218.946,2026Q1,240.0,10299.0,3459.0,452.314,379.847,15.788,269.393,236.847,24.25,5.665,13.658,3.73,-0.156,-0.978
2101,Antofagasta,Antofagasta,Región de Antofagasta,2.0,mobile,2025Q4,225.0,1765.0,845.0,87.884,21.564,37.772,1860.838,1245.53,2026Q1,220.0,1707.0,787.0,82.831,21.341,38.596,1849.167,1214.757,-5.053,-5.75,-0.223,-1.034,0.824,2.182
2102,Mejillones,Antofagasta,Región de Antofagasta,2.0,fixed,2025Q4,29.0,254.0,96.0,263.605,200.35,16.917,277.512,262.303,2026Q1,29.0,233.0,92.0,220.136,196.28,16.73,241.515,235.236,-43.469,-16.49,-4.07,-2.031,-0.187,-1.105
2102,Mejillones,Antofagasta,Región de Antofagasta,2.0,mobile,2025Q4,34.0,148.0,56.0,54.626,16.6,44.176,2328.789,1473.801,2026Q1,31.0,140.0,57.0,60.092,15.274,45.021,1904.457,874.136,5.466,10.006,-1.326,-7.988,0.845,1.913
2103,Sierra Gorda,Antofagasta,Región de Antofagasta,2.0,fixed,2025Q4,39.0,116.0,67.0,142.568,68.647,32.034,478.371,388.612,2026Q1,49.0,140.0,88.0,121.962,32.01,32.764,509.557,365.321,-20.606,-14.453,-36.637,-53.37,0.73,2.279
2103,Sierra Gorda,Antofagasta,Región de Antofagasta,2.0,mobile,2025Q4,66.0,186.0,111.0,22.363,12.363,49.522,2131.503,1590.081,2026Q1,68.0,204.0,120.0,27.134,11.74,50.701,2208.813,1394.172,4.771,21.334,-0.623,-5.039,1.179,2.381
2104,Taltal,Antofagasta,Región de Antofagasta,2.0,fixed,2025Q4,40.0,250.0,93.0,284.212,211.215,19.812,395.48,318.652,2026Q1,40.0,364.0,102.0,273.462,234.838,20.508,321.907,358.835,-10.75,-3.782,23.623,11.184,0.696,3.513
2104,Taltal,Antofagasta,Región de Antofagasta,2.0,mobile,2025Q4,20.0,86.0,35.0,73.09,20.579,39.837,1154.718,846.209,2026Q1,35.0,84.0,51.0,90.421,31.04,40.512,1441.095,854.476,17.331,23.712,10.461,50.833,0.675,1.694
2201,Calama,El Loa,Región de Antofagasta,2.0,fixed,2025Q4,159.0,4650.0,1536.0,425.269,376.475,22.464,296.839,238.213,2026Q1,188.0,4597.0,1682.0,448.081,388.362,21.945,289.595,267.428,22.812,5.364,11.887,3.157,-0.519,-2.31
2201,Calama,El Loa,Región de Antofagasta,2.0,mobile,2025Q4,164.0,935.0,484.0,89.557,24.983,45.435,1890.97,1127.348,2026Q1,156.0,1004.0,480.0,93.026,24.088,44.402,1697.271,1122.134,3.469,3.874,-0.895,-3.582,-1.033,-2.274
2202,Ollagüe,El Loa,Región de Antofagasta,2.0,fixed,2025Q4,3.0,11.0,3.0,25.076,20.765,74.091,1207.727,276.364,2026Q1,3.0,8.0,4.0,154.726,20.699,29.25,141.125,438.0,129.65,517.028,-0.066,-0.318,-44.841,-60.522
2202,Ollagüe,El Loa,Región de Antofagasta,2.0,mobile,2025Q4,1.0,2.0,1.0,96.122,16.941,40.0,442.0,877.0,2026Q1,2.0,2.0,2.0,122.971,17.404,43.5,320.5,1090.0,26.849,27.932,0.463,2.733,3.5,8.75
2203,San Pedro de Atacama,El Loa,Región de Antofagasta,2.0,fixed,2025Q4,63.0,402.0,214.0,137.898,31.121,35.726,388.351,285.622,2026Q1,77.0,383.0,250.0,131.25,29.172,30.809,382.402,267.428,-6.648,-4.821,-1.949,-6.263,-4.917,-13.763
2203,San Pedro de Atacama,El Loa,Región de Antofagasta,2.0,mobile,2025Q4,47.0,204.0,90.0,95.631,19.444,56.549,1703.73,1119.814,2026Q1,47.0,261.0,103.0,58.65,16.023,69.218,1715.93,1514.95,-36.981,-38.671,-3.421,-17.594,12.669,22.404
2301,Tocopilla,Tocopilla,Región de Antofagasta,2.0,fixed,2025Q4,29.0,573.0,176.0,379.778,364.089,17.672,300.199,302.703,2026Q1,27.0,390.0,163.0,387.345,363.028,17.787,281.992,288.651,7.567,1.992,-1.061,-0.291,0.115,0.651
2301,Tocopilla,Tocopilla,Región de Antofagasta,2.0,mobile,2025Q4,16.0,76.0,38.0,87.138,17.568,44.645,2077.974,1071.079,2026Q1,22.0,127.0,55.0,98.453,21.207,34.079,2111.976,1055.087,11.315,12.985,3.639,20.714,-10.566,-23.667
2302,María Elena,Tocopilla,Región de Antofagasta,2.0,fixed,2025Q4,19.0,71.0,37.0,182.777,29.14,42.606,363.606,558.732,2026Q1,22.0,98.0,39.0,152.866,23.419,28.786,278.878,210.571,-29.911,-16.365,-5.721,-19.633,-13.82,-32.437
2302,María Elena,Tocopilla,Región de Antofagasta,2.0,mobile,2025Q4,32.0,104.0,63.0,34.195,16.897,44.202,2049.709,1664.683,2026Q1,23.0,55.0,43.0,35.096,12.447,56.636,1829.964,1927.509,0.901,2.635,-4.45,-26.336,12.434,28.13
3101,Copiapó,Copiapó,Región de Atacama,3.0,fixed,2025Q4,187.0,4485.0,1636.0,428.434,380.344,14.277,234.367,265.31,2026Q1,181.0,3809.0,1519.0,440.291,387.506,14.059,209.012,257.444,11.857,2.768,7.162,1.883,-0.218,-1.527
3101,Copiapó,Copiapó,Región de Atacama,3.0,mobile,2025Q4,150.0,980.0,482.0,87.839,22.36,32.593,1790.467,1214.024,2026Q1,154.0,832.0,445.0,89.904,22.814,32.142,2001.924,1209.636,2.065,2.351,0.454,2.03,-0.451,-1.384
3102,Caldera,Copiapó,Región de Atacama,3.0,fixed,2025Q4,44.0,455.0,176.0,404.986,350.53,17.541,228.705,187.596,2026Q1,50.0,532.0,215.0,347.437,280.323,18.5,229.036,236.468,-57.549,-14.21,-70.207,-20.029,0.959,5.467
3102,Caldera,Copiapó,Región de Atacama,3.0,mobile,2025Q4,56.0,253.0,127.0,67.64,16.014,46.874,1876.561,1460.478,2026Q1,69.0,270.0,151.0,65.675,16.566,51.737,2009.187,1822.656,-1.965,-2.905,0.552,3.447,4.863,10.375
3103,Tierra Amarilla,Copiapó,Región de Atacama,3.0,fixed,2025Q4,56.0,547.0,161.0,342.591,277.022,16.079,249.04,236.998,2026Q1,53.0,357.0,137.0,327.897,259.383,17.171,324.179,203.294,-14.694,-4.289,-17.639,-6.367,1.092,6.791
3103,Tierra Amarilla,Copiapó,Región de Atacama,3.0,mobile,2025Q4,50.0,208.0,96.0,77.012,22.775,34.048,1564.12,1329.024,2026Q1,47.0,146.0,64.0,69.149,13.547,35.521,1719.815,1568.568,-7.863,-10.21,-9.228,-40.518,1.473,4.326
3201,Chañaral,Chañaral,Región de Atacama,3.0,fixed,2025Q4,31.0,293.0,93.0,498.734,334.722,20.515,286.25,265.345,2026Q1,32.0,257.0,85.0,424.169,251.087,19.49,270.856,163.763,-74.565,-14.951,-83.635,-24.986,-1.025,-4.996
3201,Chañaral,Chañaral,Región de Atacama,3.0,mobile,2025Q4,24.0,98.0,63.0,130.776,28.619,43.867,1097.684,893.245,2026Q1,25.0,106.0,60.0,91.75,23.754,36.953,1383.585,1139.226,-39.026,-29.842,-4.865,-16.999,-6.914,-15.761
3202,Diego de Almagro,Chañaral,Región de Atacama,3.0,fixed,2025Q4,36.0,164.0,79.0,207.469,121.648,19.098,271.396,191.494,2026Q1,40.0,191.0,85.0,327.311,280.917,21.56,157.346,171.634,119.842,57.764,159.269,130.926,2.462,12.891
3202,Diego de Almagro,Chañaral,Región de Atacama,3.0,mobile,2025Q4,49.0,164.0,101.0,95.67,22.705,44.043,1551.683,1370.573,2026Q1,35.0,156.0,84.0,104.98,21.496,40.353,1558.167,1172.391,9.31,9.731,-1.209,-5.325,-3.69,-8.378
3301,Vallenar,Huasco,Región de Atacama,3.0,fixed,2025Q4,76.0,1251.0,424.0,406.232,353.048,11.882,202.486,212.39,2026Q1,98.0,1383.0,511.0,429.044,359.255,14.299,189.387,209.046,22.812,5.616,6.207,1.758,2.417,20.342
3301,Vallenar,Huasco,Región de Atacama,3.0,mobile,2025Q4,76.0,304.0,159.0,91.367,23.135,39.786,1501.138,1085.855,2026Q1,77.0,341.0,166.0,74.214,18.104,42.657,1582.669,1298.481,-17.153,-18.774,-5.031,-21.746,2.871,7.216
3302,Alto del Carmen,Huasco,Región de Atacama,3.0,fixed,2025Q4,12.0,38.0,15.0,154.521,24.915,52.895,613.289,525.763,2026Q1,11.0,46.0,12.0,152.584,31.87,30.152,348.109,386.804,-1.937,-1.254,6.955,27.915,-22.743,-42.997
3302,Alto del Carmen,Huasco,Región de Atacama,3.0,mobile,2025Q4,29.0,42.0,32.0,96.282,12.063,50.548,1927.951,1718.829,2026Q1,22.0,48.0,24.0,48.886,7.501,48.479,1672.354,1660.812,-47.396,-49.226,-4.562,-37.818,-2.069,-4.093
3303,Freirina,Huasco,Región de Atacama,3.0,fixed,2025Q4,31.0,127.0,52.0,189.512,42.302,32.528,336.15,329.89,2026Q1,23.0,189.0,43.0,217.567,94.278,27.233,226.212,261.349,28.055,14.804,51.976,122.869,-5.295,-16.278
3303,Freirina,Huasco,Región de Atacama,3.0,mobile,2025Q4,19.0,432.0,49.0,139.486,29.324,86.299,658.123,1635.095,2026Q1,23.0,201.0,56.0,84.437,18.014,55.443,1201.542,1355.214,-55.049,-39.466,-11.31,-38.569,-30.856,-35.755
3304,Huasco,Huasco,Región de Atacama,3.0,fixed,2025Q4,24.0,207.0,79.0,408.252,350.56,12.599,166.295,193.077,2026Q1,21.0,174.0,56.0,367.74,307.124,12.126,172.385,223.282,-40.512,-9.923,-43.436,-12.39,-0.473,-3.754
3304,Huasco,Huasco,Región de Atacama,3.0,mobile,2025Q4,37.0,215.0,87.0,110.022,26.59,65.693,1088.799,1050.86,2026Q1,25.0,245.0,89.0,119.745,23.03,43.241,1319.792,1194.151,9.723,8.837,-3.56,-13.388,-22.452,-34.177
4101,La Serena,Elqui,Región de Coquimbo,4.0,fixed,2025Q4,335.0,7794.0,3085.0,420.441,361.892,10.789,211.625,216.674,2026Q1,365.0,8117.0,3286.0,422.926,346.136,12.287,197.485,215.949,2.485,0.591,-15.756,-4.354,1.498,13.885
4101,La Serena,Elqui,Región de Coquimbo,4.0,mobile,2025Q4,228.0,1423.0,735.0,88.332,23.818,30.666,1631.345,1234.283,2026Q1,235.0,1645.0,850.0,89.028,22.639,32.076,1616.716,1163.226,0.696,0.788,-1.179,-4.95,1.41,4.598
4102,Coquimbo,Elqui,Región de Coquimbo,4.0,fixed,2025Q4,333.0,7219.0,2795.0,400.369,363.208,10.485,213.079,227.864,2026Q1,363.0,7386.0,2981.0,398.575,351.881,10.856,210.456,265.062,-1.794,-0.448,-11.327,-3.119,0.371,3.538
4102,Coquimbo,Elqui,Región de Coquimbo,4.0,mobile,2025Q4,277.0,1595.0,683.0,82.62,23.066,29.599,1497.656,1265.622,2026Q1,305.0,1995.0,902.0,78.106,19.033,31.411,1704.754,1274.61,-4.514,-5.464,-4.033,-17.485,1.812,6.122
4103,Andacollo,Elqui,Región de Coquimbo,4.0,fixed,2025Q4,16.0,80.0,38.0,416.637,318.793,8.35,202.588,252.162,2026Q1,16.0,117.0,38.0,463.507,324.021,5.239,258.974,385.009,46.87,11.25,5.228,1.64,-3.111,-37.257
4103,Andacollo,Elqui,Región de Coquimbo,4.0,mobile,2025Q4,15.0,41.0,26.0,135.159,31.524,32.122,655.732,849.854,2026Q1,22.0,42.0,30.0,109.241,21.24,31.524,1495.707,1013.762,-25.918,-19.176,-10.284,-32.623,-0.598,-1.862
4104,La Higuera,Elqui,Región de Coquimbo,4.0,fixed,2025Q4,15.0,41.0,23.0,325.845,237.403,17.244,290.707,169.512,2026Q1,15.0,30.0,17.0,147.059,69.448,28.467,450.9,580.267,-178.786,-54.868,-167.955,-70.747,11.223,65.084
4104,La Higuera,Elqui,Región de Coquimbo,4.0,mobile,2025Q4,13.0,163.0,21.0,107.995,43.788,28.589,787.644,727.344,2026Q1,25.0,111.0,32.0,48.459,7.565,80.604,1226.369,2290.216,-59.536,-55.128,-36.223,-82.724,52.015,181.941
4105,Paihuano,Elqui,Región de Coquimbo,4.0,fixed,2025Q4,12.0,62.0,20.0,121.32,22.796,42.5,336.371,576.919,2026Q1,18.0,51.0,26.0,97.606,18.55,37.686,340.686,364.51,-23.714,-19.547,-4.246,-18.626,-4.814,-11.327
4105,Paihuano,Elqui,Región de Coquimbo,4.0,mobile,2025Q4,14.0,31.0,15.0,66.307,13.18,32.968,738.548,1969.419,2026Q1,41.0,144.0,74.0,66.577,12.598,43.861,1737.528,1595.819,0.27,0.407,-0.582,-4.416,10.893,33.041
4106,Vicuña,Elqui,Región de Coquimbo,4.0,fixed,2025Q4,64.0,408.0,162.0,343.919,301.004,10.944,212.956,263.017,2026Q1,63.0,309.0,132.0,269.666,206.011,13.744,310.246,361.343,-74.253,-21.59,-94.993,-31.559,2.8,25.585
4106,Vicuña,Elqui,Región de Coquimbo,4.0,mobile,2025Q4,42.0,193.0,78.0,72.39,18.089,28.58,1774.797,1178.839,2026Q1,62.0,154.0,93.0,97.003,19.449,32.123,1485.099,1129.851,24.613,34.001,1.36,7.518,3.543,12.397
4201,Illapel,Choapa,Región de Coquimbo,4.0,fixed,2025Q4,76.0,728.0,263.0,366.753,304.225,12.883,249.084,285.615,2026Q1,94.0,902.0,255.0,362.994,273.828,16.021,274.34,280.153,-3.759,-1.025,-30.397,-9.992,3.138,24.358
4201,Illapel,Choapa,Región de Coquimbo,4.0,mobile,2025Q4,49.0,173.0,102.0,76.06,16.587,36.526,2109.953,1424.585,2026Q1,59.0,177.0,100.0,81.893,17.147,34.525,1876.576,1700.966,5.833,7.669,0.56,3.376,-2.001,-5.478
4202,Canela,Choapa,Región de Coquimbo,4.0,fixed,2025Q4,24.0,61.0,37.0,285.632,200.424,14.967,246.41,267.721,2026Q1,28.0,86.0,41.0,292.756,202.59,19.919,267.919,279.616,7.124,2.494,2.166,1.081,4.952,33.086
4202,Canela,Choapa,Región de Coquimbo,4.0,mobile,2025Q4,26.0,53.0,33.0,68.02,11.941,42.019,1714.302,1958.698,2026Q1,28.0,97.0,38.0,42.455,12.679,127.938,1348.812,2361.794,-25.565,-37.585,0.738,6.18,85.919,204.477
4203,Los Vilos,Choapa,Región de Coquimbo,4.0,fixed,2025Q4,55.0,501.0,163.0,334.754,277.184,13.846,395.261,282.786,2026Q1,64.0,575.0,222.0,389.207,293.305,16.209,268.617,256.743,54.453,16.267,16.121,5.816,2.363,17.066
4203,Los Vilos,Choapa,Región de Coquimbo,4.0,mobile,2025Q4,62.0,297.0,124.0,111.094,22.051,65.3,1348.618,1350.841,2026Q1,99.0,544.0,237.0,67.017,14.251,110.369,1810.445,1499.89,-44.077,-39.675,-7.8,-35.373,45.069,69.018
4204,Salamanca,Choapa,Región de Coquimbo,4.0,fixed,2025Q4,79.0,374.0,169.0,222.866,176.92,17.684,362.558,468.769,2026Q1,112.0,537.0,244.0,243.499,170.204,15.851,342.565,364.06,20.633,9.258,-6.716,-3.796,-1.833,-10.365
4204,Salamanca,Choapa,Región de Coquimbo,4.0,mobile,2025Q4,81.0,347.0,129.0,51.442,12.977,36.732,1716.873,1280.613,2026Q1,84.0,243.0,142.0,75.862,18.249,71.267,1516.678,1261.609,24.42,47.471,5.272,40.626,34.535,94.019
4301,Ovalle,Limarí,Región de Coquimbo,4.0,fixed,2025Q4,162.0,2253.0,743.0,369.959,337.284,12.539,186.14,209.582,2026Q1,172.0,2003.0,728.0,381.954,340.072,12.115,183.264,222.676,11.995,3.242,2.788,0.827,-0.424,-3.381
4301,Ovalle,Limarí,Región de Coquimbo,4.0,mobile,2025Q4,143.0,648.0,295.0,64.122,15.873,33.0,1467.083,1315.019,2026Q1,153.0,606.0,288.0,69.692,19.125,33.38,1704.384,1437.85,5.57,8.687,3.252,20.488,0.38,1.152
4302,Combarbalá,Limarí,Región de Coquimbo,4.0,fixed,2025Q4,34.0,213.0,71.0,240.462,227.89,16.296,250.685,302.634,2026Q1,37.0,338.0,75.0,334.822,277.724,16.565,212.595,684.571,94.36,39.241,49.834,21.868,0.269,1.651
4302,Combarbalá,Limarí,Región de Coquimbo,4.0,mobile,2025Q4,30.0,94.0,60.0,130.758,22.5,51.574,1216.681,1357.138,2026Q1,27.0,110.0,47.0,116.029,21.519,53.318,1044.5,1126.791,-14.729,-11.264,-0.981,-4.36,1.744,3.382
4303,Monte Patria,Limarí,Región de Coquimbo,4.0,fixed,2025Q4,58.0,251.0,117.0,317.633,287.786,13.255,222.482,307.693,2026Q1,51.0,283.0,115.0,406.122,358.755,12.724,163.569,234.035,88.489,27.859,70.969,24.66,-0.531,-4.006
4303,Monte Patria,Limarí,Región de Coquimbo,4.0,mobile,2025Q4,47.0,120.0,73.0,58.807,13.797,44.642,1590.153,1706.689,2026Q1,55.0,154.0,75.0,40.181,12.062,40.117,2039.627,1461.869,-18.626,-31.673,-1.735,-12.575,-4.525,-10.136
4304,Punitaqui,Limarí,Región de Coquimbo,4.0,fixed,2025Q4,12.0,56.0,25.0,471.156,374.713,18.714,240.929,215.018,2026Q1,21.0,71.0,32.0,408.937,268.359,11.0,232.873,193.465,-62.219,-13.206,-106.354,-28.383,-7.714,-41.22
4304,Punitaqui,Limarí,Región de Coquimbo,4.0,mobile,2025Q4,15.0,57.0,21.0,93.743,19.308,32.877,1105.268,1014.25,2026Q1,21.0,52.0,26.0,63.381,11.739,36.058,1244.837,1869.808,-30.362,-32.389,-7.569,-39.201,3.181,9.675
4305,Río Hurtado,Limarí,Región de Coquimbo,4.0,fixed,2025Q4,12.0,43.0,18.0,120.688,42.73,19.581,199.977,297.86,2026Q1,12.0,30.0,14.0,165.731,59.751,24.733,309.633,261.433,45.043,37.322,17.021,39.834,5.152,26.311
4305,Río Hurtado,Limarí,Región de Coquimbo,4.0,mobile,2025Q4,10.0,29.0,16.0,38.642,7.282,38.793,599.862,953.0,2026Q1,11.0,23.0,14.0,57.306,8.645,32.043,998.739,1097.435,18.664,48.3,1.363,18.717,-6.75,-17.4
5101,Valparaíso,Valparaíso,Región de Valparaíso,5.0,fixed,2025Q4,218.0,7339.0,2440.0,370.749,317.211,8.244,239.952,254.406,2026Q1,228.0,7060.0,2726.0,407.412,346.073,7.831,223.336,237.235,36.663,9.889,28.862,9.099,-0.413,-5.01
5101,Valparaíso,Valparaíso,Región de Valparaíso,5.0,mobile,2025Q4,209.0,1708.0,841.0,108.262,25.012,24.48,1449.795,1109.693,2026Q1,232.0,1847.0,871.0,93.962,20.18,25.069,1462.292,1225.49,-14.3,-13.209,-4.832,-19.319,0.589,2.406
5102,Casablanca,Valparaíso,Región de Valparaíso,5.0,fixed,2025Q4,116.0,733.0,236.0,201.234,152.928,17.662,238.832,170.673,2026Q1,115.0,972.0,293.0,230.513,146.224,20.838,280.415,274.289,29.279,14.55,-6.704,-4.384,3.176,17.982
5102,Casablanca,Valparaíso,Región de Valparaíso,5.0,mobile,2025Q4,92.0,299.0,142.0,74.311,14.98,28.846,1776.836,1551.686,2026Q1,137.0,397.0,208.0,76.962,17.673,39.431,1507.065,1352.894,2.651,3.567,2.693,17.977,10.585,36.695
5103,Concón,Valparaíso,Región de Valparaíso,5.0,fixed,2025Q4,67.0,2382.0,853.0,382.763,323.634,8.508,285.18,194.914,2026Q1,69.0,2817.0,1010.0,406.63,334.378,8.375,227.519,212.033,23.867,6.235,10.744,3.32,-0.133,-1.563
5103,Concón,Valparaíso,Región de Valparaíso,5.0,mobile,2025Q4,74.0,582.0,224.0,139.59,26.008,22.208,1137.509,1008.985,2026Q1,65.0,421.0,218.0,103.716,18.648,25.705,1424.344,1220.675,-35.874,-25.7,-7.36,-28.299,3.497,15.747
5105,Puchuncaví,Valparaíso,Región de Valparaíso,5.0,fixed,2025Q4,130.0,1056.0,338.0,389.322,343.262,9.192,214.733,182.615,2026Q1,153.0,1196.0,517.0,328.247,270.463,12.135,315.666,277.777,-61.075,-15.688,-72.799,-21.208,2.943,32.017
5105,Puchuncaví,Valparaíso,Región de Valparaíso,5.0,mobile,2025Q4,100.0,281.0,167.0,130.443,22.085,26.349,1245.375,933.711,2026Q1,110.0,503.0,270.0,93.016,18.571,28.308,1709.204,1248.899,-37.427,-28.692,-3.514,-15.911,1.959,7.435
5107,Quintero,Valparaíso,Región de Valparaíso,5.0,fixed,2025Q4,67.0,864.0,290.0,384.868,331.325,10.836,270.887,211.231,2026Q1,69.0,1120.0,388.0,422.184,374.395,8.366,212.829,185.079,37.316,9.696,43.07,12.999,-2.47,-22.794
5107,Quintero,Valparaíso,Región de Valparaíso,5.0,mobile,2025Q4,77.0,303.0,151.0,103.015,24.215,27.439,1519.0,1114.073,2026Q1,83.0,438.0,213.0,70.359,14.964,29.5,1932.443,1545.845,-32.656,-31.7,-9.251,-38.204,2.061,7.511
5109,Viña del Mar,Valparaíso,Región de Valparaíso,5.0,fixed,2025Q4,252.0,11220.0,4113.0,404.05,345.434,7.924,232.824,224.845,2026Q1,262.0,11729.0,4557.0,421.57,353.462,7.504,230.912,228.962,17.52,4.336,8.028,2.324,-0.42,-5.3
5109,Viña del Mar,Valparaíso,Región de Valparaíso,5.0,mobile,2025Q4,238.0,3276.0,1289.0,111.289,28.94,25.05,1370.37,1088.432,2026Q1,226.0,3063.0,1234.0,108.068,25.818,25.832,1578.865,976.661,-3.221,-2.894,-3.122,-10.788,0.782,3.122
5301,Los Andes,Los Andes,Región de Valparaíso,5.0,fixed,2025Q4,84.0,1587.0,580.0,407.298,360.274,7.818,213.709,216.253,2026Q1,75.0,1425.0,573.0,438.903,381.689,7.352,246.046,235.999,31.605,7.76,21.415,5.944,-0.466,-5.961
5301,Los Andes,Los Andes,Región de Valparaíso,5.0,mobile,2025Q4,76.0,380.0,217.0,102.817,18.983,30.755,1276.627,1301.047,2026Q1,84.0,755.0,225.0,73.266,16.717,25.212,1261.334,1181.51,-29.551,-28.741,-2.266,-11.937,-5.543,-18.023
5302,Calle Larga,Los Andes,Región de Valparaíso,5.0,fixed,2025Q4,55.0,498.0,186.0,380.472,337.394,8.008,197.516,295.022,2026Q1,55.0,489.0,181.0,431.851,368.633,7.102,225.583,199.638,51.379,13.504,31.239,9.259,-0.906,-11.314
5302,Calle Larga,Los Andes,Región de Valparaíso,5.0,mobile,2025Q4,34.0,93.0,43.0,81.468,23.258,21.785,954.489,1050.892,2026Q1,27.0,51.0,38.0,111.311,15.514,21.647,1243.667,1373.922,29.843,36.632,-7.744,-33.296,-0.138,-0.633
5303,Rinconada,Los Andes,Región de Valparaíso,5.0,fixed,2025Q4,51.0,473.0,146.0,314.752,224.07,12.154,244.619,317.328,2026Q1,43.0,442.0,126.0,300.613,218.47,13.719,254.233,366.805,-14.139,-4.492,-5.6,-2.499,1.565,12.876
5303,Rinconada,Los Andes,Región de Valparaíso,5.0,mobile,2025Q4,28.0,59.0,40.0,84.573,11.845,24.678,1224.466,1555.814,2026Q1,23.0,59.0,29.0,93.329,14.084,21.305,2131.746,1524.695,8.756,10.353,2.239,18.902,-3.373,-13.668
