region_code,region,network,control_period,control_tiles,control_tests,control_devices_sum_across_tiles,control_download_mbps_test_weighted,control_upload_mbps_test_weighted,control_latency_ms_test_weighted,control_loaded_latency_down_ms_test_weighted,control_loaded_latency_up_ms_test_weighted,current_period,current_tiles,current_tests,current_devices_sum_across_tiles,current_download_mbps_test_weighted,current_upload_mbps_test_weighted,current_latency_ms_test_weighted,current_loaded_latency_down_ms_test_weighted,current_loaded_latency_up_ms_test_weighted,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,delta_upload_mbps_test_weighted,delta_pct_upload_mbps_test_weighted,delta_latency_ms_test_weighted,delta_pct_latency_ms_test_weighted
1.0,Región de Tarapacá,fixed,2025Q4,288,9405,3099,404.593,331.093,24.001,343.331,258.544,2026Q1,297,8894,3058,412.669,335.241,23.574,355.544,266.04,8.076,1.996,4.148,1.253,-0.427,-1.779
1.0,Región de Tarapacá,mobile,2025Q4,271,1704,827,70.069,18.815,55.295,1784.842,1211.117,2026Q1,284,1674,833,71.905,18.947,57.083,1596.996,1321.157,1.836,2.62,0.132,0.702,1.788,3.234
2.0,Región de Antofagasta,fixed,2025Q4,633,16406,5604,410.387,352.098,18.679,274.2,233.865,2026Q1,675,16512,5879,430.212,362.661,18.242,280.731,250.99,19.825,4.831,10.563,3.0,-0.437,-2.34
2.0,Región de Antofagasta,mobile,2025Q4,605,3506,1723,81.934,21.403,42.193,1886.001,1233.118,2026Q1,604,3584,1698,79.889,21.024,43.557,1818.154,1204.294,-2.045,-2.496,-0.379,-1.771,1.364,3.233
3.0,Región de Atacama,fixed,2025Q4,497,7567,2715,409.144,350.923,15.008,234.37,248.659,2026Q1,509,6938,2663,411.644,346.714,15.432,213.902,237.674,2.5,0.611,-4.209,-1.199,0.424,2.825
3.0,Región de Atacama,mobile,2025Q4,490,2696,1196,97.719,23.425,47.488,1472.995,1291.6,2026Q1,477,2345,1139,86.437,20.085,40.392,1719.894,1329.92,-11.282,-11.545,-3.34,-14.258,-7.096,-14.943
4.0,Región de Coquimbo,fixed,2025Q4,1287,20084,7729,393.011,345.762,11.404,219.284,233.204,2026Q1,1431,20835,8206,396.353,332.856,12.313,212.831,253.822,3.342,0.85,-12.906,-3.733,0.909,7.971
4.0,Región de Coquimbo,mobile,2025Q4,1052,5264,2411,81.994,21.454,33.936,1523.211,1269.417,2026Q1,1227,6097,2948,78.082,18.834,43.911,1657.463,1337.161,-3.912,-4.771,-2.62,-12.212,9.975,29.394
5.0,Región de Valparaíso,fixed,2025Q4,3073,52293,18720,375.19,321.062,8.872,239.033,230.493,2026Q1,3283,55722,21113,392.486,331.084,8.719,233.589,236.893,17.296,4.61,10.022,3.122,-0.153,-1.725
5.0,Región de Valparaíso,mobile,2025Q4,2677,15501,6692,107.299,23.576,26.732,1406.382,1143.958,2026Q1,2778,17791,7730,92.639,20.17,31.472,1566.541,1198.786,-14.66,-13.663,-3.406,-14.447,4.74,17.732
6.0,Región del Libertador Bernardo O'Higgins,fixed,2025Q4,2403,23022,8278,351.014,284.103,8.342,209.346,260.562,2026Q1,2593,23334,8752,344.952,286.379,9.211,214.431,262.884,-6.062,-1.727,2.276,0.801,0.869,10.417
6.0,Región del Libertador Bernardo O'Higgins,mobile,2025Q4,1707,7381,3201,96.723,20.308,31.32,1255.619,1252.833,2026Q1,1925,8134,3575,90.156,19.327,34.369,1262.066,1205.742,-6.567,-6.789,-0.981,-4.831,3.049,9.735
7.0,Región del Maule,fixed,2025Q4,2593,23895,8898,349.616,310.112,9.105,182.617,240.464,2026Q1,2667,23611,8805,344.839,301.241,10.267,192.994,240.729,-4.777,-1.366,-8.871,-2.861,1.162,12.762
7.0,Región del Maule,mobile,2025Q4,1841,8439,3597,93.976,20.123,32.725,1442.02,1281.859,2026Q1,2125,8330,4007,83.852,18.024,43.605,1489.554,1422.466,-10.124,-10.773,-2.099,-10.431,10.88,33.247
8.0,Región del Bío-Bío,fixed,2025Q4,2245,29945,11661,397.548,330.34,9.755,253.273,275.466,2026Q1,2531,31217,12203,410.855,336.106,9.724,239.907,255.677,13.307,3.347,5.766,1.745,-0.031,-0.318
8.0,Región del Bío-Bío,mobile,2025Q4,1769,7510,3690,91.062,20.176,33.055,1712.068,1358.73,2026Q1,2028,8296,4228,83.738,18.697,35.286,1850.55,1431.032,-7.324,-8.043,-1.479,-7.33,2.231,6.749
9.0,Región de La Araucanía,fixed,2025Q4,2453,21575,7978,329.699,286.316,13.603,226.689,277.042,2026Q1,2954,24157,9414,330.672,279.597,14.178,216.768,281.715,0.973,0.295,-6.719,-2.347,0.575,4.227
9.0,Región de La Araucanía,mobile,2025Q4,1970,8148,3679,87.835,19.482,39.302,1418.512,1429.265,2026Q1,2188,8874,4251,76.454,15.504,41.532,1644.19,1569.457,-11.381,-12.957,-3.978,-20.419,2.23,5.674
10.0,Región de Los Lagos,fixed,2025Q4,2053,16441,6030,384.812,298.176,12.587,264.492,264.014,2026Q1,2440,17050,6662,374.311,291.523,13.241,282.172,276.095,-10.501,-2.729,-6.653,-2.231,0.654,5.196
10.0,Región de Los Lagos,mobile,2025Q4,1277,4835,2326,87.459,20.043,41.185,1829.512,1281.941,2026Q1,1640,5616,2844,74.696,16.83,44.758,1940.617,1343.873,-12.763,-14.593,-3.213,-16.031,3.573,8.675
11.0,Región de Aysén del Gral.Ibañez del Campo,fixed,2025Q4,329,1402,616,276.538,199.154,24.019,390.473,423.843,2026Q1,441,1868,867,250.919,167.756,23.557,330.249,314.944,-25.619,-9.264,-31.398,-15.766,-0.462,-1.923
11.0,Región de Aysén del Gral.Ibañez del Campo,mobile,2025Q4,213,555,330,110.81,21.318,52.987,1826.74,1590.222,2026Q1,265,740,402,79.023,15.137,60.797,1737.858,1675.281,-31.787,-28.686,-6.181,-28.994,7.81,14.739
12.0,Región de Magallanes y Antártica Chilena,fixed,2025Q4,356,2645,1195,325.889,235.999,49.556,368.991,317.362,2026Q1,400,2478,1229,332.187,240.474,47.182,379.833,330.471,6.298,1.933,4.475,1.896,-2.374,-4.791
12.0,Región de Magallanes y Antártica Chilena,mobile,2025Q4,167,429,254,77.352,19.577,79.667,1495.467,1191.998,2026Q1,232,483,312,62.559,15.549,78.294,1480.032,1242.643,-14.793,-19.124,-4.028,-20.575,-1.373,-1.723
13.0,Región Metropolitana de Santiago,fixed,2025Q4,5702,270566,99246,409.472,350.358,5.33,212.061,227.341,2026Q1,5732,257810,97469,417.511,358.667,5.14,217.084,232.641,8.039,1.963,8.309,2.372,-0.19,-3.565
13.0,Región Metropolitana de Santiago,mobile,2025Q4,4549,49852,22487,124.236,26.448,23.165,1312.641,1060.083,2026Q1,4557,43970,21275,127.788,26.905,22.516,1278.889,1039.725,3.552,2.859,0.457,1.728,-0.649,-2.802
14.0,Región de Los Ríos,fixed,2025Q4,1090,7750,2944,329.351,245.345,15.42,226.683,251.845,2026Q1,1483,9700,3811,288.603,217.415,18.399,264.498,294.748,-40.748,-12.372,-27.93,-11.384,2.979,19.319
