commune_code,commune,province,region,network,control_period,control_tests,control_download_mbps_test_weighted,current_period,current_tests,current_download_mbps_test_weighted,mean_tests_q1_q2,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,report_change_rank_desc,report_change_rank_asc,report_validation
9120,Villarrica,Cautín,Región de La Araucanía,fixed,2026Q1,4210.0,274.976,2026Q2,3063.0,346.053,3636.5,71.077,25.848,1,83,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
10109,Puerto Varas,Llanquihue,Región de Los Lagos,fixed,2026Q1,2125.0,302.166,2026Q2,1994.0,348.78,2059.5,46.614,15.427,2,82,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
1107,Alto Hospicio,Iquique,Región de Tarapacá,fixed,2026Q1,2941.0,407.473,2026Q2,3648.0,462.565,3294.5,55.092,13.52,3,81,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
6108,Machalí,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q1,2253.0,398.158,2026Q2,2161.0,444.871,2207.0,46.713,11.732,4,80,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5701,San Felipe,San Felipe,Región de Valparaíso,fixed,2026Q1,1591.0,404.228,2026Q2,2452.0,447.447,2021.5,43.219,10.692,5,79,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5601,San Antonio,San Antonio,Región de Valparaíso,fixed,2026Q1,2004.0,376.702,2026Q2,2205.0,416.361,2104.5,39.659,10.528,6,78,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
4102,Coquimbo,Elqui,Región de Coquimbo,fixed,2026Q1,7386.0,398.575,2026Q2,7603.0,436.081,7494.5,37.506,9.41,7,77,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13129,San Joaquín,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,2178.0,458.102,2026Q2,2369.0,495.883,2273.5,37.781,8.247,8,76,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
9115,Pucón,Cautín,Región de La Araucanía,fixed,2026Q1,2480.0,246.584,2026Q2,1629.0,265.565,2054.5,18.981,7.698,9,75,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
14101,Valdivia,Valdivia,Región de Los Ríos,fixed,2026Q1,3726.0,378.798,2026Q2,3725.0,406.888,3725.5,28.09,7.416,10,74,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
10101,Puerto Montt,Llanquihue,Región de Los Lagos,fixed,2026Q1,6007.0,420.576,2026Q2,5820.0,451.684,5913.5,31.108,7.397,11,73,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13404,Paine,Maipo,Región Metropolitana de Santiago,fixed,2026Q1,1924.0,329.475,2026Q2,2170.0,353.642,2047.0,24.167,7.335,12,72,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13132,Vitacura,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,6430.0,354.27,2026Q2,7534.0,379.975,6982.0,25.705,7.256,13,71,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
1101,Iquique,Iquique,Región de Tarapacá,fixed,2026Q1,5292.0,443.733,2026Q2,4994.0,475.773,5143.0,32.04,7.221,14,70,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
9101,Temuco,Cautín,Región de La Araucanía,fixed,2026Q1,7984.0,396.134,2026Q2,8783.0,424.505,8383.5,28.371,7.162,15,69,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
7301,Curicó,Curicó,Región del Maule,fixed,2026Q1,3791.0,369.842,2026Q2,4299.0,395.739,4045.0,25.897,7.002,16,68,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13130,San Miguel,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,6227.0,454.737,2026Q2,7300.0,485.49,6763.5,30.753,6.763,17,67,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
4301,Ovalle,Limarí,Región de Coquimbo,fixed,2026Q1,2003.0,381.954,2026Q2,2101.0,407.545,2052.0,25.591,6.7,18,66,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13107,Huechuraba,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,5336.0,398.527,2026Q2,6007.0,425.218,5671.5,26.691,6.697,19,65,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13108,Independencia,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,2845.0,457.527,2026Q2,2896.0,486.067,2870.5,28.54,6.238,20,64,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
