commune_code,commune,province,region,region_code,period,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation
1101,Iquique,Iquique,Región de Tarapacá,1.0,2026Q2,fixed,91,4994,1813,475.773,392.641,22.709,346.582,251.807,tile averages weighted by tile test count
1107,Alto Hospicio,Iquique,Región de Tarapacá,1.0,2026Q2,fixed,90,3648,1150,462.565,369.59,23.352,333.753,228.708,tile averages weighted by tile test count
1401,Pozo Almonte,Tamarugal,Región de Tarapacá,1.0,2026Q2,fixed,85,488,171,174.428,113.581,33.803,552.195,405.381,tile averages weighted by tile test count
1402,Camiña,Tamarugal,Región de Tarapacá,1.0,2026Q2,fixed,2,7,3,355.671,38.165,46.571,202.143,59.143,tile averages weighted by tile test count
1403,Colchane,Tamarugal,Región de Tarapacá,1.0,2026Q2,fixed,7,13,7,204.89,15.193,132.615,566.385,726.769,tile averages weighted by tile test count
1404,Huara,Tamarugal,Región de Tarapacá,1.0,2026Q2,fixed,17,71,21,134.809,80.866,60.338,388.859,260.07,tile averages weighted by tile test count
1405,Pica,Tamarugal,Región de Tarapacá,1.0,2026Q2,fixed,48,240,100,192.971,119.896,48.079,380.77,363.875,tile averages weighted by tile test count
2101,Antofagasta,Antofagasta,Región de Antofagasta,2.0,2026Q2,fixed,244,11119,3482,466.609,398.577,15.073,270.022,233.703,tile averages weighted by tile test count
2102,Mejillones,Antofagasta,Región de Antofagasta,2.0,2026Q2,fixed,23,270,68,280.688,285.462,7.174,397.452,388.611,tile averages weighted by tile test count
2103,Sierra Gorda,Antofagasta,Región de Antofagasta,2.0,2026Q2,fixed,49,211,94,125.706,43.829,30.578,382.393,254.142,tile averages weighted by tile test count
2104,Taltal,Antofagasta,Región de Antofagasta,2.0,2026Q2,fixed,40,343,105,324.141,272.099,18.117,242.534,389.303,tile averages weighted by tile test count
2201,Calama,El Loa,Región de Antofagasta,2.0,2026Q2,fixed,181,4060,1563,435.439,368.17,22.287,294.282,245.242,tile averages weighted by tile test count
2202,Ollagüe,El Loa,Región de Antofagasta,2.0,2026Q2,fixed,1,1,1,418.311,19.995,29.0,44.0,36.0,tile averages weighted by tile test count
2203,San Pedro de Atacama,El Loa,Región de Antofagasta,2.0,2026Q2,fixed,67,383,186,146.341,25.238,30.46,338.514,234.452,tile averages weighted by tile test count
2301,Tocopilla,Tocopilla,Región de Antofagasta,2.0,2026Q2,fixed,33,559,173,416.04,399.398,19.603,283.417,312.794,tile averages weighted by tile test count
2302,María Elena,Tocopilla,Región de Antofagasta,2.0,2026Q2,fixed,26,117,53,175.216,27.542,27.744,211.293,198.25,tile averages weighted by tile test count
3101,Copiapó,Copiapó,Región de Atacama,3.0,2026Q2,fixed,177,5096,1596,421.413,362.101,14.859,245.086,301.934,tile averages weighted by tile test count
3102,Caldera,Copiapó,Región de Atacama,3.0,2026Q2,fixed,48,462,159,417.703,342.623,18.818,256.844,248.618,tile averages weighted by tile test count
3103,Tierra Amarilla,Copiapó,Región de Atacama,3.0,2026Q2,fixed,52,256,121,283.808,214.025,16.301,321.691,343.727,tile averages weighted by tile test count
3201,Chañaral,Chañaral,Región de Atacama,3.0,2026Q2,fixed,29,362,90,451.371,286.478,27.298,494.489,254.53,tile averages weighted by tile test count
3202,Diego de Almagro,Chañaral,Región de Atacama,3.0,2026Q2,fixed,51,237,112,250.776,160.148,20.013,254.215,231.996,tile averages weighted by tile test count
3301,Vallenar,Huasco,Región de Atacama,3.0,2026Q2,fixed,85,1540,450,486.525,431.679,12.526,176.11,183.879,tile averages weighted by tile test count
3302,Alto del Carmen,Huasco,Región de Atacama,3.0,2026Q2,fixed,5,18,5,277.772,34.665,27.889,176.5,48.111,tile averages weighted by tile test count
3303,Freirina,Huasco,Región de Atacama,3.0,2026Q2,fixed,29,141,49,173.274,39.332,28.454,221.794,102.021,tile averages weighted by tile test count
3304,Huasco,Huasco,Región de Atacama,3.0,2026Q2,fixed,24,591,88,277.901,154.165,18.602,177.585,190.308,tile averages weighted by tile test count
4101,La Serena,Elqui,Región de Coquimbo,4.0,2026Q2,fixed,349,7525,2929,442.553,388.434,10.996,191.022,224.176,tile averages weighted by tile test count
4102,Coquimbo,Elqui,Región de Coquimbo,4.0,2026Q2,fixed,311,7603,2799,436.081,394.447,9.782,180.275,245.013,tile averages weighted by tile test count
4103,Andacollo,Elqui,Región de Coquimbo,4.0,2026Q2,fixed,18,117,41,282.703,221.988,18.299,287.897,243.205,tile averages weighted by tile test count
4104,La Higuera,Elqui,Región de Coquimbo,4.0,2026Q2,fixed,13,43,26,335.73,230.2,14.047,264.698,376.884,tile averages weighted by tile test count
4105,Paihuano,Elqui,Región de Coquimbo,4.0,2026Q2,fixed,12,59,17,112.127,21.637,29.932,292.695,526.22,tile averages weighted by tile test count
4106,Vicuña,Elqui,Región de Coquimbo,4.0,2026Q2,fixed,72,486,141,298.119,245.722,14.504,217.294,349.564,tile averages weighted by tile test count
4201,Illapel,Choapa,Región de Coquimbo,4.0,2026Q2,fixed,88,754,246,394.216,323.701,13.595,284.936,381.436,tile averages weighted by tile test count
4202,Canela,Choapa,Región de Coquimbo,4.0,2026Q2,fixed,23,87,32,289.249,189.174,14.724,202.989,245.034,tile averages weighted by tile test count
4203,Los Vilos,Choapa,Región de Coquimbo,4.0,2026Q2,fixed,71,443,195,379.65,304.811,13.939,230.722,226.413,tile averages weighted by tile test count
4204,Salamanca,Choapa,Región de Coquimbo,4.0,2026Q2,fixed,88,469,214,228.789,175.32,11.574,256.464,442.34,tile averages weighted by tile test count
4301,Ovalle,Limarí,Región de Coquimbo,4.0,2026Q2,fixed,163,2101,722,407.545,368.703,10.017,192.773,227.756,tile averages weighted by tile test count
4302,Combarbalá,Limarí,Región de Coquimbo,4.0,2026Q2,fixed,34,339,92,357.837,330.762,15.142,242.617,301.109,tile averages weighted by tile test count
4303,Monte Patria,Limarí,Región de Coquimbo,4.0,2026Q2,fixed,56,291,105,419.153,326.172,9.698,173.079,284.955,tile averages weighted by tile test count
4304,Punitaqui,Limarí,Región de Coquimbo,4.0,2026Q2,fixed,17,60,25,519.537,385.739,48.667,334.75,310.933,tile averages weighted by tile test count
4305,Río Hurtado,Limarí,Región de Coquimbo,4.0,2026Q2,fixed,15,32,21,192.142,60.24,25.219,366.625,124.375,tile averages weighted by tile test count
5101,Valparaíso,Valparaíso,Región de Valparaíso,5.0,2026Q2,fixed,227,6047,2324,418.536,359.207,7.683,239.979,290.829,tile averages weighted by tile test count
5102,Casablanca,Valparaíso,Región de Valparaíso,5.0,2026Q2,fixed,124,768,280,270.44,213.382,14.509,249.529,212.711,tile averages weighted by tile test count
