commune_code,commune,province,region,network,current_period,current_tests,current_download_mbps_test_weighted,mean_tests_q1_q2,mean_tests_q1_q2_reference,above_mean_tests_reference,validation_basis,rank_speed_desc_validated,rank_speed_asc_validated
8102,Coronel,Concepción,Región del Bío-Bío,fixed,2026Q2,2154.0,497.944,2017.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,1,83
13129,San Joaquín,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,2369.0,495.883,2273.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,2,82
13109,La Cisterna,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,4305.0,493.703,4213.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,3,81
13118,Macul,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,5938.0,486.881,6026.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,4,80
13108,Independencia,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,2896.0,486.067,2870.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,5,79
13130,San Miguel,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,7300.0,485.49,6763.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,6,78
8112,Hualpén,Concepción,Región del Bío-Bío,fixed,2026Q2,1819.0,482.729,1827.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,7,77
13110,La Florida,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,15960.0,480.686,15148.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,8,76
13112,La Pintana,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,2128.0,478.195,2121.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,9,75
1101,Iquique,Iquique,Región de Tarapacá,fixed,2026Q2,4994.0,475.773,5143.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,10,74
8101,Concepción,Concepción,Región del Bío-Bío,fixed,2026Q2,7401.0,472.629,6941.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,11,73
13120,Ñuñoa,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,12725.0,471.979,12657.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,12,72
13111,La Granja,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,3287.0,470.117,3108.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,13,71
16101,Chillán,Ñuble,Región de Ñuble,fixed,2026Q2,5076.0,469.508,4743.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,14,70
13126,Quinta Normal,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,3158.0,468.05,3122.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,15,69
2101,Antofagasta,Antofagasta,Región de Antofagasta,fixed,2026Q2,11119.0,466.609,10709.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,16,68
8110,Talcahuano,Concepción,Región del Bío-Bío,fixed,2026Q2,2529.0,466.438,2506.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,17,67
10301,Osorno,Osorno,Región de Los Lagos,fixed,2026Q2,3819.0,464.052,3589.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,18,66
13201,Puente Alto,Cordillera,Región Metropolitana de Santiago,fixed,2026Q2,15837.0,463.965,15254.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,19,65
1107,Alto Hospicio,Iquique,Región de Tarapacá,fixed,2026Q2,3648.0,462.565,3294.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,20,64
13105,El Bosque,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,3600.0,456.034,3420.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,21,63
13119,Maipú,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,16913.0,454.823,15598.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,22,62
13104,Conchalí,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,3222.0,454.382,3142.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,23,61
13102,Cerrillos,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,2883.0,453.124,2689.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,24,60
10101,Puerto Montt,Llanquihue,Región de Los Lagos,fixed,2026Q2,5820.0,451.684,5913.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,25,59
13401,San Bernardo,Maipo,Región Metropolitana de Santiago,fixed,2026Q2,10939.0,451.427,9683.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,26,58
13106,Estación Central,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,4933.0,450.197,4886.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,27,57
8108,San Pedro de la Paz,Concepción,Región del Bío-Bío,fixed,2026Q2,4736.0,449.961,4157.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,28,56
13125,Quilicura,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,6964.0,448.311,6629.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,29,55
5701,San Felipe,San Felipe,Región de Valparaíso,fixed,2026Q2,2452.0,447.447,2021.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,30,54
5804,Villa Alemana,Marga Marga,Región de Valparaíso,fixed,2026Q2,5180.0,445.252,4737.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,31,53
13101,Santiago,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,18376.0,445.19,17872.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,32,52
6108,Machalí,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q2,2161.0,444.871,2207.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,33,51
5801,Quilpué,Marga Marga,Región de Valparaíso,fixed,2026Q2,4486.0,444.224,4419.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,34,50
13604,Padre Hurtado,Talagante,Región Metropolitana de Santiago,fixed,2026Q2,2902.0,443.435,2870.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,35,49
13127,Recoleta,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,4033.0,443.337,3953.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,36,48
15101,Arica,Arica,Región de Arica y Parinacota,fixed,2026Q2,4871.0,442.97,4895.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,37,47
4101,La Serena,Elqui,Región de Coquimbo,fixed,2026Q2,7525.0,442.553,7821.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,38,46
7101,Talca,Talca,Región del Maule,fixed,2026Q2,5967.0,441.892,5731.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,39,45
13605,Peñaflor,Talagante,Región Metropolitana de Santiago,fixed,2026Q2,2535.0,440.149,2731.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,40,44
13122,Peñalolén,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,7443.0,439.921,7979.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,41,43
13103,Cerro Navia,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,3092.0,437.96,2917.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,42,42
5109,Viña del Mar,Valparaíso,Región de Valparaíso,fixed,2026Q2,11444.0,436.858,11586.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,43,41
4102,Coquimbo,Elqui,Región de Coquimbo,fixed,2026Q2,7603.0,436.081,7494.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,44,40
13116,Lo Espejo,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,1865.0,435.771,1674.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,45,39
13124,Pudahuel,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,6906.0,435.663,6785.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,46,38
2201,Calama,El Loa,Región de Antofagasta,fixed,2026Q2,4060.0,435.439,4328.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,47,37
5501,Quillota,Quillota,Región de Valparaíso,fixed,2026Q2,2352.0,433.607,2341.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,48,36
6101,Rancagua,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q2,6412.0,433.51,6161.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,49,35
13123,Providencia,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,10801.0,433.405,10331.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,50,34
13128,Renca,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,4314.0,432.859,3773.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,51,33
13117,Lo Prado,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,2191.0,432.19,2113.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,52,32
6115,Rengo,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q2,1642.0,431.79,1674.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,53,31
13121,Pedro Aguirre Cerda,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,2326.0,428.994,2084.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,54,30
