period,region_code,region_name,download_mbps,upload_mbps,national_measurements,publication_date,source_url,method_note
2026-01,1,Tarapacá,586.6,422.1,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,2,Antofagasta,678.4,539.7,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,3,Atacama,640.5,475.6,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,4,Coquimbo,759.1,670.2,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,5,Valparaíso,710.5,592.3,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,6,Libertador General Bernardo O'Higgins,752.0,560.7,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,7,Maule,716.1,611.9,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,8,Biobío,765.2,630.9,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,9,La Araucanía,735.8,688.3,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,10,Los Lagos,776.5,687.8,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,11,Aysén del General Carlos Ibáñez del Campo,487.6,852.2,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,12,Magallanes y de la Antártica Chilena,535.1,452.9,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,13,Región Metropolitana de Santiago,749.1,636.2,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,14,Los Ríos,759.4,682.7,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,15,Arica y Parinacota,578.5,619.2,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
2026-01,16,Ñuble,770.7,698.3,752626,2026-02-03,https://www.subtel.gob.cl/los-lagos-nuble-y-biobio-inician-el-ano-como-las-regiones-con-el-internet-mas-rapido-del-pais/,Promedio regional publicado por SUBTEL a partir de mediciones OTI de Internet fija; no equivale a Ookla ni a cobertura de hogares
