source_id,publisher,dataset,role
censo2024,INE,Censo de Población y Vivienda 2024,household and territorial indicators
casen2024,Ministerio de Desarrollo Social y Familia,CASEN 2024,weighted-person and social-gap indicators
subtel2025,SUBTEL,Encuestas de Acceso y Usos de Internet,household access and person 16+ use
subtel2026q1,SUBTEL,Informe del Sector Telecomunicaciones Primer Trimestre 2026,sector connections technology mix household fixed penetration and traffic
subtel_mobile_2025m03,SUBTEL,Servicios ArcGIS públicos 4G y 5G marzo 2025,public operator network point records aggregated by commune
subtel_fixed_redacceso,SUBTEL,Servicios ArcGIS públicos Of468 RedAcceso,public fixed-access regulatory linework and attributes; not retail coverage
mineduc_aulas2025,Ministerio de Educación,Aulas Conectadas 2025 nómina oficial de seleccionados y lista de espera,public establishment-level administrative program records keyed by RBD
mineduc_cpe2030_2026,Ministerio de Educación,Conectividad para la Educación 2030 documentación 2025-2026,program parameters standards and legal documentation
ookla2025q4,Ookla,Speedtest Open Data Q4 2025,observed fixed and mobile quality control period
ookla2026q1,Ookla,Speedtest Open Data Q1 2026,observed fixed and mobile quality national regional and communal
atlas2026,Sebastian Elgueta Godoy / COTEL public outputs,Atlas de la Desconexión Digital 2026,integrated public analytical layer
