dataset_id,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,cell_rule
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,4.0,4.0,1696,26.41745,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,3.0,3.0,1116,17.38318,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,2.0,2.0,578,9.00312,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,6.0,6.0,852,13.27103,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,5.0,5.0,1300,20.24922,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,1.0,1.0,132,2.05607,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,7.0,7.0,420,6.54206,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,8.0,8.0,200,3.11526,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,10.0,10.0,40,0.62305,n >= 30
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,9.0,9.0,63,0.98131,n >= 30
2008_I_base_completa_270409,b11_1,¿Su hogar cuenta con: Teléfono fijo?,1.0,Sí,3717,57.8972,n >= 30
2008_I_base_completa_270409,b11_1,¿Su hogar cuenta con: Teléfono fijo?,0.0,No,2703,42.1028,n >= 30
2008_I_base_completa_270409,b11_2,¿Su hogar cuenta con: TV Cable?,1.0,Sí,3320,51.7134,n >= 30
2008_I_base_completa_270409,b11_2,¿Su hogar cuenta con: TV Cable?,0.0,No,3100,48.2866,n >= 30
2008_I_base_completa_270409,b11_3,¿Su hogar cuenta con: Computador fijo?,1.0,Sí,3631,56.55763,n >= 30
2008_I_base_completa_270409,b11_3,¿Su hogar cuenta con: Computador fijo?,0.0,No,2789,43.44237,n >= 30
2008_I_base_completa_270409,b11_4,¿Su hogar cuenta con: Notebook (Laptop)?,0.0,No,5289,82.38318,n >= 30
2008_I_base_completa_270409,b11_4,¿Su hogar cuenta con: Notebook (Laptop)?,1.0,Sí,1131,17.61682,n >= 30
2008_I_base_completa_270409,b11_5,¿Su hogar cuenta con: Ninguno de los anteriores?,0.0,No,5183,80.73209,n >= 30
2008_I_base_completa_270409,b11_5,¿Su hogar cuenta con: Ninguno de los anteriores?,1.0,Sí,1237,19.26791,n >= 30
2008_I_base_completa_270409,b12,¿Cuántos PC y/o notebook tiene su hogar en uso y funcionamiento?,1.0,1.0,2817,72.41645,n >= 30
2008_I_base_completa_270409,b12,¿Cuántos PC y/o notebook tiene su hogar en uso y funcionamiento?,2.0,2.0,811,20.84833,n >= 30
2008_I_base_completa_270409,b12,¿Cuántos PC y/o notebook tiene su hogar en uso y funcionamiento?,4.0,4.0,60,1.54242,n >= 30
2008_I_base_completa_270409,b12,¿Cuántos PC y/o notebook tiene su hogar en uso y funcionamiento?,3.0,3.0,173,4.4473,n >= 30
2008_I_base_completa_270409,b13,¿Hace cuánto tiempo cuenta con PC y/o Notebook en su hogar?,4.0,"Más de 2 años, hasta 5 años",1281,32.93059,n >= 30
2008_I_base_completa_270409,b13,¿Hace cuánto tiempo cuenta con PC y/o Notebook en su hogar?,5.0,Más de 5 años,1052,27.0437,n >= 30
2008_I_base_completa_270409,b13,¿Hace cuánto tiempo cuenta con PC y/o Notebook en su hogar?,3.0,"Más de 1 año, hasta 2 años",893,22.9563,n >= 30
2008_I_base_completa_270409,b13,¿Hace cuánto tiempo cuenta con PC y/o Notebook en su hogar?,2.0,"Más de 6 meses, hasta 1 año",414,10.64267,n >= 30
2008_I_base_completa_270409,b13,¿Hace cuánto tiempo cuenta con PC y/o Notebook en su hogar?,1.0,Hace 6 meses o menos,250,6.42674,n >= 30
2008_I_base_completa_270409,b14,¿Cuál es la principal razón por la cual no tiene computador en el hogar?,3.0,No le interesa por ahora,256,10.11858,n >= 30
2008_I_base_completa_270409,b14,¿Cuál es la principal razón por la cual no tiene computador en el hogar?,1.0,Es muy caro,1681,66.44269,n >= 30
2008_I_base_completa_270409,b14,¿Cuál es la principal razón por la cual no tiene computador en el hogar?,4.0,No sabe usarlo,215,8.49802,n >= 30
2008_I_base_completa_270409,b14,¿Cuál es la principal razón por la cual no tiene computador en el hogar?,2.0,No lo necesita ahora,300,11.85771,n >= 30
2008_I_base_completa_270409,b14,¿Cuál es la principal razón por la cual no tiene computador en el hogar?,5.0,Otra,78,3.083,n >= 30
2008_I_base_completa_270409,b14e,¿Cuál es esa otra razón por la cual no tiene computador en el hogar?,,,6342,98.78505,n >= 30
