dataset_id,variable,label,dtype,nonmissing_n,distinct_values,missing_pct,value_labels_json
2008_I_base_completa_270409,folio,ID Entrevista,str,6420,1717,0.0,{}
2008_I_base_completa_270409,segmento,ID Segmento (conglomerado),float64,6420,320,0.0,{}
2008_I_base_completa_270409,id0,Número total de integrantes del hogar,float64,6420,12,0.0,{}
2008_I_base_completa_270409,b11_1,¿Su hogar cuenta con: Teléfono fijo?,float64,6420,2,0.0,"{""0.0"": ""No"", ""1.0"": ""Sí""}"
2008_I_base_completa_270409,b11_2,¿Su hogar cuenta con: TV Cable?,float64,6420,2,0.0,"{""0.0"": ""No"", ""1.0"": ""Sí""}"
2008_I_base_completa_270409,b11_3,¿Su hogar cuenta con: Computador fijo?,float64,6420,2,0.0,"{""0.0"": ""No"", ""1.0"": ""Sí""}"
2008_I_base_completa_270409,b11_4,¿Su hogar cuenta con: Notebook (Laptop)?,float64,6420,2,0.0,"{""0.0"": ""No"", ""1.0"": ""Sí""}"
2008_I_base_completa_270409,b11_5,¿Su hogar cuenta con: Ninguno de los anteriores?,float64,6420,2,0.0,"{""0.0"": ""No"", ""1.0"": ""Sí""}"
2008_I_base_completa_270409,b12,¿Cuántos PC y/o notebook tiene su hogar en uso y funcionamiento?,float64,3890,7,39.4081,{}
2008_I_base_completa_270409,b13,¿Hace cuánto tiempo cuenta con PC y/o Notebook en su hogar?,float64,3890,5,39.4081,"{""1.0"": ""Hace 6 meses o menos"", ""2.0"": ""Más de 6 meses, hasta 1 año"", ""3.0"": ""Más de 1 año, hasta 2 años"", ""4.0"": ""Más de 2 años, hasta 5 años"", ""5.0"": ""Más de 5 años""}"
2008_I_base_completa_270409,b14,¿Cuál es la principal razón por la cual no tiene computador en el hogar?,float64,2530,5,60.5919,"{""1.0"": ""Es muy caro"", ""2.0"": ""No lo necesita ahora"", ""3.0"": ""No le interesa por ahora"", ""4.0"": ""No sabe usarlo"", ""5.0"": ""Otra""}"
2008_I_base_completa_270409,b14e,¿Cuál es esa otra razón por la cual no tiene computador en el hogar?,str,6420,23,0.0,{}
