variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,cell_rule
region,,2.0,2.0,571,9.04913,n >= 30
region,,5.0,5.0,1496,23.7084,n >= 30
region,,8.0,8.0,1678,26.59271,n >= 30
region,,13.0,13.0,2565,40.64976,n >= 30
orden,,1.0,1.0,2010,31.8542,n >= 30
orden,,2.0,2.0,1720,27.25832,n >= 30
orden,,3.0,3.0,1226,19.42948,n >= 30
orden,,4.0,4.0,759,12.02853,n >= 30
orden,,5.0,5.0,349,5.5309,n >= 30
orden,,6.0,6.0,148,2.34548,n >= 30
orden,,7.0,7.0,57,0.90333,n >= 30
h2,,1.0,1.0,2017,31.9702,n >= 30
h2,,3.0,3.0,2221,35.20368,n >= 30
h2,,2.0,2.0,1172,18.57664,n >= 30
h2,,10.0,10.0,156,2.47266,n >= 30
h2,,6.0,6.0,92,1.45823,n >= 30
h2,,8.0,8.0,75,1.18878,n >= 30
h2,,4.0,4.0,90,1.42653,n >= 30
h2,,5.0,5.0,353,5.59518,n >= 30
h2,,11.0,11.0,66,1.04612,n >= 30
h3,,1.0,1.0,3008,47.67036,n >= 30
h3,,2.0,2.0,3302,52.32964,n >= 30
h5a,,5.0,5.0,468,7.4168,n >= 30
h5a,,7.0,7.0,197,3.12203,n >= 30
h5a,,99.0,99.0,592,9.38193,n >= 30
h5a,,0.0,0.0,397,6.2916,n >= 30
h5a,,4.0,4.0,1881,29.80983,n >= 30
h5a,,1.0,1.0,335,5.30903,n >= 30
h5a,,2.0,2.0,794,12.5832,n >= 30
h5a,,6.0,6.0,483,7.65452,n >= 30
h5a,,3.0,3.0,618,9.79398,n >= 30
h5a,,8.0,8.0,482,7.63867,n >= 30
h5b,,8.0,8.0,130,2.06022,n >= 30
h5b,,9.0,9.0,243,3.85103,n >= 30
h5b,,5.0,5.0,266,4.21553,n >= 30
h5b,,7.0,7.0,432,6.84628,n >= 30
h5b,,2.0,2.0,1177,18.65293,n >= 30
h5b,,1.0,1.0,503,7.97147,n >= 30
h5b,,6.0,6.0,1393,22.07607,n >= 30
h5b,,4.0,4.0,695,11.01426,n >= 30
h5b,,3.0,3.0,620,9.82567,n >= 30
h5b,,11.0,11.0,457,7.24247,n >= 30
h5b,,10.0,10.0,352,5.57845,n >= 30
h5b,,99.0,99.0,42,0.66561,n >= 30
h6,,1.0,1.0,2473,42.56454,n >= 30
h6,,3.0,3.0,252,4.33735,n >= 30
h6,,6.0,6.0,930,16.00688,n >= 30
h6,,5.0,5.0,1265,21.77281,n >= 30
h6,,7.0,7.0,683,11.75559,n >= 30
h6,,2.0,2.0,176,3.02926,n >= 30
h7,,1.0,1.0,3604,57.11569,n >= 30
h7,,2.0,2.0,2674,42.37718,n >= 30
h7,,9.0,9.0,32,0.50713,n >= 30
mes,,4.0,4.0,505,8.47458,n >= 30
mes,,2.0,2.0,453,7.60195,n >= 30
mes,,12.0,12.0,466,7.8201,n >= 30
mes,,3.0,3.0,548,9.19617,n >= 30
mes,,5.0,5.0,470,7.88723,n >= 30
mes,,1.0,1.0,440,7.38379,n >= 30
mes,,6.0,6.0,554,9.29686,n >= 30
mes,,9.0,9.0,545,9.14583,n >= 30
mes,,8.0,8.0,487,8.17251,n >= 30
mes,,11.0,11.0,496,8.32354,n >= 30
mes,,10.0,10.0,477,8.0047,n >= 30
mes,,99.0,99.0,53,0.88941,n >= 30
mes,,7.0,7.0,464,7.78654,n >= 30
Tipo2,Tipo de Muestra,1.0,Muestra Urbana 2011,4744,75.18225,n >= 30
Tipo2,Tipo de Muestra,2.0,Muestra Panel Urbana 2009,543,8.60539,n >= 30
Tipo2,Tipo de Muestra,3.0,Muestra Rural 2011,1023,16.21236,n >= 30
