indicator,segment,value_pct,source
households_with_paid_internet,older_people_only_households,83.2,SUBTEL Duodécima Encuesta 2025
daily_smartphone_use,60+,86.6,SUBTEL Duodécima Encuesta 2025
daily_computer_use,60+,20.5,SUBTEL Duodécima Encuesta 2025
daily_internet_use,60+,74.4,SUBTEL Duodécima Encuesta 2025
video_calls,60+,77.0,SUBTEL Duodécima Encuesta 2025
social_networks,60+,69.5,SUBTEL Duodécima Encuesta 2025
online_banking_transactions,60+,42.9,SUBTEL Duodécima Encuesta 2025
word_processor_use,60+,23.8,SUBTEL Duodécima Encuesta 2025
artificial_intelligence_use,60+,9.5,SUBTEL Duodécima Encuesta 2025
feels_unprotected_online,60+,38.4,SUBTEL Duodécima Encuesta 2025
