skill,2023_pct,2024_pct,2025_pct,comparability_note
review_social_networks,77.5,80.6,84.9,Self-reported ability on smartphone/computer.
video_calls,79.4,79.3,84.8,Self-reported ability on smartphone/computer.
email_with_attachments,67.2,68.4,73.6,Self-reported ability on smartphone/computer.
online_banking_purchases_payments,63.5,65.6,71.7,Self-reported ability on smartphone/computer.
edit_photos_or_video,55.7,55.3,61.8,Self-reported ability on smartphone/computer.
word_processor,53.3,54.0,59.4,Self-reported ability on smartphone/computer.
post_to_social_networks,53.1,51.5,57.7,Self-reported ability on smartphone/computer.
transfer_files_or_cloud,49.7,50.3,53.6,Self-reported ability on smartphone/computer.
install_and_configure_apps,49.7,49.2,52.3,Self-reported ability on smartphone/computer.
connect_router_camera_printer,46.4,46.9,52.8,Self-reported ability on smartphone/computer.
presentation_software,45.9,47.2,52.0,Self-reported ability on smartphone/computer.
spreadsheet_formulas,45.3,45.1,50.2,Self-reported ability on smartphone/computer.
online_gaming,41.6,38.8,45.7,Self-reported ability/use item.
change_security_settings,34.2,31.6,38.6,Self-reported ability on smartphone/computer.
artificial_intelligence,,27.0,40.6,Item introduced in the 2024 measurement; no 2023 value is imputed.
install_os_or_program,16.1,19.4,23.0,Self-reported advanced skill.
create_website,5.2,13.5,17.7,Self-reported advanced skill.
none,6.6,2.7,2.3,Respondent reports none of the listed skills.
