reference_year,survey_wave,domain,indicator,segment,value_pct,universe,reference_window,source_ref,comparability_note
2015,VII,access_mode,fixed_only,total,17.7,households,,SUBTEL harmonized survey series,National and access-mode values use SUBTEL's later harmonized series; urban/rural values are retrospective rounded values reported in the VIII survey.
2015,VII,access_mode,fixed_plus_mobile,total,31.1,households,,SUBTEL harmonized survey series,National and access-mode values use SUBTEL's later harmonized series; urban/rural values are retrospective rounded values reported in the VIII survey.
2015,VII,access_mode,mobile_only,total,19.7,households,,SUBTEL harmonized survey series,National and access-mode values use SUBTEL's later harmonized series; urban/rural values are retrospective rounded values reported in the VIII survey.
2015,VII,access_mode,total_fixed,total,48.8,households,,SUBTEL harmonized survey series,National and access-mode values use SUBTEL's later harmonized series; urban/rural values are retrospective rounded values reported in the VIII survey.
2015,VII,access_mode,unspecified_mode,total,1.7,households,,SUBTEL harmonized survey series,National and access-mode values use SUBTEL's later harmonized series; urban/rural values are retrospective rounded values reported in the VIII survey.
2015,VII,devices,console,households_with_internet,15.0,households with Internet,,SUBTEL survey presentations,Multiple response among households with Internet; streaming-player category not retained in the historical chart.
2015,VII,devices,desktop,households_with_internet,33.0,households with Internet,,SUBTEL survey presentations,Multiple response among households with Internet; streaming-player category not retained in the historical chart.
2015,VII,devices,laptop,households_with_internet,66.0,households with Internet,,SUBTEL survey presentations,Multiple response among households with Internet; streaming-player category not retained in the historical chart.
2015,VII,devices,smartphone,households_with_internet,90.0,households with Internet,,SUBTEL survey presentations,Multiple response among households with Internet; streaming-player category not retained in the historical chart.
2015,VII,devices,tablet,households_with_internet,28.0,households with Internet,,SUBTEL survey presentations,Multiple response among households with Internet; streaming-player category not retained in the historical chart.
2015,VII,devices,tv_connected,households_with_internet,19.0,households with Internet,,SUBTEL survey presentations,Multiple response among households with Internet; streaming-player category not retained in the historical chart.
2015,VI,household_access,households_with_any_connection,total,67.0,households,,SUBTEL 2015 press release,Contemporaneous VI survey headline; differs from later harmonized paid-access series.
2015,VII,household_access,no_paid_internet_access,total,29.8,households,,SUBTEL harmonized survey series,National and access-mode values use SUBTEL's later harmonized series; urban/rural values are retrospective rounded values reported in the VIII survey.
2015,VII,household_access,paid_internet_access,rural,56.0,households,,SUBTEL harmonized survey series,National and access-mode values use SUBTEL's later harmonized series; urban/rural values are retrospective rounded values reported in the VIII survey.
2015,VII,household_access,paid_internet_access,total,70.2,households,,SUBTEL harmonized survey series,National and access-mode values use SUBTEL's later harmonized series; urban/rural values are retrospective rounded values reported in the VIII survey.
