dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,weighted_n,pct_weighted,weight_variable,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,5.0,5.- Región de Valparaíso,470,9.4,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,13.0,13.- Región Metropolitana de Santiago,550,11.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,6.0,6.- Región del Libertador Bernardo Ohiggins,420,8.4,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,7.0,7.- Región del Maule,430,8.6,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,9.0,9.- Región de la Araucanía,430,8.6,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,2.0,2.- Región de Antofagasta,300,6.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,4.0,4.- Región de Coquimbo,320,6.4,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,16.0,16.- Región del Ñuble,300,6.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,15.0,15.- Región de Arica y Parinacota,120,2.4,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,8.0,8.- Región del Bio-Bio,470,9.4,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,10.0,10.- Región de los Lagos,420,8.4,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,3.0,3.- Región de Atacama,150,3.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,1.0,1.- Región de Tarapacá,150,3.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,12.0,12.- Región de Magallanes,150,3.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,11.0,11.- Región de Aysen,120,2.4,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,14.0,14.- Región de los Rios,200,4.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,ZONA,ZONA,1.0,URBANA,3593,71.86,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,ZONA,ZONA,2.0,RURAL,1407,28.14,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,5.0,Nieto(a),79,1.58,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,1.0,Yo soy el jefe de Hogar,2998,59.96,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,6.0,Padre o Madre,58,1.16,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,3.0,Hijo(a),733,14.66,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,4.0,Yerno o Nuera,40,0.8,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,2.0,Cónyuge o Pareja,935,18.7,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,8.0,Hermano(a),48,0.96,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,10.0,Otro familiar,64,1.28,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",3.0,Básica completa,580,11.6,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",5.0,Media Técnico-Profesional Incompleta,174,3.48,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",2.0,Básica incompleta,445,8.9,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",9.0,Superior Técnica Completa,478,9.56,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",6.0,Media Científico-Humanista Completa,1360,27.2,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",4.0,Media Científico-Humanista Incompleta,361,7.22,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",11.0,Superior Universitaria Completa,786,15.72,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",7.0,Media Técnico-Profesional Completa,502,10.04,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",8.0,Superior Técnica Incompleta,77,1.54,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",10.0,Superior Universitaria Incompleta,200,4.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",1.0,Sin educación formal,37,0.74,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,1.0,"1.Trabajos menores ocasionales e informales (Lavado, aseo, servicio doméstico ocasional, pololo, cuidador de autos)",748,14.96,,,,published only when unweighted n >= 30
