dataset_id,reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,2,Q8_17,"17.- Realizar transacciones bancarias, compras y pagos en línea [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,2,Q21_30,"26. realizar pagos en línea a organismos del estado (impuestos, compra de certificados, etc.). [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,2,P6_1_8,"8.- Permite realizar trámites personales como revisar cuentas bancarias, realizar transferencias, solicitar certificados y pagar cuentas [P6_1.- Por cuál o cuáles razones tiene el servicio de Internet Móvil en su hogar? ]",4343,2,13.14,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,2,P6_1_10,10.- Facilita la realización de compras en línea y acceso a plataformas de comercio electrónico. [P6_1.- Por cuál o cuáles razones tiene el servicio de Internet Móvil en su hogar? ],4343,2,13.14,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,2,P6_8,"8.- Permite realizar trámites personales como revisar cuentas bancarias, realizar transferencias, solicitar certificados y pagar cuentas [P6.-¿Por cuál o cuáles razones tiene el servicio de Internet Fijo en su hogar?]",3355,2,32.9,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,2,P6_10,10.- Facilita la realización de compras en línea y acceso a plataformas de comercio electrónico. [P6.-¿Por cuál o cuáles razones tiene el servicio de Internet Fijo en su hogar?],3355,2,32.9,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q21_33,"NET COMERCIO ELECTRÓNICO (E-COMMERCE) Y EMPRENDIMIENTO [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q21_34,"29. realizar transacciones bancarias [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q21_35,"30. realzar compras de productos o servicios [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q21_36,"31. realizar pagos en línea de servicios básicos (agua, luz, telefonía, etc.) [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q21_41,"35. comprar bienes, servicios o insumos para una empresa o negocio propio. [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q27,"Q27.- ¿Cuándo realizó la última compra u orden de bienes o servicios, para su uso personal, a través de Internet?",4731,7,5.38,True
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q32_13,Seguir recomendaciones de trabajos y bancos [Q32.- En los últimos 3 meses: ¿qué actividades ha realizado usted en términos de seguridad y privacidad de la información? ],4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q33_3,3.- Pérdidas financieras debido a pagos fraudulentos con tarjetas de créditos o débitos [Q33.- En los últimos 3 meses señale ¿qué problemas ha tenido Usted en términos de seguridad y privacidad de la información?],4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q7_3,Q7_3.- ¿Su conexión de internet móvil es Prepago o Postpago?,4696,2,6.08,True
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,P12_1,P12_1.- ¿Su conexión de internet móvil es Prepago o Postpago?,4343,2,13.14,True
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q24_CODIF_27,"NET PAGOS /VENTAS [Q24. ¿En qué aspectos el acceso a Internet ha facilitado o potenciado su actividad académica, laboral o la de su empresa?]",3355,2,32.9,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q24_CODIF_28,"Los pagos los hace por internet [Q24. ¿En qué aspectos el acceso a Internet ha facilitado o potenciado su actividad académica, laboral o la de su empresa?]",3355,2,32.9,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q24_CODIF_29,"Posibilidades de compras  y ventas [Q24. ¿En qué aspectos el acceso a Internet ha facilitado o potenciado su actividad académica, laboral o la de su empresa?]",3355,2,32.9,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q37_6,"Realizar una compra [Q37.- ¿Ha solicitado a algún amigo, vecino, familiar o conocido que realice en Internet por usted alguna de las siguientes actividades? RM]",269,2,94.62,False
