reference_year,survey_wave,domain,candidate_variables
2011,III,demographic_employment,10
2011,III,demographic_income_gse,10
2011,III,digital_government,1
2011,III,geography_commune,2
2011,III,geography_region,1
2012,IV,banking_payments,16
2012,IV,barriers_non_access,27
2012,IV,demographic_age,1
2012,IV,demographic_employment,15
2012,IV,demographic_income_gse,24
2012,IV,demographic_sex_gender,1
2012,IV,devices,32
2012,IV,digital_government,10
2012,IV,education_learning,2
2012,IV,fixed_mobile_mode,17
2012,IV,geography_commune,1
2012,IV,geography_region,1
2012,IV,geography_urban_rural,1
2012,IV,household_access,22
2012,IV,indigenous,5
2012,IV,internet_use_frequency,22
2012,IV,quality_satisfaction,129
2013,V,banking_payments,18
2013,V,barriers_non_access,61
2013,V,demographic_age,3
2013,V,demographic_employment,17
2013,V,demographic_income_gse,23
2013,V,demographic_sex_gender,2
2013,V,devices,62
2013,V,digital_government,31
2013,V,education_learning,11
2013,V,fixed_mobile_mode,14
2013,V,geography_commune,1
2013,V,geography_region,1
2013,V,geography_urban_rural,6
2013,V,household_access,87
2013,V,indigenous,2
2013,V,internet_use_frequency,49
2013,V,quality_satisfaction,24
2013,V,security_privacy,7
2013,V,social_communication,2
2014,VI,banking_payments,12
2014,VI,barriers_non_access,39
2014,VI,demographic_age,2
2014,VI,demographic_education,1
2014,VI,demographic_employment,3
2014,VI,demographic_income_gse,4
2014,VI,demographic_sex_gender,2
2014,VI,devices,28
2014,VI,digital_government,13
2014,VI,digital_skills,1
2014,VI,education_learning,7
2014,VI,fixed_mobile_mode,6
2014,VI,geography_commune,1
2014,VI,geography_region,1
2014,VI,geography_urban_rural,5
2014,VI,household_access,20
2014,VI,internet_use_frequency,17
2014,VI,quality_satisfaction,79
2014,VI,security_privacy,6
2014,VI,social_communication,6
2015,VII,banking_payments,19
2015,VII,barriers_non_access,69
2015,VII,demographic_age,2
2015,VII,demographic_education,4
2015,VII,demographic_employment,8
2015,VII,demographic_income_gse,3
2015,VII,demographic_sex_gender,2
2015,VII,devices,57
2015,VII,digital_government,26
2015,VII,digital_skills,1
2015,VII,disability,3
2015,VII,education_learning,15
2015,VII,fixed_mobile_mode,13
2015,VII,geography_commune,1
2015,VII,geography_region,1
2015,VII,geography_urban_rural,11
2015,VII,household_access,39
2015,VII,indigenous,2
2015,VII,internet_use_frequency,37
2015,VII,quality_satisfaction,23
2015,VII,security_privacy,8
2015,VII,social_communication,13
2015,VII,work_telework,4
2016,VIII,banking_payments,18
2016,VIII,barriers_non_access,58
2016,VIII,demographic_age,4
2016,VIII,demographic_education,5
2016,VIII,demographic_employment,9
2016,VIII,demographic_income_gse,1
2016,VIII,demographic_sex_gender,2
2016,VIII,devices,77
2016,VIII,digital_government,26
2016,VIII,digital_skills,4
2016,VIII,disability,3
2016,VIII,education_learning,29
2016,VIII,fixed_mobile_mode,15
2016,VIII,geography_commune,1
2016,VIII,geography_region,1
2016,VIII,geography_urban_rural,22
2016,VIII,household_access,46
2016,VIII,internet_use_frequency,41
2016,VIII,quality_satisfaction,27
2016,VIII,security_privacy,10
2016,VIII,social_communication,12
2016,VIII,work_telework,3
2017,IX,banking_payments,33
2017,IX,barriers_non_access,64
2017,IX,demographic_age,12
2017,IX,demographic_employment,26
2017,IX,demographic_income_gse,1
2017,IX,devices,47
2017,IX,digital_government,5
2017,IX,education_learning,28
2017,IX,fixed_mobile_mode,21
2017,IX,geography_commune,1
2017,IX,geography_region,1
2017,IX,geography_urban_rural,31
2017,IX,household_access,104
2017,IX,internet_use_frequency,113
2017,IX,quality_satisfaction,22
2017,IX,security_privacy,14
2017,IX,social_communication,68
2017,IX,work_telework,14
2023,X,banking_payments,38
2023,X,barriers_non_access,78
2023,X,demographic_age,60
2023,X,demographic_education,4
2023,X,demographic_employment,36
2023,X,demographic_sex_gender,10
2023,X,devices,91
2023,X,digital_government,21
2023,X,digital_skills,4
2023,X,disability,1
2023,X,education_learning,42
2023,X,fixed_mobile_mode,87
2023,X,geography_commune,1
2023,X,geography_region,1
2023,X,geography_urban_rural,39
2023,X,household_access,122
2023,X,indigenous,1
2023,X,internet_use_frequency,132
2023,X,quality_satisfaction,25
2023,X,security_privacy,20
2023,X,social_communication,94
2023,X,work_telework,19
2024,XI,banking_payments,16
2024,XI,barriers_non_access,83
2024,XI,demographic_age,21
2024,XI,demographic_education,8
2024,XI,demographic_employment,14
2024,XI,demographic_income_gse,1
2024,XI,demographic_sex_gender,1
2024,XI,devices,89
2024,XI,digital_government,21
2024,XI,digital_skills,3
2024,XI,disability,7
2024,XI,education_learning,35
2024,XI,fixed_mobile_mode,81
2024,XI,geography_commune,1
2024,XI,geography_region,1
2024,XI,geography_urban_rural,24
2024,XI,household_access,127
2024,XI,indigenous,10
2024,XI,internet_use_frequency,124
2024,XI,quality_satisfaction,24
2024,XI,security_privacy,20
2024,XI,social_communication,18
2024,XI,work_telework,9
2025,XII,banking_payments,26
2025,XII,barriers_non_access,118
2025,XII,demographic_age,23
2025,XII,demographic_education,10
2025,XII,demographic_employment,25
2025,XII,demographic_income_gse,1
2025,XII,demographic_sex_gender,1
2025,XII,devices,97
2025,XII,digital_government,78
2025,XII,digital_skills,5
2025,XII,disability,13
2025,XII,education_learning,46
2025,XII,fixed_mobile_mode,95
2025,XII,geography_commune,1
2025,XII,geography_region,1
2025,XII,geography_urban_rural,25
2025,XII,household_access,245
2025,XII,indigenous,26
2025,XII,internet_use_frequency,140
2025,XII,quality_satisfaction,39
2025,XII,security_privacy,37
2025,XII,social_communication,19
2025,XII,work_telework,20
