dataset_id,reference_year,survey_wave,variable,variable_label,n_unweighted,mean,p25,median,p75,min,max,weighted_mean,weight_variable
2025_XII_bbddsubtel2025_031225,2025,XII,REGISTRO,Número de registro,5000,3151.5166,1571.75,3140.0,4724.25,1.0,6347.0,,
2025_XII_bbddsubtel2025_031225,2025,XII,COMUNA_DEF,,5000,8533.2282,5501.0,8103.0,12101.0,1101.0,16302.0,,
2025_XII_bbddsubtel2025_031225,2025,XII,P11, P11. ¿Y cuánto pagó el último mes por este servicio?,3280,495942.267683,20000.0,28990.0,39990.0,1500.0,9999999.0,,
2025_XII_bbddsubtel2025_031225,2025,XII,Q1_1,Q1_1.- ¿Cuál es su edad?,5000,47.6106,33.0,47.5,62.0,16.0,97.0,,
2025_XII_bbddsubtel2025_031225,2025,XII,Q7_4,Q7_4.- ¿Y cuánto pagó el último mes por..?,4696,311818.692717,9999.0,12000.0,18000.0,1500.0,9999999.0,,
2025_XII_bbddsubtel2025_031225,2025,XII,Q42,Q42. ¿Cuánto es lo máximo que estaría dispuesto a pagar por un servicio de conexión a Internet Fijo en el hogar?,5000,1543376.4262,15000.0,24000.0,37000.0,2000.0,9999999.0,,
2025_XII_bbddsubtel2025_031225,2025,XII,Q42_1,Q42.1. ¿Cuánto es lo máximo que estaría dispuesto a pagar por un servicio de conexión a Internet Móvil en el hogar?,5000,841291.3462,10000.0,15000.0,20000.0,1500.0,9999999.0,,
2025_XII_bbddsubtel2025_031225,2025,XII,A12_1,A12.- ¿a cuál de los siguientes tramos corresponde el promedio total de los ingresos familiares?,5000,183.5522,23.0,34.0,52.0,11.0,999.0,,
2025_XII_bbddsubtel2025_031225,2025,XII,POND_HOGAR,Ponderador Hogar,5000,1.0,0.44128,0.59157,0.90581,0.17181,4.94027,,
2025_XII_bbddsubtel2025_031225,2025,XII,FE_HOGAR,Factor de Expansión Hogar,5000,1130.3274,498.78653,668.67233,1023.864,194.2,5584.12042,,
2025_XII_bbddsubtel2025_031225,2025,XII,POND_PERSONAS,PONDORADOR PERSONAS,5000,1.0,0.42046,0.60328,0.8901,0.14675,8.00871,,
2025_XII_bbddsubtel2025_031225,2025,XII,FE_PERSONAS,Factor de Expansión persnas,5000,2762.1522,1161.37395,1666.35189,2458.59327,405.35516,22121.27096,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,REGISTRO,Número de registro,4700,3099.684468,1657.5,3155.5,4590.25,3.0,6024.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,COMUNA_DEF,Comuna,4700,8568.360426,5801.0,8103.0,12101.0,1101.0,16303.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,P11,P11.- ¿Y cuánto pagó el último mes por (P10)?,2770,68948.948375,17000.0,26000.0,35000.0,0.0,99999999.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,Q1_1,Q1.1.- ¿Cuál es su edad?,4700,54.622966,33.0,47.0,60.0,0.4,15900.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,Q7_4,Q7.4.- ¿Y cuánto pagó el último mes por ....?,4376,61561.015539,9000.0,12000.0,18000.0,0.0,99999999.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,Q42,Q42.- ¿Cuánto es lo máximo que estaría dispuesto a pagar por un servicio de conexión a Internet Fijo en el hogar?,4700,19666.490851,10000.0,20000.0,27000.0,0.0,400000.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,Q42_1,Q42.1.- ¿Cuánto es lo máximo que estaría dispuesto a pagar por un servicio de conexión a Internet Móvil en el hogar?,4700,14858.551277,10000.0,12000.0,18250.0,0.0,500000.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,A12_1,A12.1.- ¿A cuál de los siguientes tramos corresponde el promedio total de los ingresos familiares?,4700,160.362766,23.0,33.0,45.0,11.0,999.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,EDAD_ENTREVISTADO,,4700,47.028511,33.0,47.0,60.0,16.0,96.0,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,PON_PER_SIN_GSE,Ponderador de Personas,4700,1.0,0.42018,0.59657,0.92679,0.17318,9.29347,,
2024_XI_bbdd_subtel2024_03022025,2024,XI,PON_PER_SIN_GSE_FE,Factor de Expansión Personas,4700,2938.459787,1234.68055,1753.00558,2723.34029,508.88723,27308.49479,,
2023_X_source_2023_x,2023,X,REGISTRO,Número de registro (Variable del sistema),4710,3362.655414,1675.25,3423.5,4993.75,1.0,6609.0,,
2023_X_source_2023_x,2023,X,COMUNA_DEF,Comuna,4710,8076.263907,5801.0,8102.0,10301.0,1101.0,15101.0,,
2023_X_source_2023_x,2023,X,A2_EDAD_1,A2.- Edad Miembro 1,4710,53.441614,40.0,54.0,66.0,0.0,100.0,,
2023_X_source_2023_x,2023,X,A2_EDAD_2,A2.- Edad Miembro 2,4058,44.374322,30.0,45.0,58.0,0.0,96.0,,
2023_X_source_2023_x,2023,X,A2_EDAD_3,A2.- Edad Miembro 3,2760,27.238043,16.0,24.0,36.0,0.0,98.0,,
