reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025,XII,banking_payments,2,Q8_17,"17.- Realizar transacciones bancarias, compras y pagos en línea [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,banking_payments,2,Q21_30,"26. realizar pagos en línea a organismos del estado (impuestos, compra de certificados, etc.). [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,banking_payments,2,P6_1_8,"8.- Permite realizar trámites personales como revisar cuentas bancarias, realizar transferencias, solicitar certificados y pagar cuentas [P6_1.- Por cuál o cuáles razones tiene el servicio de Internet Móvil en su hogar? ]",4343,2,13.14,False
2025,XII,banking_payments,2,P6_1_10,10.- Facilita la realización de compras en línea y acceso a plataformas de comercio electrónico. [P6_1.- Por cuál o cuáles razones tiene el servicio de Internet Móvil en su hogar? ],4343,2,13.14,False
2025,XII,banking_payments,2,P6_8,"8.- Permite realizar trámites personales como revisar cuentas bancarias, realizar transferencias, solicitar certificados y pagar cuentas [P6.-¿Por cuál o cuáles razones tiene el servicio de Internet Fijo en su hogar?]",3355,2,32.9,False
2025,XII,banking_payments,2,P6_10,10.- Facilita la realización de compras en línea y acceso a plataformas de comercio electrónico. [P6.-¿Por cuál o cuáles razones tiene el servicio de Internet Fijo en su hogar?],3355,2,32.9,False
2025,XII,banking_payments,1,Q21_33,"NET COMERCIO ELECTRÓNICO (E-COMMERCE) Y EMPRENDIMIENTO [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,banking_payments,1,Q21_34,"29. realizar transacciones bancarias [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,barriers_non_access,3,P13_7,"7.- Costo del equipo o terminal (computador, notebook, Tablet, Smartphone, Smart TV etc.) para conectarse es muy elevado [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha f",1645,2,67.1,False
2025,XII,barriers_non_access,3,P13_8,"8.- Costo del servicio de internet fijo (por cable/fibra o WiFi) es muy elevado [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDE",1645,2,67.1,False
2025,XII,barriers_non_access,3,Q34_12,NET COSTO DE SERVICIO [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025,XII,barriers_non_access,3,Q34_13,"10.- Los equipos para conectarse a Internet son muy caros (computador, notebook, tablet, smartphone) [Q34. Señale las razones por las que no ha utilizado Internet…]",269,2,94.62,False
2025,XII,barriers_non_access,3,Q34_15,NET COBERTURA [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025,XII,barriers_non_access,3,Q34_21,No sabe usarlos [Q34. Señale las razones por las que no ha utilizado Internet…],269,1,94.62,False
2025,XII,barriers_non_access,2,Q34_OTRA,Q34.- Señale las razones por las que no ha utilizado Internet en los últimos 12 meses o nunca.  - OTRO.,5000,31,0.0,False
2025,XII,barriers_non_access,2,P13_1,"1.- No saben / no les han informado qué beneficios ofrece internet al hogar [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿",1645,2,67.1,False
2025,XII,demographic_age,2,P8_3_3,"3.- Intentos de engaños estafas o robo de información personal [P8.- En relación al uso de Internet por parte de estos menores de edad, ¿ha detectado alguna de estas situaciones?]",1452,2,70.96,False
2025,XII,demographic_age,1,P7_1,"1.- Se acuerdan reglas sobre el uso de Internet (horarios, tiempo y condiciones) [P7.- ¿Cuáles de estas medidas de protección o restricción del uso de internet para menores de edad tienen en su hogar? ]",1452,2,70.96,False
2025,XII,demographic_age,1,P7_2,2.- Instalación de filtros de Internet (software de control parental) [P7.- ¿Cuáles de estas medidas de protección o restricción del uso de internet para menores de edad tienen en su hogar? ],1452,2,70.96,False
2025,XII,demographic_age,1,P7_3,"3.- Supervisión y/o monitoreo de uso de Internet (en presencia de adulto, verificar historial de navegación, etc.) [P7.- ¿Cuáles de estas medidas de protección o restricción del uso de internet para menores de edad tienen en su hogar? ]",1452,2,70.96,False
2025,XII,demographic_age,1,P7_4,"4.- Permitir acceso a Internet sólo desde lugares comunes / públicas de la casa (living, comedor, etc.) [P7.- ¿Cuáles de estas medidas de protección o restricción del uso de internet para menores de edad tienen en su hogar? ]",1452,2,70.96,False
2025,XII,demographic_age,1,P7_6,6.- Filtro de contenido para limitar el acceso a sitios web inapropiados. [P7.- ¿Cuáles de estas medidas de protección o restricción del uso de internet para menores de edad tienen en su hogar? ],1452,2,70.96,False
2025,XII,demographic_age,1,P7_7,7.- Restricción o bloqueo de ciertas aplicaciones o plataformas en línea. [P7.- ¿Cuáles de estas medidas de protección o restricción del uso de internet para menores de edad tienen en su hogar? ],1452,2,70.96,False
2025,XII,demographic_age,1,P7_8,8.- Restricción de acceso a redes sociales y mensajería instantánea. [P7.- ¿Cuáles de estas medidas de protección o restricción del uso de internet para menores de edad tienen en su hogar? ],1452,2,70.96,False
2025,XII,demographic_education,1,Q6_3,"Era parte central de mi aprendizaje en el colegio, liceo, institución de educación superior (ej: parte del currículum de enseñanza de secretariado, contabilidad, ing. Informática, etc.) [Q6.- Respecto del uso del computador, ¿cómo aprendió a hacer uso de é",5000,2,0.0,False
2025,XII,demographic_education,1,Q11_1_3,"Lugar de educación / capacitación (fuera del hogar) [Q11_1.- En el último día, ¿en qué lugares ha utilizado Internet? ]",4731,2,5.38,False
2025,XII,demographic_education,1,Q21_46,"39. realizar estudios, cursos o capacitación en línea (e-learning). [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,demographic_education,1,P6_1_1,1.- Apoyo a la educación propia o de hijos / nietos / parientes [P6_1.- Por cuál o cuáles razones tiene el servicio de Internet Móvil en su hogar? ],4343,2,13.14,False
2025,XII,demographic_education,1,P6_1_12,12.- Permite realizar trabajo o estudios desde casa [P6_1.- Por cuál o cuáles razones tiene el servicio de Internet Móvil en su hogar? ],4343,2,13.14,False
2025,XII,demographic_education,1,P6_1,1.- Apoyo a la educación propia o de hijos / nietos / parientes [P6.-¿Por cuál o cuáles razones tiene el servicio de Internet Fijo en su hogar?],3355,2,32.9,False
2025,XII,demographic_education,1,P6_12,12.- Permite realizar trabajo o estudios desde casa [P6.-¿Por cuál o cuáles razones tiene el servicio de Internet Fijo en su hogar?],3355,2,32.9,False
2025,XII,demographic_education,1,Q24_CODIF_21,"Ayuda en los estudios/estudiar [Q24. ¿En qué aspectos el acceso a Internet ha facilitado o potenciado su actividad académica, laboral o la de su empresa?]",3355,2,32.9,False
2025,XII,demographic_employment,1,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,5000,6,0.0,True
2025,XII,demographic_employment,1,A14_1,Trabaja con remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],5000,2,0.0,False
2025,XII,demographic_employment,1,A14_2,Trabaja sin remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],5000,2,0.0,False
