dataset_id,reference_year,survey_wave,variable,label,dtype,nonmissing_n,distinct_values,missing_pct,has_value_labels,value_labels_json,is_weight_candidate,selected_weight,source_url
2025_XII_bbddsubtel2025_031225,2025,XII,REGISTRO,Número de registro,float64,5000,5000,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,FECHAFIN,Fecha de fin de la entrevista,str,5000,81,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,float64,5000,16,0.0,True,"{""1.0"": ""1.- Región de Tarapacá"", ""2.0"": ""2.- Región de Antofagasta"", ""3.0"": ""3.- Región de Atacama"", ""4.0"": ""4.- Región de Coquimbo"", ""5.0"": ""5.- Región de Valparaíso"", ""6.0"": ""6.- Región del Libertador Bernardo Ohiggins"", ""7.0"": ""7.- Región del Maule"", ""8.0"": ""8.- Región del Bio-Bio"", ""9.0"": ""9.- Región de la Araucanía"", ""10.0"": ""10.- Región de los Lagos"", ""11.0"": ""11.- Región de Aysen"", ""12.0"": ""12.- Región de Magallanes"", ""13.0"": ""13.- Región Metropolitana de Santiago"", ""14.0"": ""14.- Región de los Rios"", ""15.0"": ""15.- Región de Arica y Parinacota"", ""16.0"": ""16.- Región del Ñuble""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,COMUNA_DEF,,float64,5000,90,0.0,True,"{""1101.0"": ""IQUIQUE"", ""1107.0"": ""ALTO HOSPICIO"", ""2101.0"": ""ANTOFAGASTA"", ""2201.0"": ""CALAMA"", ""3101.0"": ""COPIAPÓ"", ""3301.0"": ""VALLENAR"", ""4101.0"": ""LA SERENA"", ""4102.0"": ""COQUIMBO"", ""4301.0"": ""OVALLE"", ""5101.0"": ""VALPARAÍSO"", ""5102.0"": ""CASABLANCA"", ""5103.0"": ""CONCÓN"", ""5107.0"": ""QUINTERO"", ""5109.0"": ""VIÑA DEL MAR"", ""5301.0"": ""LOS ANDES"", ""5501.0"": ""QUILLOTA"", ""5601.0"": ""SAN ANTONIO"", ""5701.0"": ""SAN FELIPE"", ""5801.0"": ""QUILPUÉ"", ""5804.0"": ""VILLA ALEMANA"", ""6101.0"": ""RANCAGUA"", ""6105.0"": ""DOÑIHUE"", ""6108.0"": ""MACHALÍ"", ""6111.0"": ""OLIVAR"", ""6115.0"": ""RENGO"", ""6116.0"": ""REQUÍNOA"", ""6301.0"": ""SAN FERNANDO"", ""7101.0"": ""TALCA"", ""7107.0"": ""PENCAHUE"", ""7109.0"": ""SAN CLEMENTE"", ""7301.0"": ""CURICÓ"", ""7401.0"": ""LINARES"", ""8101.0"": ""CONCEPCIÓN"", ""8102.0"": ""CORONEL"", ""8103.0"": ""CHIGUAYANTE"", ""8105.0"": ""HUALQUI"", ""8107.0"": ""PENCO"", ""8108.0"": ""SAN PEDRO DE LA PAZ"", ""8110.0"": ""TALCAHUANO"", ""8111.0"": ""TOMÉ"", ""8112.0"": ""HUALPÉN"", ""9101.0"": ""TEMUCO"", ""9108.0"": ""LAUTARO"", ""9112.0"": ""PADRE LAS CASAS"", ""9120.0"": ""VILLARRICA"", ""9201.0"": ""ANGOL"", ""10101.0"": ""PUERTO MONTT"", ""10301.0"": ""OSORNO"", ""10303.0"": ""PURRANQUE"", ""10305.0"": ""RÍO NEGRO"", ""11101.0"": ""COYHAIQUE"", ""12101.0"": ""PUNTA ARENAS"", ""13101.0"": ""SANTIAGO"", ""13102.0"": ""CERRILLOS"", ""13103.0"": ""CERRO NAVIA"", ""13104.0"": ""CONCHALÍ"", ""13105.0"": ""EL BOSQUE"", ""13106.0"": ""ESTACIÓN CENTRAL"", ""13109.0"": ""LA CISTERNA"", ""13110.0"": ""LA FLORIDA"", ""13111.0"": ""LA GRANJA"", ""13112.0"": ""LA PINTANA"", ""13113.0"": ""LA REINA"", ""13114.0"": ""LAS CONDES"", ""13118.0"": ""MACUL"", ""13119.0"": ""MAIPÚ"", ""13120.0"": ""ÑUÑOA"", ""13122.0"": ""PEÑALOLÉN"", ""13123.0"": ""PROVIDENCIA"", ""13124.0"": ""PUDAHUEL"", ""13125.0"": ""QUILICURA"", ""13127.0"": ""RECOLETA"", ""13128.0"": ""RENCA"", ""13129.0"": ""SAN JOAQUÍN"", ""13131.0"": ""SAN RAMÓN"", ""13132.0"": ""VITACURA"", ""13201.0"": ""PUENTE ALTO"", ""13202.0"": ""PIRQUE"", ""13301.0"": ""COLINA"", ""13302.0"": ""LAMPA"", ""13404.0"": ""PAINE"", ""13501.0"": ""MELIPILLA"", ""13601.0"": ""TALAGANTE"", ""13604.0"": ""PADRE HURTADO"", ""13605.0"": ""PEÑAFLOR"", ""14101.0"": ""VALDIVIA"", ""15101.0"": ""ARICA"", ""16101.0"": ""CHILLÁN"", ""16301.0"": ""SAN CARLOS"", ""16303.0"": ""COIHUECO""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,ZONA,ZONA,float64,5000,2,0.0,True,"{""1.0"": ""URBANA"", ""2.0"": ""RURAL""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,float64,5000,12,0.0,True,"{""1.0"": ""Yo soy el jefe de Hogar"", ""2.0"": ""Cónyuge o Pareja"", ""3.0"": ""Hijo(a)"", ""4.0"": ""Yerno o Nuera"", ""5.0"": ""Nieto(a)"", ""6.0"": ""Padre o Madre"", ""7.0"": ""Suegro(a)"", ""8.0"": ""Hermano(a)"", ""9.0"": ""Cuñado(a)"", ""10.0"": ""Otro familiar"", ""11.0"": ""Otro no familiar"", ""12.0"": ""Servicio Doméstico""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",float64,5000,11,0.0,True,"{""1.0"": ""Sin educación formal"", ""2.0"": ""Básica incompleta"", ""3.0"": ""Básica completa"", ""4.0"": ""Media Científico-Humanista Incompleta"", ""5.0"": ""Media Técnico-Profesional Incompleta"", ""6.0"": ""Media Científico-Humanista Completa"", ""7.0"": ""Media Técnico-Profesional Completa"", ""8.0"": ""Superior Técnica Incompleta"", ""9.0"": ""Superior Técnica Completa"", ""10.0"": ""Superior Universitaria Incompleta"", ""11.0"": ""Superior Universitaria Completa""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,float64,5000,6,0.0,True,"{""1.0"": ""1.Trabajos menores ocasionales e informales (Lavado, aseo, servicio doméstico ocasional, pololo, cuidador de autos)"", ""2.0"": ""2.Oficio menor, obrero no calificado, jornalero, servicio doméstico con contrato"", ""3.0"": ""3.Obrero calificado, capataz, Junior microempresario (kiosco, taxi, comercio menor, ambulante)"", ""4.0"": ""4.Empleado administrativo medio y bajo, vendedor, secretaria, jefe sección. Técnico especializado, profesional independi"", ""5.0"": ""5.Ejecutivo medio (gerente, subgerente). Gerente general de empresa media o pequeña. Profesional independiente de carrer"", ""6.0"": ""6.Alto ejecutivo (Gerente general) de Grandes empresas. Directores de grandes empresas, Empresario, propietario de empre""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_11,Aymara [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_2,Rapa-Nui [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,1,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
