period,operator,net_variation,unit,source_id,source_publication_date,retrieved_at,source_url,note
2026Q2,Claro,70106,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
2026Q2,Mundo,5998,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
2026Q2,Wom,1602,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
2026Q2,OPS,110,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Operator label preserved exactly as published
2026Q2,GTD Móvil,47,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
2026Q2,VTR,-43,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
2026Q2,Virgin,-551,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
2026Q2,Simple,-654,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
2026Q2,Entel,-23704,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
2026Q2,Movistar,-53438,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported net variation
