period,metric,segment,value,unit,source_id,source_publication_date,retrieved_at,source_url,note
2026Q2,portations,total,753930,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Second quarter covers April-May-June 2026
2026Q2,portations,mobile,742719,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported mobile portations
2026Q2,portations,fixed,11211,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported fixed portations
2026Q2,share_of_portations,mobile,98.5,percent,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported share
2026Q2,share_of_portations,fixed,1.5,percent,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported share
2026-06-30,cumulative_portations,total,44096038,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Cumulative since system implementation through 2026-06-30
2026-06-30,cumulative_portations,mobile,42255681,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Cumulative since system implementation
2026-06-30,cumulative_portations,fixed,1840357,count,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Cumulative since system implementation
2026-06-30,cumulative_share,mobile,95.8,percent,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported cumulative share
2026-06-30,cumulative_share,fixed,4.2,percent,subtel_portability_2026q2,2026-08-06,2026-09-12,https://www.subtel.gob.cl/informe-de-portabilidad-de-subtel-mas-de-753-mil-numeros-moviles-y-fijos-cambiaron-de-compania-durante-el-segundo-trimestre-de-2026/,Source-reported cumulative share
