period,indicator,value,unit,statistic_type,universe_or_basis,source_page,source_url,notes
2026-03,fixed_internet_accesses,4859679,connections,observed,all fixed internet accesses,17,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Exact access count reported by SUBTEL
2026-03,fixed_internet_yoy_growth,2.9,percent,derived_official,all fixed internet accesses,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Interannual change reported by SUBTEL
2026-03,mobile_internet_3g4g5g_accesses,22757000,connections,published_rounded,3G+4G+5G mobile accesses,2,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Published as 22.757 thousand accesses
2026-03,mobile_internet_yoy_growth,-1.3,percent,derived_official,3G+4G+5G mobile accesses,2,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Interannual change reported by SUBTEL
2026-03,accesses_4g,12053000,connections,published_rounded,4G mobile accesses,2,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Published as 12.053 thousand accesses
2026-03,accesses_5g,10367754,connections,observed,5G mobile accesses,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Exact access count reported by SUBTEL
2026-03,accesses_5g_yoy_growth,59.0,percent,derived_official,5G mobile accesses,2,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Interannual change reported by SUBTEL
2026-03,fixed_household_penetration_national,69.7,percent,official_estimate,residential fixed connections divided by Censo 2024 households,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Estimated household coverage using Censo 2024 household counts
2026-03,fixed_household_penetration_urban,76.8,percent,official_estimate,residential fixed connections and urban Censo 2024 households,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Estimated household coverage
2026-03,fixed_household_penetration_rural,23.6,percent,official_estimate,residential fixed connections and rural Censo 2024 households,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Estimated household coverage
2026-03,fixed_connections_urban_share,95.4,percent,observed,all fixed internet connections classified by area,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Share of connections located in urban areas
2026-03,fixed_connections_rural_share,4.6,percent,observed,all fixed internet connections classified by area,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Share of connections located in rural areas
2026-03,fiber_share_fixed_connections,85.3,percent,observed,all fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Technology share within fixed internet
2026-03,hfc_share_fixed_connections,10.6,percent,observed,all fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Technology share within fixed internet
2026-03,other_wireless_share_fixed_connections,3.6,percent,observed,all fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Technology share within fixed internet
2026-03,fiber_yoy_growth,19.6,percent,derived_official,fiber fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Interannual change reported by SUBTEL
2026-03,fixed_residential_share,94.6,percent,observed,all fixed internet connections,17,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Residential share of fixed accesses
2026-03,fixed_commercial_share,5.4,percent,observed,all fixed internet connections,17,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Commercial share of fixed accesses
2026-03,fixed_traffic_12m,36.6741,exabytes,observed,traffic accumulated Apr 2025-Mar 2026,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Annual accumulated fixed data traffic
2026-03,mobile_traffic_12m,7.5091,exabytes,observed,traffic accumulated Apr 2025-Mar 2026,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Annual accumulated mobile data traffic
2026-03,fixed_traffic_per_connection,621.0,GB_per_connection,official_indicator,fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Reported by SUBTEL
2026-03,mobile_traffic_per_connection,29.2,GB_per_connection,official_indicator,mobile internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Reported by SUBTEL
2026-03,m2m_mobile_accesses,497615,connections,observed,M2M within 3G+4G+5G mobile accesses,12,https://www.subtel.gob.cl/wp-content/uploads/2026/05/Informe-del-Sector-Telecomunicaciones-Mar26-1-1.pdf,Machine-to-machine connections
