row,cell,value
3,B3,SERVICIO ACCESO A INTERNET: TOTAL DE CONEXIONES FIJAS
4,B4,TOTAL DE CONEXIONES FIJAS POR REGIÓN Y COMUNA
7,B7,<< VOLVER
8,C8,Año
8,D8,2007
8,E8,2008
8,F8,2009
8,G8,2010
8,S8,2011
8,AE8,2012
8,AQ8,2013
8,BC8,2014
8,BO8,2015
8,CA8,2016
8,CM8,2017
8,CY8,2018
8,DM8,Año
8,DN8,2019
8,DZ8,2020
8,EL8,2021
8,EX8,2022
8,FJ8,2023
8,FV8,2024
8,GH8,2025
8,GT8,2026
9,B9,Región
9,C9,Comuna
9,D9,Dic
9,E9,Dic
9,F9,Dic
9,G9,Ene
9,H9,Feb
9,I9,Mar
9,J9,Abr
9,K9,May
9,L9,Jun
9,M9,Jul
9,N9,Ago
9,O9,Sep
9,P9,Oct
9,Q9,Nov
9,R9,Dic
9,S9,Ene
9,T9,Feb
9,U9,Mar
9,V9,Abr
9,W9,May
9,X9,Jun
9,Y9,Jul
9,Z9,Ago
9,AA9,Sep
9,AB9,Oct
9,AC9,Nov
9,AD9,Dic
9,AE9,Ene
9,AF9,Feb
9,AG9,Mar
9,AH9,Abr
9,AI9,May
9,AJ9,Jun
9,AK9,Jul
9,AL9,Ago
9,AM9,Sep
9,AN9,Oct
9,AO9,Nov
9,AP9,Dic
9,AQ9,Ene
9,AR9,Feb
9,AS9,Mar
9,AT9,Abr
9,AU9,May
9,AV9,Jun
9,AW9,Jul
9,AX9,Ago
9,AY9,Sep
9,AZ9,Oct
9,BA9,Nov
9,BB9,Dic
9,BC9,Ene
9,BD9,Feb
9,BE9,Mar
9,BF9,Abr
9,BG9,May
9,BH9,Jun
9,BI9,Jul
9,BJ9,Ago
9,BK9,Sep
9,BL9,Oct
9,BM9,Nov
9,BN9,Dic
9,BO9,Ene
9,BP9,Feb
9,BQ9,Mar
9,BR9,Abr
9,BS9,May
9,BT9,Jun
9,BU9,Jul
9,BV9,Ago
9,BW9,Sep
9,BX9,Oct
9,BY9,Nov
9,BZ9,Dic
9,CA9,Ene
9,CB9,Feb
9,CC9,Mar
9,CD9,Abr
9,CE9,May
9,CF9,Jun
9,CG9,Jul
9,CH9,Ago
9,CI9,Sep
9,CJ9,Oct
9,CK9,Nov
9,CL9,Dic
9,CM9,Ene
9,CN9,Feb
9,CO9,Mar
9,CP9,Abr
9,CQ9,May
9,CR9,Jun
9,CS9,Jul
9,CT9,Ago
9,CU9,Sep
9,CV9,Oct
9,CW9,Nov
9,CX9,Dic
9,CY9,Ene
9,CZ9,Feb
9,DA9,Mar
9,DB9,Abr
9,DC9,May
9,DD9,Jun
9,DE9,Jul
9,DF9,Ago
9,DG9,Sep
9,DH9,Oct
9,DI9,Nov
9,DJ9,Dic
9,DL9,Región
9,DM9,Comuna
9,DN9,Ene
9,DO9,Feb
9,DP9,Mar
9,DQ9,Abr
9,DR9,May
9,DS9,Jun
9,DT9,Jul
9,DU9,Ago
9,DV9,Sep
9,DW9,Oct
9,DX9,Nov
9,DY9,Dic
9,DZ9,Ene
9,EA9,Feb
9,EB9,Mar
9,EC9,Abr
9,ED9,May
9,EE9,Jun
9,EF9,Jul
9,EG9,Ago
9,EH9,Sep
9,EI9,Oct
9,EJ9,Nov
9,EK9,Dic
9,EL9,Ene
9,EM9,Feb
9,EN9,Mar
9,EO9,Abr
9,EP9,May
9,EQ9,Jun
9,ER9,Jul
9,ES9,Ago
9,ET9,Sep
9,EU9,Oct
9,EV9,Nov
9,EW9,Dic
9,EX9,Ene
9,EY9,Feb
9,EZ9,Mar
9,FA9,Abr
9,FB9,May
9,FC9,Jun
9,FD9,Jul
9,FE9,Ago
9,FF9,Sep
9,FG9,Oct
9,FH9,Nov
9,FI9,Dic
9,FJ9,Ene
9,FK9,Feb
9,FL9,Mar
9,FM9,Abr
9,FN9,May
9,FO9,Jun
9,FP9,Jul
9,FQ9,Ago
9,FR9,Sep
9,FS9,Oct
9,FT9,Nov
9,FU9,Dic
9,FV9,Ene
9,FW9,Feb
9,FX9,Mar
9,FY9,Abr
9,FZ9,May
9,GA9,Jun
9,GB9,Jul
9,GC9,Ago
9,GD9,Sep
9,GE9,Oct
9,GF9,Nov
9,GG9,Dic
9,GH9,Ene
9,GI9,Feb
9,GJ9,Mar
9,GK9,Abr
9,GL9,May
9,GM9,Jun
9,GN9,Jul
9,GO9,Ago
9,GP9,Sep
9,GQ9,Oct
9,GR9,Nov
9,GS9,Dic
9,GT9,Ene
9,GU9,Feb
9,GV9,Mar
10,B10,1
10,C10,Alto Hospicio
10,D10,2863
10,E10,3242
10,F10,4571
10,G10,4593
10,H10,4602
10,I10,4623
10,J10,4657
10,K10,4756
10,L10,4776
10,M10,4774
10,N10,4787
10,O10,4812
10,P10,4795
10,Q10,4829
10,R10,4869
10,S10,4882
10,T10,4854
10,U10,4932
10,V10,5012
10,W10,5126
10,X10,5094
10,Y10,5163
10,Z10,5192
