source_id,sheet_name,row_number,sample_cells
fixed_connections,ÍNDICE,1,J1= | K1=
fixed_connections,ÍNDICE,2,B2=ESTADÍSTICAS SERVICIO DE ACCESO A INTERNET FIJA | C2= | D2= | E2= | F2= | J2= | K2=
fixed_connections,ÍNDICE,3,B3= | C3= | D3= | E3= | F3= | J3= | K3=
fixed_connections,ÍNDICE,4,B4= | C4= | D4= | E4= | F4= | J4= | K4=
fixed_connections,ÍNDICE,5,C5=INDICE | J5= | K5=
fixed_connections,ÍNDICE,6,B6= | C6= | J6= | K6=
fixed_connections,ÍNDICE,7,B7= | I7= | J7= | K7=
fixed_connections,ÍNDICE,8,B8=> | C8=7.1. NÚMERO DE CONEXIONES TOTALES FIJAS | I8= | J8= | K8=
fixed_connections,ÍNDICE,9,B9=> | C9=7.2. NÚMERO DE CONEXIONES POR TIPO DE ÁREA | I9= | J9= | K9=
fixed_connections,ÍNDICE,10,B10=> | C10=7.3. NÚMERO DE CONEXIONES POR TIPO DE CLIENTE | I10= | J10= | K10=
fixed_connections,ÍNDICE,11,B11=> | C11=7.4. NÚMERO DE CONEXIONES A NIVEL REGIONAL  | I11= | J11= | K11=
fixed_connections,ÍNDICE,12,B12=> | C12=7.7. CONEXIONES FIJAS POR TIPO DE TECNOLOGÍA | I12= | J12= | K12=
fixed_connections,ÍNDICE,13,"B13=> | C13=7.7.1. CONEXIONES FIJAS POR TECNOLOGÍA, REGIÓN Y EMPRESA | I13= | J13= | K13="
fixed_connections,ÍNDICE,14,B14=> | C14=7.8. CONEXIONES FIJAS POR TIPO DE PLAN | I14= | J14= | K14=
fixed_connections,ÍNDICE,15,B15=> | C15=7.9. CONEXIONES POR EMPRESAS FIJAS | I15= | J15= | K15=
fixed_connections,ÍNDICE,16,B16=> | C16=7.10. CONEXIONES POR ANCHO DE BANDA | I16= | J16= | K16=
fixed_connections,ÍNDICE,17,B17=> | C17=7.11. CONEXIONES FIJAS POR REGIÓN Y COMUNA | I17= | J17= | K17=
fixed_connections,ÍNDICE,18,B18=> | C18=7.12. CONEXIONES FIJAS POR TIPO DE CLIENTE (DEFINICIÓN OECD) | I18= | J18= | K18=
fixed_connections,ÍNDICE,19,B19=> | C19=7.13. CONEXIONES FIJAS POR TECNOLOGÍA (DEFINICIÓN OECD) | I19= | J19= | K19=
fixed_connections,ÍNDICE,20,B20=> | C20=7.14. CONEXIONES FIJAS POR TIPO DE SERVICIO | J20= | K20=
fixed_connections,ÍNDICE,21,B21=> | C21=7.15. CONEXIONES FIJAS POR TIPO DE CLIENTE Y TECNOLOGÍA | J21= | K21=
fixed_connections,ÍNDICE,22,B22= | C22= | J22= | K22=
fixed_connections,ÍNDICE,23,J23= | K23=
fixed_connections,ÍNDICE,24,I24= | J24= | K24=
fixed_connections,ÍNDICE,25,I25= | J25= | K25=
fixed_connections,7.1.CO_TOT_FIJAS,1,A1= | B1= | C1= | D1= | E1= | F1= | G1= | H1= | I1= | J1= | K1= | L1=
fixed_connections,7.1.CO_TOT_FIJAS,2,B2= | C2=SERVICIO ACCESO A INTERNET:  | D2= | E2= | L2=
fixed_connections,7.1.CO_TOT_FIJAS,3,B3= | C3=NÚMERO DE CONEXIONES TOTALES FIJAS | D3= | E3= | L3=
fixed_connections,7.1.CO_TOT_FIJAS,4,B4= | C4= | E4= | K4= | L4=
fixed_connections,7.1.CO_TOT_FIJAS,5,B5= | C5= | E5= | L5=
fixed_connections,7.1.CO_TOT_FIJAS,6,B6= | C6=<< VOLVER | E6= | L6=
fixed_connections,7.1.CO_TOT_FIJAS,7,A7= | B7= | C7=SERVICIO ACCESO A INTERNET: NÚMERO DE CONEXIONES TOTALES FIJAS | D7= | E7= | F7= | G7= | H7= | K7= | L7=
fixed_connections,7.1.CO_TOT_FIJAS,8,A8= | B8= | C8=Año | D8=Mes | E8=Total de Conexiones | F8=Crecimiento Anual | G8=Penetración cada 100 hab. | H8=Crecimiento Anual P.B. | K8= | L8=
fixed_connections,7.1.CO_TOT_FIJAS,9,A9= | B9= | C9=2000 | D9=Dic | E9=585489 | F9= | G9=3.788110776403903 | H9= | K9= | L9=
