period,year,operator,operator_source_label,connections,connection_share_pct,traffic_tb,traffic_share_pct
2010-06,2010,Movistar,Telefónica,765080,43.732402,,
2010-06,2010,Grupo Claro-VTR,Grupo Claro-VTR,790659,45.194512,,
2010-06,2010,GTD,Grupo GTD,135046,7.719305,,
2010-06,2010,Entel,Grupo ENTEL,21710,1.240956,,
2010-06,2010,Mundo,Mundo,9287,0.53085,,
2010-06,2010,Otros,Otros,27676,1.581976,,
2011-06,2011,Movistar,Telefónica,811828,42.002495,,
2011-06,2011,Grupo Claro-VTR,Grupo Claro-VTR,910182,47.091151,,
2011-06,2011,GTD,Grupo GTD,148280,7.671736,,
2011-06,2011,Entel,Grupo ENTEL,21065,1.089865,,
2011-06,2011,Mundo,Mundo,14321,0.740942,,
2011-06,2011,Otros,Otros,27133,1.403812,,
2012-06,2012,Movistar,Telefónica,872892,41.61692,,
2012-06,2012,Grupo Claro-VTR,Grupo Claro-VTR,992586,47.323577,,
2012-06,2012,GTD,Grupo GTD,163289,7.785139,,
2012-06,2012,Entel,Grupo ENTEL,20133,0.959882,,
2012-06,2012,Mundo,Mundo,19146,0.912825,,
2012-06,2012,Otros,Otros,29399,1.401658,,
2013-06,2013,Movistar,Telefónica,880848,38.967937,,
2013-06,2013,Grupo Claro-VTR,Grupo Claro-VTR,1111084,49.153374,,
2013-06,2013,GTD,Grupo GTD,181262,8.018871,,
2013-06,2013,Entel,Grupo ENTEL,29538,1.306735,,
2013-06,2013,Mundo,Mundo,26763,1.183971,,
2013-06,2013,Otros,Otros,30948,1.369112,,
2014-06,2014,Movistar,Telefónica,932696,38.404804,,
2014-06,2014,Grupo Claro-VTR,Grupo Claro-VTR,1191691,49.069214,,
2014-06,2014,GTD,Grupo GTD,206351,8.496734,,
2014-06,2014,Entel,Grupo ENTEL,30673,1.262995,,
2014-06,2014,Mundo,Mundo,36025,1.48337,,
2014-06,2014,Otros,Otros,31156,1.282883,,
2015-06,2015,Movistar,Telefónica,992907,37.97178,,
2015-06,2015,Grupo Claro-VTR,Grupo Claro-VTR,1284621,49.12781,,
2015-06,2015,GTD,Grupo GTD,223240,8.537376,,
2015-06,2015,Entel,Grupo ENTEL,31549,1.20653,,
2015-06,2015,Mundo,Mundo,48888,1.869626,,
2015-06,2015,Otros,Otros,33650,1.286878,,
2016-06,2016,Movistar,Telefónica,1030385,36.402379,,
2016-06,2016,Grupo Claro-VTR,Grupo Claro-VTR,1410688,49.83807,,
2016-06,2016,GTD,Grupo GTD,248879,8.792624,,
2016-06,2016,Entel,Grupo ENTEL,36534,1.290706,,
2016-06,2016,Mundo,Mundo,70613,2.49468,,
2016-06,2016,Otros,Otros,33444,1.18154,,
2017-06,2017,Movistar,Telefónica,1037560,34.424068,,
2017-06,2017,Grupo Claro-VTR,Grupo Claro-VTR,1555739,51.616162,,
2017-06,2017,GTD,Grupo GTD,258165,8.565374,,
2017-06,2017,Entel,Grupo ENTEL,35394,1.174299,,
2017-06,2017,Mundo,Mundo,98888,3.280897,,
2017-06,2017,Otros,Otros,28308,0.9392,,
2018-06,2018,Movistar,Telefónica,1015000,32.164622,,
2018-06,2018,Grupo Claro-VTR,Grupo Claro-VTR,1671602,52.971868,,
2018-06,2018,GTD,Grupo GTD,262362,8.314064,,
2018-06,2018,Entel,Grupo ENTEL,48442,1.535092,,
2018-06,2018,Mundo,Mundo,135586,4.296623,,
2018-06,2018,Otros,Otros,22649,0.717731,,
2019-06,2019,Movistar,Telefónica,996198,29.298269,212800.614342,27.158071
2019-06,2019,Grupo Claro-VTR,Grupo Claro-VTR,1757042,51.674757,384738.811464,49.101193
