period,year,operator,operator_source_label,connections,connection_share_pct,traffic_tb,traffic_share_pct
2010-06,2010,Movistar,Movistar,394412,37.434096,,
2010-06,2010,Grupo Claro-VTR,Grupo Claro-VTR,212768,20.194055,,
2010-06,2010,Entel,Entel PCS,446437,42.371849,,
2011-06,2011,Movistar,Movistar,988883,44.123161,,
2011-06,2011,Grupo Claro-VTR,Grupo Claro-VTR,316465,14.120413,,
2011-06,2011,Entel,Entel PCS,935840,41.756426,,
2012-06,2012,Movistar,Movistar,1546225,39.183207,,
2012-06,2012,Grupo Claro-VTR,Grupo Claro-VTR,686633,17.400109,,
2012-06,2012,Entel,Entel PCS,1683619,42.664937,,
2012-06,2012,Virgin,Virgin,12356,0.313116,,
2012-06,2012,GTD Móvil,GTD Móvil,542,0.013735,,
2012-06,2012,WOM,WOM,16767,0.424896,,
2013-06,2013,Movistar,Movistar,2188373,40.170844,,
2013-06,2013,Grupo Claro-VTR,Grupo Claro-VTR,984929,18.079838,,
2013-06,2013,Entel,Entel PCS,2099301,38.535795,,
2013-06,2013,Virgin,Virgin,50470,0.926452,,
2013-06,2013,GTD Móvil,GTD Móvil,2029,0.037245,,
2013-06,2013,WOM,WOM,122563,2.249826,,
2014-06,2014,Movistar,Movistar,3072170,39.276468,,
2014-06,2014,Grupo Claro-VTR,Grupo Claro-VTR,1692396,21.636608,,
2014-06,2014,Entel,Entel PCS,2760554,35.292582,,
2014-06,2014,Virgin,Virgin,84105,1.075249,,
2014-06,2014,GTD Móvil,GTD Móvil,4883,0.062427,,
2014-06,2014,WOM,WOM,157482,2.013345,,
2014-06,2014,Netline,Netline,1328,0.016978,,
2014-06,2014,Falabella,Falabella,34185,0.437042,,
2014-06,2014,Telestar,Telestar,420,0.00537,,
2014-06,2014,Entelphone,Entelphone,14387,0.183932,,
2015-06,2015,Movistar,Movistar,3535953,36.815717,,
2015-06,2015,Grupo Claro-VTR,Grupo Claro-VTR,2586562,26.930826,,
2015-06,2015,Entel,Entel PCS,3125514,32.542299,,
2015-06,2015,Virgin,Virgin,132759,1.382263,,
2015-06,2015,GTD Móvil,GTD Móvil,7191,0.074871,,
2015-06,2015,WOM,WOM,146658,1.526977,,
2015-06,2015,Netline,Netline,1881,0.019585,,
2015-06,2015,Falabella,Falabella,44334,0.461598,,
2015-06,2015,Telestar,Telestar,373,0.003884,,
2015-06,2015,Entelphone,Entelphone,23241,0.241981,,
2016-06,2016,Movistar,Movistar,3335863,29.305791,,
2016-06,2016,Grupo Claro-VTR,Grupo Claro-VTR,3000196,26.356933,,
2016-06,2016,Entel,Entel PCS,3856286,33.877744,,
2016-06,2016,Virgin,Virgin,181953,1.59847,,
2016-06,2016,GTD Móvil,GTD Móvil,7930,0.069666,,
2016-06,2016,WOM,WOM,903961,7.941361,,
2016-06,2016,Netline,Netline,1229,0.010797,,
2016-06,2016,Falabella,Falabella,49942,0.438744,,
2016-06,2016,Simple,Simple,14201,0.124757,,
2016-06,2016,Entelphone,Entelphone,31387,0.275737,,
2017-06,2017,Movistar,Movistar,4149713,29.49946,16991.328059,31.973966
2017-06,2017,Grupo Claro-VTR,Grupo Claro-VTR,3240005,23.032532,10355.59474,19.486966
2017-06,2017,Entel,Entel PCS,4471477,31.786815,12169.698377,22.900713
2017-06,2017,Virgin,Virgin,153340,1.090063,,
2017-06,2017,GTD Móvil,GTD Móvil,8579,0.060986,,
2017-06,2017,WOM,WOM,1906912,13.555847,13623.256441,25.635992
2017-06,2017,Netline,Netline,1684,0.011971,1.255543,0.002363
2017-06,2017,Falabella,Falabella,49758,0.353719,,
