period,year,fixed_connections_total,fixed_penetration_per_100_people,mobile_4g_connections,mobile_5g_connections,mobile_4g_minus_5g_gap,mobile_5g_to_4g_ratio_pct,mobile_prepaid_connections_3g_4g_5g,mobile_contract_connections_3g_4g_5g,mobile_prepaid_share_pct,mobile_contract_share_pct,mobile_traffic_tb,fixed_traffic_tb,mobile_prepaid_gb_per_connection,mobile_postpaid_gb_per_connection,starlink_connections,hughesnet_connections,starlink_share_of_two_named_satellite_providers_pct,starlink_share_total_fixed_pct,satellite_scope_note
2010-06,2010,1749458,,,,,,,,,,,,,,,,,,
2011-06,2011,1932809,,,,,,,,,,,,,,,,,,
2012-06,2012,2097445,,,,,,,,,,,,,,,,,,
2013-06,2013,2260443,,,,,,,,,,,,,,,,,,
2014-06,2014,2428592,,184382,,,,3155913,4665997,40.347089,59.652911,,,,,,,,,
2015-06,2015,2614855,,1102739,,,,4263707,5340759,44.392963,55.607037,,,,,,,,,
2016-06,2016,2830543,,4033779,,,,4758616,6624332,41.804777,58.195223,,,,,,,,,
2017-06,2017,3014054,,8328826,,,,5766817,8300264,40.995122,59.004878,53141.13316,,1.2266,5.5501,,,,,
2018-06,2018,3155641,,13068827,,,,6921425,10486501,39.760193,60.239807,105671.64323,,1.8611,8.8485,,,,,
2019-06,2019,3400194,,15883966,,,,6754284,11869529,36.266923,63.733077,177218.223408,783563.05984,2.7052,13.3912,,,,,
2020-06,2020,3588261,,16816618,,,,6301992,12821346,32.954456,67.045544,240292.196833,1324946.546082,7.8414,14.8874,0,1209,0.0,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-06,2021,4089600,,19894763,,,,6082808,15639584,28.002478,71.997522,315837.081666,1761957.209177,4.9739,18.2602,0,13800,0.0,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2022-06,2022,4422625,,20357285,843046,19514239,4.1412,5265679,17217619,23.420403,76.579597,407307.007835,2128659.745269,6.01,21.8184,3885,15336,20.212268,0.087844,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2023-06,2023,4459842,,18418975,2802240,15616735,15.2139,4704838,17562061,21.129292,78.870708,492468.853983,2553172.565339,13.2291,24.4976,28671,10274,73.619207,0.64287,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2024-06,2024,4610840,,16931422,4834565,12096857,28.5538,4774247,17867811,21.085747,78.914253,539498.390389,2904419.919388,7.2969,28.2442,57655,7450,88.556946,1.250423,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2025-06,2025,4744176,,13751799,8206923,5544876,59.6789,4392515,18287923,19.366976,80.633024,604945.806259,2915698.398943,8.2378,31.1004,101468,5507,94.852068,2.138791,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2026-06,2026,4900369,,11446039,10818497,627542,94.5174,3961979,18628644,17.538157,82.461843,696164.208213,3427290.448281,8.9268,35.4721,169445,4146,97.611627,3.457801,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
