dataset,sheet,row,values
fixed_connections,7.1.CO_TOT_FIJAS,2, ||  || SERVICIO ACCESO A INTERNET: ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,3, ||  || NÚMERO DE CONEXIONES TOTALES FIJAS ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,6, ||  || << VOLVER ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,7, ||  || SERVICIO ACCESO A INTERNET: NÚMERO DE CONEXIONES TOTALES FIJAS ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,8, ||  || Año || Mes || Total de Conexiones || Crecimiento Anual || Penetración cada 100 hab. || Crecimiento Anual P.B. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,9, ||  || 2000 || Dic || 585489 ||  || 3.788110776403903 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,10, ||  || 2001 || Dic || 698127 || 0.192382777473189 || 4.466250596164778 || 0.6781398197608746 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,11, ||  || 2002 || Dic || 757760 || 0.08541855564961676 || 4.795742057479414 || 0.32949146131463625 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,12, ||  || 2003 || Dic || 836007 || 0.1032609269425675 || 5.236985385926259 || 0.4412433284468449 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,13, ||  || 2004 || Dic || 805315 || -0.03671261125803971 || 4.99584390502577 || -0.24114148090048904 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,14, ||  || 2005 || Dic || 906079 || 0.12512370935596628 || 5.566621613319408 || 0.5707777082936385 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,15, ||  || 2006 || Dic || 1087738 || 0.2004891405716278 || 6.617826134967421 || 1.051204521648013 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,16, ||  || 2007 || Dic || 1331919 || 0.22448512417512312 || 8.024943184827308 || 1.4071170498598864 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,17, ||  || 2008 || Dic || 1439009 || 0.08040278725658245 || 8.582281046296972 || 0.557337861469664 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,18, ||  || 2009 || Dic || 1695034 || 0.17791758077955033 || 10.003888749309406 || 1.4216077030124339 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,19, ||  || 2010 || Dic || 1819564 || 0.07346755286324647 || 10.630151702073203 || 0.6262629527637973 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,20, ||  || 2011 || Dic || 2025042 || 0.11292705285442017 || 11.710807794906717 || 1.0806560928335145 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.1.CO_TOT_FIJAS,21, ||  || 2012 || Dic || 2186173 || 0.07956921387309501 || 12.514524945067244 || 0.8037171501605265 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
