period,year,month,operator,operator_source_label,connections,total_market,share_pct,source_sheet,source_row
2007-12,2007,12,Movistar,Telefónica,617462,1331919,46.358825,7.9.CO_EMPR_FIJAS,8
2007-12,2007,12,Grupo Claro-VTR,Grupo Claro-VTR,534595,1331919,40.137201,7.9.CO_EMPR_FIJAS,8
2007-12,2007,12,GTD,Grupo GTD,94544,1331919,7.09833,7.9.CO_EMPR_FIJAS,8
2007-12,2007,12,Entel,Grupo ENTEL,41899,1331919,3.145762,7.9.CO_EMPR_FIJAS,8
2007-12,2007,12,Otros,Otros,43419,1331919,3.259883,7.9.CO_EMPR_FIJAS,8
2008-12,2008,12,Movistar,Telefónica,662113,1439009,46.011734,7.9.CO_EMPR_FIJAS,9
2008-12,2008,12,Grupo Claro-VTR,Grupo Claro-VTR,598121,1439009,41.564785,7.9.CO_EMPR_FIJAS,9
2008-12,2008,12,GTD,Grupo GTD,111941,1439009,7.779034,7.9.CO_EMPR_FIJAS,9
2008-12,2008,12,Entel,Grupo ENTEL,32257,1439009,2.241612,7.9.CO_EMPR_FIJAS,9
2008-12,2008,12,Otros,Otros,34577,1439009,2.402834,7.9.CO_EMPR_FIJAS,9
2009-12,2009,12,Movistar,Telefónica,756342,1695034,44.621052,7.9.CO_EMPR_FIJAS,10
2009-12,2009,12,Grupo Claro-VTR,Grupo Claro-VTR,751530,1695034,44.337164,7.9.CO_EMPR_FIJAS,10
2009-12,2009,12,GTD,Grupo GTD,133458,1695034,7.87347,7.9.CO_EMPR_FIJAS,10
2009-12,2009,12,Entel,Grupo ENTEL,24739,1695034,1.459499,7.9.CO_EMPR_FIJAS,10
2009-12,2009,12,Otros,Otros,28965,1695034,1.708815,7.9.CO_EMPR_FIJAS,10
2010-01,2010,1,Movistar,Telefónica,758634,1698908,44.654213,7.9.CO_EMPR_FIJAS,11
2010-01,2010,1,Grupo Claro-VTR,Grupo Claro-VTR,757594,1698908,44.592997,7.9.CO_EMPR_FIJAS,11
2010-01,2010,1,GTD,Grupo GTD,129752,1698908,7.637376,7.9.CO_EMPR_FIJAS,11
2010-01,2010,1,Entel,Grupo ENTEL,24424,1698908,1.437629,7.9.CO_EMPR_FIJAS,11
2010-01,2010,1,Otros,Otros,28504,1698908,1.677784,7.9.CO_EMPR_FIJAS,11
2010-02,2010,2,Movistar,Telefónica,757468,1697983,44.609869,7.9.CO_EMPR_FIJAS,12
2010-02,2010,2,Grupo Claro-VTR,Grupo Claro-VTR,760764,1697983,44.803982,7.9.CO_EMPR_FIJAS,12
2010-02,2010,2,GTD,Grupo GTD,129398,1697983,7.620689,7.9.CO_EMPR_FIJAS,12
