period,year,month,postpaid_connections,prepaid_connections,total_connections,postpaid_share_pct,prepaid_share_pct,source_sheet,source_row
2009-12,2009,12,1653170,41864,1695034,97.530197,2.469803,7.8.CO_PL_FIJAS,7
2010-01,2010,1,1656548,42360,1698908,97.506634,2.493366,7.8.CO_PL_FIJAS,8
2010-02,2010,2,1654425,43558,1697983,97.434721,2.565279,7.8.CO_PL_FIJAS,9
2010-03,2010,3,1670210,38093,1708303,97.770126,2.229874,7.8.CO_PL_FIJAS,10
2010-04,2010,4,1695620,35898,1731518,97.92679,2.07321,7.8.CO_PL_FIJAS,11
2010-05,2010,5,1718439,34371,1752810,98.039092,1.960908,7.8.CO_PL_FIJAS,12
2010-06,2010,6,1716167,33291,1749458,98.097068,1.902932,7.8.CO_PL_FIJAS,13
2010-07,2010,7,1738495,31990,1770485,98.19315,1.80685,7.8.CO_PL_FIJAS,14
2010-08,2010,8,1763207,30387,1793594,98.305804,1.694196,7.8.CO_PL_FIJAS,15
2010-09,2010,9,1778503,29686,1808189,98.358247,1.641753,7.8.CO_PL_FIJAS,16
2010-10,2010,10,1775112,28550,1803662,98.417109,1.582891,7.8.CO_PL_FIJAS,17
2010-11,2010,11,1789560,27420,1816980,98.490902,1.509098,7.8.CO_PL_FIJAS,18
2010-12,2010,12,1793420,26144,1819564,98.563172,1.436828,7.8.CO_PL_FIJAS,19
2011-01,2011,1,1793966,25180,1819146,98.615834,1.384166,7.8.CO_PL_FIJAS,20
2011-02,2011,2,1799569,24087,1823656,98.679192,1.320808,7.8.CO_PL_FIJAS,21
2011-03,2011,3,1830548,24506,1855054,98.67896,1.32104,7.8.CO_PL_FIJAS,22
2011-04,2011,4,1855765,23686,1879451,98.739738,1.260262,7.8.CO_PL_FIJAS,23
2011-05,2011,5,1886710,23307,1910017,98.779749,1.220251,7.8.CO_PL_FIJAS,24
2011-06,2011,6,1909848,22961,1932809,98.81204,1.18796,7.8.CO_PL_FIJAS,25
2011-07,2011,7,1930986,22431,1953417,98.851704,1.148296,7.8.CO_PL_FIJAS,26
2011-08,2011,8,1955909,21799,1977708,98.897764,1.102236,7.8.CO_PL_FIJAS,27
2011-09,2011,9,1971820,20933,1992753,98.949544,1.050456,7.8.CO_PL_FIJAS,28
2011-10,2011,10,1985000,20472,2005472,98.979193,1.020807,7.8.CO_PL_FIJAS,29
2011-11,2011,11,2001190,20019,2021209,99.009553,0.990447,7.8.CO_PL_FIJAS,30
2011-12,2011,12,2005569,19473,2025042,99.03839,0.96161,7.8.CO_PL_FIJAS,31
2012-01,2012,1,2009219,13663,2022882,99.324578,0.675422,7.8.CO_PL_FIJAS,32
2012-02,2012,2,2015574,13682,2029256,99.325763,0.674237,7.8.CO_PL_FIJAS,33
2012-03,2012,3,2017901,13671,2031572,99.327073,0.672927,7.8.CO_PL_FIJAS,34
2012-04,2012,4,2056448,13697,2070145,99.338356,0.661644,7.8.CO_PL_FIJAS,35
2012-05,2012,5,2082194,13644,2095838,99.348995,0.651005,7.8.CO_PL_FIJAS,36
2012-06,2012,6,2083867,13578,2097445,99.352641,0.647359,7.8.CO_PL_FIJAS,37
2012-07,2012,7,2110010,13643,2123653,99.357569,0.642431,7.8.CO_PL_FIJAS,38
2012-08,2012,8,2139199,13642,2152841,99.366326,0.633674,7.8.CO_PL_FIJAS,39
2012-09,2012,9,2144604,13602,2158206,99.369754,0.630246,7.8.CO_PL_FIJAS,40
2012-10,2012,10,2164083,13201,2177284,99.393694,0.606306,7.8.CO_PL_FIJAS,41
2012-11,2012,11,2174400,13244,2187644,99.3946,0.6054,7.8.CO_PL_FIJAS,42
2012-12,2012,12,2173009,13164,2186173,99.397852,0.602148,7.8.CO_PL_FIJAS,43
2013-01,2013,1,2176976,13015,2189991,99.405705,0.594295,7.8.CO_PL_FIJAS,44
2013-02,2013,2,2181848,13094,2194942,99.403447,0.596553,7.8.CO_PL_FIJAS,45
2013-03,2013,3,2233561,2244,2235805,99.899633,0.100367,7.8.CO_PL_FIJAS,46
2013-04,2013,4,2222817,2320,2225137,99.895737,0.104263,7.8.CO_PL_FIJAS,47
2013-05,2013,5,2242295,2232,2244527,99.900558,0.099442,7.8.CO_PL_FIJAS,48
2013-06,2013,6,2258009,2434,2260443,99.892322,0.107678,7.8.CO_PL_FIJAS,49
2013-07,2013,7,2281348,2371,2283719,99.896178,0.103822,7.8.CO_PL_FIJAS,50
2013-08,2013,8,2282685,2352,2285037,99.89707,0.10293,7.8.CO_PL_FIJAS,51
2013-09,2013,9,2286583,2093,2288676,99.90855,0.09145,7.8.CO_PL_FIJAS,52
2013-10,2013,10,2312340,2069,2314409,99.910604,0.089396,7.8.CO_PL_FIJAS,53
2013-11,2013,11,2311694,1924,2313618,99.91684,0.08316,7.8.CO_PL_FIJAS,54
2013-12,2013,12,2307830,1742,2309572,99.924575,0.075425,7.8.CO_PL_FIJAS,55
2014-01,2014,1,2306627,1725,2308352,99.925271,0.074729,7.8.CO_PL_FIJAS,56
2014-02,2014,2,2286022,1793,2287815,99.921628,0.078372,7.8.CO_PL_FIJAS,57
2014-03,2014,3,2351225,1650,2352875,99.929873,0.070127,7.8.CO_PL_FIJAS,58
2014-04,2014,4,2374149,1523,2375672,99.935892,0.064108,7.8.CO_PL_FIJAS,59
2014-05,2014,5,2390046,987,2391033,99.958721,0.041279,7.8.CO_PL_FIJAS,60
2014-06,2014,6,2427096,1496,2428592,99.938401,0.061599,7.8.CO_PL_FIJAS,61
2014-07,2014,7,2446518,1415,2447933,99.942196,0.057804,7.8.CO_PL_FIJAS,62
2014-08,2014,8,2467948,1366,2469314,99.944681,0.055319,7.8.CO_PL_FIJAS,63
2014-09,2014,9,2481624,1372,2482996,99.944744,0.055256,7.8.CO_PL_FIJAS,64
2014-10,2014,10,2494945,1352,2496297,99.94584,0.05416,7.8.CO_PL_FIJAS,65
2014-11,2014,11,2502497,1265,2503762,99.949476,0.050524,7.8.CO_PL_FIJAS,66
2014-12,2014,12,2500098,1258,2501356,99.949707,0.050293,7.8.CO_PL_FIJAS,67
2015-01,2015,1,2508515,1236,2509751,99.950752,0.049248,7.8.CO_PL_FIJAS,68
2015-02,2015,2,2508800,1190,2509990,99.952589,0.047411,7.8.CO_PL_FIJAS,69
