period,year,month,fixed_connections_total,annual_growth_pct,penetration_per_100_inhabitants,penetration_annual_change_pp,source_sheet,source_row
2000-12,2000,12,585489,,3.788111,,7.1.CO_TOT_FIJAS,9
2001-12,2001,12,698127,19.238278,4.466251,0.67814,7.1.CO_TOT_FIJAS,10
2002-12,2002,12,757760,8.541856,4.795742,0.329491,7.1.CO_TOT_FIJAS,11
2003-12,2003,12,836007,10.326093,5.236985,0.441243,7.1.CO_TOT_FIJAS,12
2004-12,2004,12,805315,-3.671261,4.995844,-0.241141,7.1.CO_TOT_FIJAS,13
2005-12,2005,12,906079,12.512371,5.566622,0.570778,7.1.CO_TOT_FIJAS,14
2006-12,2006,12,1087738,20.048914,6.617826,1.051205,7.1.CO_TOT_FIJAS,15
2007-12,2007,12,1331919,22.448512,8.024943,1.407117,7.1.CO_TOT_FIJAS,16
2008-12,2008,12,1439009,8.040279,8.582281,0.557338,7.1.CO_TOT_FIJAS,17
2009-12,2009,12,1695034,17.791758,10.003889,1.421608,7.1.CO_TOT_FIJAS,18
2010-12,2010,12,1819564,7.346755,10.630152,0.626263,7.1.CO_TOT_FIJAS,19
2011-12,2011,12,2025042,11.292705,11.710808,1.080656,7.1.CO_TOT_FIJAS,20
2012-12,2012,12,2186173,7.956921,12.514525,0.803717,7.1.CO_TOT_FIJAS,21
2013-12,2013,12,2309572,5.644521,13.085445,0.57092,7.1.CO_TOT_FIJAS,22
2014-12,2014,12,2501356,8.303876,14.014146,0.928701,7.1.CO_TOT_FIJAS,23
2015-12,2015,12,2729251,9.110858,15.111343,1.097197,7.1.CO_TOT_FIJAS,24
2016-12,2016,12,2912133,6.700813,15.895064,0.783722,7.1.CO_TOT_FIJAS,25
2017-12,2017,12,3068528,5.370462,16.497399,0.602335,7.1.CO_TOT_FIJAS,26
2018-12,2018,12,3256097,6.11267,17.219898,0.722499,7.1.CO_TOT_FIJAS,27
2019-12,2019,12,3434767,5.487244,17.916329,0.69643,7.1.CO_TOT_FIJAS,28
2020-12,2020,12,3802033,10.692603,19.699722,1.783393,7.1.CO_TOT_FIJAS,29
2021-12,2021,12,4287491,12.768379,22.00599,2.306267,7.1.CO_TOT_FIJAS,30
2022-12,2022,12,4460212,4.028487,22.663835,0.657846,7.1.CO_TOT_FIJAS,31
2023-12,2023,12,4524579,1.443138,22.81354,0.149704,7.1.CO_TOT_FIJAS,32
2024-12,2024,12,4690891,3.675745,23.482895,0.669355,7.1.CO_TOT_FIJAS,33
2025-12,2025,12,4796680,2.255201,23.866975,0.384079,7.1.CO_TOT_FIJAS,34
2010-01,2010,1,1698908,0.22855,10.018215,0.014326,7.1.CO_TOT_FIJAS,36
2010-02,2010,2,1697983,-0.054447,10.004241,-0.013974,7.1.CO_TOT_FIJAS,37
2010-03,2010,3,1708303,0.60778,10.056489,0.052248,7.1.CO_TOT_FIJAS,38
2010-04,2010,4,1731518,1.358951,10.184494,0.128005,7.1.CO_TOT_FIJAS,39
2010-05,2010,5,1752810,1.229672,10.300945,0.116451,7.1.CO_TOT_FIJAS,40
2010-06,2010,6,1749458,-0.191236,10.272517,-0.028428,7.1.CO_TOT_FIJAS,41
2010-07,2010,7,1770485,1.201915,10.387165,0.114648,7.1.CO_TOT_FIJAS,42
2010-08,2010,8,1793594,1.305236,10.513835,0.126671,7.1.CO_TOT_FIJAS,43
2010-09,2010,9,1808189,0.813729,10.590425,0.07659,7.1.CO_TOT_FIJAS,44
2010-10,2010,10,1803662,-0.250361,10.555042,-0.035383,7.1.CO_TOT_FIJAS,45
2010-11,2010,11,1816980,0.738387,10.624001,0.068959,7.1.CO_TOT_FIJAS,46
2010-12,2010,12,1819564,0.142214,10.630152,0.006151,7.1.CO_TOT_FIJAS,47
2011-01,2011,1,1819146,-0.022973,10.618526,-0.011626,7.1.CO_TOT_FIJAS,48
2011-02,2011,2,1823656,0.247919,10.635911,0.017385,7.1.CO_TOT_FIJAS,49
2011-03,2011,3,1855054,1.721706,10.809833,0.173922,7.1.CO_TOT_FIJAS,50
2011-04,2011,4,1879451,1.315164,10.942698,0.132865,7.1.CO_TOT_FIJAS,51
2011-05,2011,5,1910017,1.626326,11.111224,0.168526,7.1.CO_TOT_FIJAS,52
2011-06,2011,6,1932809,1.193288,11.234279,0.123055,7.1.CO_TOT_FIJAS,53
2011-07,2011,7,1953417,1.06622,11.34444,0.110161,7.1.CO_TOT_FIJAS,54
2011-08,2011,8,1977708,1.243513,11.475785,0.131345,7.1.CO_TOT_FIJAS,55
2011-09,2011,9,1992753,0.760729,11.552758,0.076973,7.1.CO_TOT_FIJAS,56
2011-10,2011,10,2005472,0.638263,11.622042,0.069284,7.1.CO_TOT_FIJAS,57
2011-11,2011,11,2021209,0.784703,11.698495,0.076453,7.1.CO_TOT_FIJAS,58
2011-12,2011,12,2025042,0.189639,11.710808,0.012312,7.1.CO_TOT_FIJAS,59
2012-01,2012,1,2022882,-0.106664,11.688331,-0.022477,7.1.CO_TOT_FIJAS,60
2012-02,2012,2,2029256,0.315095,11.715235,0.026905,7.1.CO_TOT_FIJAS,61
2012-03,2012,3,2031572,0.11413,11.718721,0.003485,7.1.CO_TOT_FIJAS,62
2012-04,2012,4,2070145,1.898677,11.930931,0.21221,7.1.CO_TOT_FIJAS,63
2012-05,2012,5,2095838,1.241121,12.071952,0.141021,7.1.CO_TOT_FIJAS,64
2012-06,2012,6,2097445,0.076676,12.06775,-0.004202,7.1.CO_TOT_FIJAS,65
2012-07,2012,7,2123653,1.24952,12.208197,0.140447,7.1.CO_TOT_FIJAS,66
2012-08,2012,8,2152841,1.374424,12.365482,0.157285,7.1.CO_TOT_FIJAS,67
2012-09,2012,9,2158206,0.249206,12.385806,0.020324,7.1.CO_TOT_FIJAS,68
2012-10,2012,10,2177284,0.883975,12.484721,0.098915,7.1.CO_TOT_FIJAS,69
2012-11,2012,11,2187644,0.475822,12.533532,0.048812,7.1.CO_TOT_FIJAS,70
