period,year,month,fixed_traffic_downlink_tb,fixed_traffic_uplink_tb,fixed_traffic_total_tb,annual_growth_pct,source_sheet,source_row
2019-01,2019,1,650839.343226,73755.246113,724594.589339,,10.1.TRAF_SENT,11
2019-02,2019,2,600407.042075,67387.811385,667794.85346,,10.1.TRAF_SENT,12
2019-03,2019,3,596281.412298,67735.175458,664016.587756,,10.1.TRAF_SENT,13
2019-04,2019,4,633956.462087,73855.581512,707812.043599,,10.1.TRAF_SENT,14
2019-05,2019,5,677524.652196,77729.33813,755253.990326,,10.1.TRAF_SENT,15
2019-06,2019,6,705840.137941,77722.921899,783563.05984,,10.1.TRAF_SENT,16
2019-07,2019,7,792408.468142,85836.069878,878244.53802,,10.1.TRAF_SENT,17
2019-08,2019,8,757813.557118,83371.692264,841185.249382,,10.1.TRAF_SENT,18
2019-09,2019,9,752092.614969,85013.061078,837105.676048,,10.1.TRAF_SENT,19
2019-10,2019,10,829827.882128,96080.912638,925908.794766,,10.1.TRAF_SENT,20
2019-11,2019,11,783264.319178,94286.133271,877550.452449,,10.1.TRAF_SENT,21
2019-12,2019,12,815728.134788,100929.822677,916657.957465,,10.1.TRAF_SENT,22
2020-01,2020,1,819368.954425,99906.717688,919275.672113,26.867587,10.1.TRAF_SENT,23
2020-02,2020,2,766527.354055,97787.782257,864315.136312,29.428242,10.1.TRAF_SENT,24
2020-03,2020,3,1007699.218507,126279.893395,1133979.111902,70.77572,10.1.TRAF_SENT,25
2020-04,2020,4,1087482.799919,143490.194444,1230972.994363,73.912412,10.1.TRAF_SENT,26
2020-05,2020,5,1148509.154162,154249.756262,1302758.910424,72.492821,10.1.TRAF_SENT,27
2020-06,2020,6,1160916.234316,164030.311767,1324946.546082,69.092523,10.1.TRAF_SENT,28
2020-07,2020,7,1217945.430617,162581.7524,1380527.183017,57.191662,10.1.TRAF_SENT,29
2020-08,2020,8,1263013.505982,164425.858944,1427439.364926,69.693818,10.1.TRAF_SENT,30
2020-09,2020,9,1196346.796237,155378.91464,1351725.710877,61.476113,10.1.TRAF_SENT,31
2020-10,2020,10,1223558.244392,162247.78281,1385806.027202,49.66982,10.1.TRAF_SENT,32
2020-11,2020,11,1217774.085295,174634.044001,1392408.129296,58.669866,10.1.TRAF_SENT,33
2020-12,2020,12,1295835.684579,182471.643739,1478307.328318,61.271423,10.1.TRAF_SENT,34
2021-01,2021,1,1312492.3147,181419.799987,1493912.114688,62.509698,10.1.TRAF_SENT,35
2021-02,2021,2,1178986.088335,162491.258944,1341477.347278,55.206971,10.1.TRAF_SENT,36
2021-03,2021,3,1442797.178362,207975.148289,1650772.326651,45.573433,10.1.TRAF_SENT,37
2021-04,2021,4,1504458.659778,218406.152525,1722864.812303,39.959595,10.1.TRAF_SENT,38
2021-05,2021,5,1506052.232755,217975.411037,1724027.643792,32.336661,10.1.TRAF_SENT,39
