period,year,quarter,fixed_residential_household_penetration_pct,household_connectivity_gap_pct,denominator_basis,source_id,source_page
2017Q1,2017,1,46.40,53.60,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2017Q2,2017,2,47.17,52.83,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2017Q3,2017,3,47.68,52.32,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2017Q4,2017,4,47.37,52.63,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2018Q1,2018,1,47.46,52.54,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2018Q2,2018,2,47.94,52.06,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2018Q3,2018,3,48.52,51.48,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2018Q4,2018,4,48.51,51.49,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2019Q1,2019,1,49.97,50.03,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2019Q2,2019,2,50.26,49.74,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2019Q3,2019,3,50.52,49.48,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2019Q4,2019,4,50.29,49.71,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2020Q1,2020,1,51.03,48.97,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2020Q2,2020,2,52.62,47.38,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2020Q3,2020,3,54.24,45.76,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2020Q4,2020,4,55.57,44.43,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2021Q1,2021,1,57.32,42.68,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2021Q2,2021,2,59.23,40.77,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2021Q3,2021,3,60.38,39.62,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2021Q4,2021,4,61.24,38.76,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2022Q1,2022,1,61.87,38.13,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2022Q2,2022,2,62.58,37.42,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2022Q3,2022,3,63.10,36.90,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2022Q4,2022,4,64.10,35.90,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2023Q1,2023,1,64.11,35.89,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2023Q2,2023,2,62.63,37.37,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2023Q3,2023,3,65.95,34.05,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2023Q4,2023,4,65.98,34.02,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2024Q1,2024,1,66.11,33.89,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2024Q2,2024,2,66.80,33.20,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2024Q3,2024,3,67.17,32.83,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2024Q4,2024,4,67.54,32.46,SUBTEL projected households based on Census 2017,subtel_report_2026h1,19
2025Q1,2025,1,67.46,32.54,Census 2024 households,subtel_report_2026h1,19
2025Q2,2025,2,67.80,32.20,Census 2024 households,subtel_report_2026h1,19
2025Q3,2025,3,68.33,31.67,Census 2024 households,subtel_report_2026h1,19
2025Q4,2025,4,68.80,31.20,Census 2024 households,subtel_report_2026h1,19
2026Q1,2026,1,69.71,30.29,Census 2024 households,subtel_report_2026h1,19
2026Q2,2026,2,70.36,29.64,Census 2024 households,subtel_report_2026h1,19
