base_period,end_period,operator,connections_base,connections_end,connections_growth_pct,traffic_tb_base,traffic_tb_end,traffic_growth_pct,connection_share_end_pct,traffic_share_end_pct,traffic_minus_connections_growth_pp
2024-06,2025-06,Entel,374785,466389,24.441747,345585.298507,387306.33391,12.072572,9.830769,13.283484,-12.369174
2024-06,2025-06,GTD,308732,295890,-4.159595,170089.221315,182268.177168,7.160334,6.23691,6.25127,11.319928
2024-06,2025-06,Grupo Claro-VTR,1394105,1309492,-6.069342,828648.14067,739604.021367,-10.745709,27.602096,25.366273,-4.676367
2024-06,2025-06,Movistar,1357856,1332856,-1.841138,808455.364583,821617.934461,1.628113,28.094573,28.179113,3.469251
2024-06,2025-06,Mundo,871090,971024,11.472293,621557.942248,652182.503297,4.927065,20.467706,22.367969,-6.545229
2025-06,2026-06,Entel,466389,536613,15.056959,387306.33391,437315.339782,12.912003,10.950461,12.759798,-2.144956
2025-06,2026-06,GTD,295890,302599,2.267397,182268.177168,217626.327135,19.398971,6.175025,6.349807,17.131574
2025-06,2026-06,Grupo Claro-VTR,1309492,1274737,-2.654083,739604.021367,880963.870984,19.11291,26.013082,25.704383,21.766992
2025-06,2026-06,Movistar,1332856,1299891,-2.47326,821617.934461,812821.691219,-1.0706,26.52639,23.71616,1.40266
2025-06,2026-06,Mundo,971024,1037607,6.856988,652182.503297,934366.639748,43.267664,21.174059,27.262546,36.410676
2025-12,2026-06,Entel,485032,536613,10.634556,373441.484059,437315.339782,17.104114,10.950461,12.759798,6.469558
2025-12,2026-06,GTD,299471,302599,1.044508,197410.501409,217626.327135,10.240502,6.175025,6.349807,9.195993
2025-12,2026-06,Grupo Claro-VTR,1279458,1274737,-0.368984,673214.578601,880963.870984,30.859298,26.013082,25.704383,31.228282
2025-12,2026-06,Movistar,1331208,1299891,-2.352525,948950.29901,812821.691219,-14.345178,26.52639,23.71616,-11.992653
2025-12,2026-06,Mundo,1002790,1037607,3.472013,904034.680375,934366.639748,3.355177,21.174059,27.262546,-0.116837
