period,year,month,operator,connections,two_named_satellite_operators_total,total_fixed_market,share_of_total_fixed_pct,interpretation,source_sheet,source_row
2020-06,2020,6,Hughesnet,1209,1209,3588261,0.033693,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,136
2020-07,2020,7,Hughesnet,4950,4950,3621266,0.136693,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,137
2020-08,2020,8,Hughesnet,5927,5927,3653873,0.162211,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,138
2020-09,2020,9,Hughesnet,6815,6815,3701448,0.184117,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,139
2020-10,2020,10,Hughesnet,7715,7715,3748396,0.205821,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,140
2020-11,2020,11,Hughesnet,8533,8533,3780650,0.225702,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,141
2020-12,2020,12,Hughesnet,9371,9371,3802033,0.246473,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,142
2021-01,2021,1,Hughesnet,11022,11022,3825784,0.288098,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,143
2021-02,2021,2,Hughesnet,12200,12200,3870939,0.315169,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,144
2021-03,2021,3,Hughesnet,14292,14292,3937603,0.362962,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,145
2021-04,2021,4,Hughesnet,14559,14559,4005642,0.363462,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,146
2021-05,2021,5,Hughesnet,14689,14689,4049237,0.36276,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,147
2021-06,2021,6,Hughesnet,13800,13800,4089600,0.337441,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,148
2021-07,2021,7,Hughesnet,13904,13904,4124393,0.337116,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,149
2021-08,2021,8,Hughesnet,13894,13894,4145814,0.335133,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,150
