period,operator_group,traffic_tb,total_market_tb,share_pct,aggregation_note
2019-01,Entel,75328.032219,724594.589339,10.395887,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-01,GTD,38876.651412,724594.589339,5.365297,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-01,Grupo Claro-VTR,360465.460015,724594.589339,49.747192,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-01,Movistar,206460.601989,724594.589339,28.493257,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-01,Mundo,42982.187385,724594.589339,5.931895,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-02,Entel,75517.545086,667794.85346,11.308495,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-02,GTD,34615.831261,667794.85346,5.183603,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-02,Grupo Claro-VTR,330158.658963,667794.85346,49.440132,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-02,Movistar,184188.068319,667794.85346,27.581535,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-02,Mundo,42857.256899,667794.85346,6.417728,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-03,Entel,79799.737299,664016.587757,12.017733,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-03,GTD,40267.574954,664016.587757,6.064242,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-03,Grupo Claro-VTR,305693.317289,664016.587757,46.037,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
2019-03,Movistar,193916.190374,664016.587757,29.203516,Entel=Entel S.A.+Entelphone; GTD=Telsur+GTD Manquehue; other groups preserve source label
